provider,model,requested_model,resolved_model,provider_backend,panel_id,item_id,item_text_en,item_text_zh,prompt_language,answer_language,round_index,sample_index,temperature,max_output_tokens,seed,provider_timeout_seconds,provider_concurrency,request_cache_key,system_prompt,user_prompt,response_text,finish_reason,request_id,prompt_tokens,completion_tokens,total_tokens,latency_seconds,response_source,retry_count,attempt_count,cache_hit,disk_cache_hit,provider_cached_tokens,error,raw_payload,generated_at_utc,response_validation_error,parsed_answer,response_clean,answer_key,coord_answer,coord_answer_key,canonical_answer,normalization_status,closest_human_answer_key,closest_human_canonical,closest_human_score
openai,mimo-v2-omni,mimo-v2-omni,mimo-v2-omni,openai_chat_completions_stream,study2_british_within,study2_item_11,Name a tourist city,说出一座旅游城市,en,English,1,14,1.0,256,111363564,120,20,4f962df72afa7dd94f76a2e4bce4430b8505e0bda510eb04888c11b8625f1889,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a tourist city",Barcelona,stop,msg_087522716ea64891a5aec043,22.0,134.0,156.0,4.203087700007018,provider_api,0,1,False,False,1408.0,,"{'stream': True, 'requested_stream': True, 'event_count': 59, 'http_status': 200, 'usage': {'prompt_tokens': 22, 'completion_tokens': 134, 'total_tokens': 156, 'prompt_tokens_details': {'cached_tokens': 1408, 'text_tokens': 0, 'audio_tokens': 0, 'image_tokens': 0}, 'completion_tokens_details': {'text_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 0}, 'input_tokens': 0, 'output_tokens': 0, 'input_tokens_details': None, 'claude_cache_creation_5_m_tokens': 0, 'claude_cache_creation_1_h_tokens': 0}}",2026-04-17T18:05:34.680607+00:00,nan,Barcelona,Barcelona,barcelona,Barcelona,barcelona,Barcelona,unmapped,london,london,40.0
openai,mimo-v2-omni,mimo-v2-omni,mimo-v2-omni,openai_chat_completions_stream,study2_british_within,study2_item_11,Name a tourist city,说出一座旅游城市,en,English,1,6,1.0,256,431670913,120,20,3fa61ccb0c06a126f695f8ce18cbd6ebefd5bf374b9cfc8ea13a59ba428f5642,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a tourist city",Barcelona,stop,msg_92f08a5e705544268ab5812c,22.0,66.0,88.0,2.173315200023353,provider_api,2,3,False,False,1408.0,,"{'stream': True, 'requested_stream': True, 'event_count': 34, 'http_status': 200, 'usage': {'prompt_tokens': 22, 'completion_tokens': 66, 'total_tokens': 88, 'prompt_tokens_details': {'cached_tokens': 1408, 'text_tokens': 0, 'audio_tokens': 0, 'image_tokens': 0}, 'completion_tokens_details': {'text_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 0}, 'input_tokens': 0, 'output_tokens': 0, 'input_tokens_details': None, 'claude_cache_creation_5_m_tokens': 0, 'claude_cache_creation_1_h_tokens': 0}}",2026-04-17T18:05:47.758046+00:00,nan,Barcelona,Barcelona,barcelona,Barcelona,barcelona,Barcelona,unmapped,london,london,40.0
openai,mimo-v2-omni,mimo-v2-omni,mimo-v2-omni,openai_chat_completions_stream,study2_british_within,study2_item_11,Name a tourist city,说出一座旅游城市,en,English,1,12,1.0,256,83581727,120,20,7a7eb0cbda8503218d63ac474ec93dfaea8816bb45efd58e3b4aa4c1da9fb2de,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a tourist city",**Barcelona**,stop,msg_2f366767c4074d6a9a6b5f25,22.0,203.0,225.0,2.1743954999838024,provider_api,2,3,False,False,1408.0,,"{'stream': True, 'requested_stream': True, 'event_count': 93, 'http_status': 200, 'usage': {'prompt_tokens': 22, 'completion_tokens': 203, 'total_tokens': 225, 'prompt_tokens_details': {'cached_tokens': 1408, 'text_tokens': 0, 'audio_tokens': 0, 'image_tokens': 0}, 'completion_tokens_details': {'text_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 0}, 'input_tokens': 0, 'output_tokens': 0, 'input_tokens_details': None, 'claude_cache_creation_5_m_tokens': 0, 'claude_cache_creation_1_h_tokens': 0}}",2026-04-17T18:05:52.165756+00:00,nan,**Barcelona**,**Barcelona**,barcelona,**Barcelona**,barcelona,**Barcelona**,unmapped,london,london,40.0
openai,mimo-v2-omni,mimo-v2-omni,mimo-v2-omni,openai_chat_completions_stream,study2_british_within,study2_item_03,Name a world leader,说出一位世界领导人,zh,English,1,28,1.0,256,847407401,120,20,ca6202bbbc1eab9deb38089eee1ebad20c1f2a2942d166a6b29ec42198791532,你正在参与一个纯协调任务。你的目标是给出最可能与另一位来自英国的参与者一致的答案。只输出一个简短答案，不要解释，不要加额外说明。,"请只给出一个最可能与另一位来自英国的参与者一致的答案。
请用English作答。
类别：说出一位世界领导人",The King,stop,msg_4b84b455acc74ebfa678dd82,24.0,86.0,110.0,2.742234200006351,provider_api,1,2,False,False,1408.0,,"{'stream': True, 'requested_stream': True, 'event_count': 40, 'http_status': 200, 'usage': {'prompt_tokens': 24, 'completion_tokens': 86, 'total_tokens': 110, 'prompt_tokens_details': {'cached_tokens': 1408, 'text_tokens': 0, 'audio_tokens': 0, 'image_tokens': 0}, 'completion_tokens_details': {'text_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 0}, 'input_tokens': 0, 'output_tokens': 0, 'input_tokens_details': None, 'claude_cache_creation_5_m_tokens': 0, 'claude_cache_creation_1_h_tokens': 0}}",2026-04-17T18:09:07.296162+00:00,nan,The King,The King,theking,The King,king,The King,unmapped,putin,putin,50.0
openai,mimo-v2-omni,mimo-v2-omni,mimo-v2-omni,openai_chat_completions_stream,study2_british_within,study2_item_03,Name a world leader,说出一位世界领导人,zh,English,1,49,1.0,256,324921833,120,20,5a5c10b42b513ac539deb4519d7fdbedf660ee845ac689fa6bc513dda2f2430b,你正在参与一个纯协调任务。你的目标是给出最可能与另一位来自英国的参与者一致的答案。只输出一个简短答案，不要解释，不要加额外说明。,"请只给出一个最可能与另一位来自英国的参与者一致的答案。
请用English作答。
类别：说出一位世界领导人",The Prime Minister of the United Kingdom.,stop,msg_c55292955d3b409d8467df60,24.0,97.0,121.0,2.1416561999940313,provider_api,0,1,False,False,1408.0,,"{'stream': True, 'requested_stream': True, 'event_count': 49, 'http_status': 200, 'usage': {'prompt_tokens': 24, 'completion_tokens': 97, 'total_tokens': 121, 'prompt_tokens_details': {'cached_tokens': 1408, 'text_tokens': 0, 'audio_tokens': 0, 'image_tokens': 0}, 'completion_tokens_details': {'text_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 0}, 'input_tokens': 0, 'output_tokens': 0, 'input_tokens_details': None, 'claude_cache_creation_5_m_tokens': 0, 'claude_cache_creation_1_h_tokens': 0}}",2026-04-17T18:09:09.646311+00:00,nan,The Prime Minister of the United Kingdom,The Prime Minister of the United Kingdom,theprimeministeroftheunitedkingdom,The Prime Minister of the United Kingdom,kingdom,The Prime Minister of the United Kingdom,unmapped,princewilliam,princewilliam,34.04255319148937
openai,mimo-v2-omni,mimo-v2-omni,mimo-v2-omni,openai,study2_british_within,study2_item_11,Name a tourist city,说出一座旅游城市,zh,English,2,5,1.0,256,8385885,120,20,6e16cee8f69c53d37735d7448ed5fdf595ce7153a9c8f5062fbd7cfde3ab834c,你正在参与一个纯协调任务。你的目标是给出最可能与另一位来自英国的参与者一致的答案。只输出一个简短答案，不要解释，不要加额外说明。,"请在不改变协调目标的前提下再尝试一次，给出一个最可能与另一位来自英国的参与者一致的答案。
请用English作答。
类别：说出一座旅游城市",,,,,,,,provider_error,10,10,False,False,,empty response text,{'error': 'empty response text'},2026-04-19T15:43:59.089090+00:00,empty response text,,,,,,,invalid,,,
openai,mimo-v2-omni,mimo-v2-omni,mimo-v2-omni,openai,study2_british_within,study2_item_11,Name a tourist city,说出一座旅游城市,zh,English,2,4,1.0,256,742670759,120,20,1bc13793fe67fc35a4117930f3d7dde468aec642c3eda24e9a1cf5a12abd59cb,你正在参与一个纯协调任务。你的目标是给出最可能与另一位来自英国的参与者一致的答案。只输出一个简短答案，不要解释，不要加额外说明。,"请在不改变协调目标的前提下再尝试一次，给出一个最可能与另一位来自英国的参与者一致的答案。
请用English作答。
类别：说出一座旅游城市",,,,,,,,provider_error,10,10,False,False,,empty response text,{'error': 'empty response text'},2026-04-19T15:44:00.038596+00:00,empty response text,,,,,,,invalid,,,
openai,mimo-v2-omni,mimo-v2-omni,mimo-v2-omni,openai,study2_british_within,study2_item_11,Name a tourist city,说出一座旅游城市,zh,English,2,9,1.0,256,501884844,120,20,f47c42b25cd40df56f1c7a916f928d77ace168c6412c663645e8e80cd8fa8ade,你正在参与一个纯协调任务。你的目标是给出最可能与另一位来自英国的参与者一致的答案。只输出一个简短答案，不要解释，不要加额外说明。,"请在不改变协调目标的前提下再尝试一次，给出一个最可能与另一位来自英国的参与者一致的答案。
请用English作答。
类别：说出一座旅游城市",,,,,,,,provider_error,10,10,False,False,,"('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))","{'error': ""('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))""}",2026-04-19T15:44:41.097061+00:00,"('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))",,,,,,,invalid,,,
openai,mimo-v2-omni,mimo-v2-omni,mimo-v2-omni,openai,study2_british_within,study2_item_11,Name a tourist city,说出一座旅游城市,en,English,2,8,1.0,256,149834765,120,20,438f60a0f0701445b73c313f358edfc34c26efa0db4c3f07f34b158ff79ca64f,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Try again without changing the coordination goal. Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a tourist city",,,,,,,,provider_error,10,10,False,False,,"('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))","{'error': ""('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))""}",2026-04-19T15:44:41.098098+00:00,"('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))",,,,,,,invalid,,,
openai,mimo-v2-omni,mimo-v2-omni,mimo-v2-omni,openai,study2_british_within,study2_item_11,Name a tourist city,说出一座旅游城市,zh,English,2,6,1.0,256,459622326,120,20,53afcd2856824e4141f14c8bcd717e004a37c4fd4b951500449bb08db3a49009,你正在参与一个纯协调任务。你的目标是给出最可能与另一位来自英国的参与者一致的答案。只输出一个简短答案，不要解释，不要加额外说明。,"请在不改变协调目标的前提下再尝试一次，给出一个最可能与另一位来自英国的参与者一致的答案。
请用English作答。
类别：说出一座旅游城市",,,,,,,,provider_error,10,10,False,False,,"('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))","{'error': ""('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))""}",2026-04-19T15:44:41.099167+00:00,"('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))",,,,,,,invalid,,,
