scope,metric_family,provider,model,round_index,panel_id,item_id,prompt_language,metric,ci_low,ci_high
aggregate,cross_lingual,openai,kimi-for-coding,1,study2_british_within,,en_vs_zh,jsd,0.02567854162557836,0.15723823741724333
aggregate,cross_lingual,openai,kimi-for-coding,1,study2_british_within,,en_vs_zh,tvd,0.05066666666666667,0.27733333333333327
aggregate,cross_lingual,openai,kimi-for-coding,1,study2_british_within,,en_vs_zh,top1_match,0.6666666666666666,1.0
aggregate,cross_lingual,openai,kimi-for-coding,1,study2_british_within,,en_vs_zh,flip_rate,0.0,0.3333333333333333
aggregate,cross_lingual,openai,kimi-for-coding,2,study2_british_within,,en_vs_zh,jsd,0.0,0.6561079720711209
aggregate,cross_lingual,openai,kimi-for-coding,2,study2_british_within,,en_vs_zh,tvd,0.0,0.8
aggregate,cross_lingual,openai,kimi-for-coding,2,study2_british_within,,en_vs_zh,top1_match,0.0,1.0
aggregate,cross_lingual,openai,kimi-for-coding,2,study2_british_within,,en_vs_zh,flip_rate,0.0,1.0
aggregate,human_alignment,openai,kimi-for-coding,1,study2_british_within,,en,jsd,0.7054247806079237,0.9682958140286151
aggregate,human_alignment,openai,kimi-for-coding,1,study2_british_within,,en,tvd,0.7672666666666665,0.9860166666666668
aggregate,human_alignment,openai,kimi-for-coding,1,study2_british_within,,en,top1_match,0.0,0.3333333333333333
aggregate,human_alignment,openai,kimi-for-coding,1,study2_british_within,,zh,jsd,0.6417479438360432,0.9074314540020832
aggregate,human_alignment,openai,kimi-for-coding,1,study2_british_within,,zh,tvd,0.7231166666666666,0.9446833333333333
aggregate,human_alignment,openai,kimi-for-coding,1,study2_british_within,,zh,top1_match,0.0,0.3333333333333333
aggregate,human_alignment,openai,kimi-for-coding,2,study2_british_within,,en,jsd,0.778672396427416,1.0
aggregate,human_alignment,openai,kimi-for-coding,2,study2_british_within,,en,tvd,0.89,1.0
aggregate,human_alignment,openai,kimi-for-coding,2,study2_british_within,,en,top1_match,0.0,0.0
aggregate,human_alignment,openai,kimi-for-coding,2,study2_british_within,,zh,jsd,0.908122417847854,1.0
aggregate,human_alignment,openai,kimi-for-coding,2,study2_british_within,,zh,tvd,0.97,1.0
aggregate,human_alignment,openai,kimi-for-coding,2,study2_british_within,,zh,top1_match,0.0,0.0
item,cross_lingual,openai,kimi-for-coding,1,study2_british_within,study2_item_01,en_vs_zh,jsd,0.0,0.0
item,cross_lingual,openai,kimi-for-coding,1,study2_british_within,study2_item_01,en_vs_zh,tvd,0.0,0.0
item,cross_lingual,openai,kimi-for-coding,1,study2_british_within,study2_item_02,en_vs_zh,jsd,0.01007286462500093,0.08502441288198997
item,cross_lingual,openai,kimi-for-coding,1,study2_british_within,study2_item_02,en_vs_zh,tvd,0.02000000000000001,0.16
item,cross_lingual,openai,kimi-for-coding,1,study2_british_within,study2_item_02,en_vs_zh,spearman,0.7254762501100117,1.0
item,cross_lingual,openai,kimi-for-coding,1,study2_british_within,study2_item_03,en_vs_zh,jsd,0.10803154614560011,0.2803220841364248
item,cross_lingual,openai,kimi-for-coding,1,study2_british_within,study2_item_03,en_vs_zh,tvd,0.19999999999999998,0.45999999999999996
item,cross_lingual,openai,kimi-for-coding,1,study2_british_within,study2_item_03,en_vs_zh,spearman,0.6642111641550715,0.8660254037844387
item,cross_lingual,openai,kimi-for-coding,1,study2_british_within,study2_item_04,en_vs_zh,jsd,0.0,0.0
item,cross_lingual,openai,kimi-for-coding,1,study2_british_within,study2_item_04,en_vs_zh,tvd,0.0,0.0
item,cross_lingual,openai,kimi-for-coding,1,study2_british_within,study2_item_05,en_vs_zh,jsd,0.13690681705008315,0.3338200738789058
item,cross_lingual,openai,kimi-for-coding,1,study2_british_within,study2_item_05,en_vs_zh,tvd,0.26,0.54
item,cross_lingual,openai,kimi-for-coding,1,study2_british_within,study2_item_05,en_vs_zh,spearman,0.0,0.8660254037844387
item,cross_lingual,openai,kimi-for-coding,1,study2_british_within,study2_item_06,en_vs_zh,jsd,0.01007286462500093,0.09643129419996313
item,cross_lingual,openai,kimi-for-coding,1,study2_british_within,study2_item_06,en_vs_zh,tvd,0.02000000000000001,0.18000000000000002
item,cross_lingual,openai,kimi-for-coding,1,study2_british_within,study2_item_07,en_vs_zh,jsd,0.0,0.0
item,cross_lingual,openai,kimi-for-coding,1,study2_british_within,study2_item_07,en_vs_zh,tvd,0.0,0.0
item,cross_lingual,openai,kimi-for-coding,1,study2_british_within,study2_item_08,en_vs_zh,jsd,0.010279759564375303,0.1441370593614094
item,cross_lingual,openai,kimi-for-coding,1,study2_british_within,study2_item_08,en_vs_zh,tvd,0.04000000000000002,0.28
item,cross_lingual,openai,kimi-for-coding,1,study2_british_within,study2_item_08,en_vs_zh,spearman,0.8660254037844387,1.0
item,cross_lingual,openai,kimi-for-coding,1,study2_british_within,study2_item_09,en_vs_zh,jsd,0.13706850946612698,0.41426732435515007
item,cross_lingual,openai,kimi-for-coding,1,study2_british_within,study2_item_09,en_vs_zh,tvd,0.4,0.7
item,cross_lingual,openai,kimi-for-coding,1,study2_british_within,study2_item_09,en_vs_zh,spearman,0.5,0.8749999999999999
item,cross_lingual,openai,kimi-for-coding,1,study2_british_within,study2_item_10,en_vs_zh,jsd,0.0,0.0
item,cross_lingual,openai,kimi-for-coding,1,study2_british_within,study2_item_10,en_vs_zh,tvd,0.0,0.0
item,cross_lingual,openai,kimi-for-coding,1,study2_british_within,study2_item_11,en_vs_zh,jsd,0.33358291199270385,0.6901603707546748
item,cross_lingual,openai,kimi-for-coding,1,study2_british_within,study2_item_11,en_vs_zh,tvd,0.6399999999999999,0.88
item,cross_lingual,openai,kimi-for-coding,1,study2_british_within,study2_item_12,en_vs_zh,jsd,0.03066939825433814,0.13184072559510332
item,cross_lingual,openai,kimi-for-coding,1,study2_british_within,study2_item_12,en_vs_zh,tvd,0.060000000000000026,0.24
item,cross_lingual,openai,kimi-for-coding,1,study2_british_within,study2_item_13,en_vs_zh,jsd,0.12713778134647913,0.32337807898729737
item,cross_lingual,openai,kimi-for-coding,1,study2_british_within,study2_item_13,en_vs_zh,tvd,0.21999999999999997,0.52
item,cross_lingual,openai,kimi-for-coding,1,study2_british_within,study2_item_13,en_vs_zh,spearman,-0.10158746288373811,0.5014516734032629
item,cross_lingual,openai,kimi-for-coding,1,study2_british_within,study2_item_14,en_vs_zh,jsd,0.0,0.0
item,cross_lingual,openai,kimi-for-coding,1,study2_british_within,study2_item_14,en_vs_zh,tvd,0.0,0.0
item,cross_lingual,openai,kimi-for-coding,1,study2_british_within,study2_item_15,en_vs_zh,jsd,0.0,0.0
item,cross_lingual,openai,kimi-for-coding,1,study2_british_within,study2_item_15,en_vs_zh,tvd,0.0,0.0
