item_id,prompt_language,n_v3,n_v32,top1_v3,top1_v32,top1_match,jsd,tvd
study2_item_01,en,50,50,london,london,True,0.0,0.0
study2_item_01,zh,50,50,london,london,True,0.0,0.0
study2_item_02,en,50,50,davidbeckham,davidbeckham,True,0.0,0.0
study2_item_02,zh,50,50,davidbeckham,davidbeckham,True,0.0,0.0
study2_item_03,en,50,50,putin,putin,True,0.019728006364942558,0.12
study2_item_03,zh,50,50,winstonchurchill,winstonchurchill,True,0.004905722222957791,0.08000000000000002
study2_item_04,en,50,50,buckinghampalace,buckinghampalace,True,0.0,0.0
study2_item_04,zh,50,50,buckinghampalace,buckinghampalace,True,0.006580549498885043,0.059999999999999956
study2_item_05,en,50,50,bennevis,bennevis,True,0.0,0.0
study2_item_05,zh,50,50,bennevis,bennevis,True,0.006485918630579571,0.07999999999999997
study2_item_06,en,50,50,fishandchips,fishandchips,True,0.0,0.0
study2_item_06,zh,50,50,fishandchips,fishandchips,True,0.0,0.0
study2_item_07,en,50,50,bigben,bigben,True,0.0,0.0
study2_item_07,zh,50,50,bigben,bigben,True,0.0,0.0
study2_item_08,en,50,50,edsheeran,edsheeran,True,0.0,0.0
study2_item_08,zh,50,50,edsheeran,edsheeran,True,0.00035039144399284474,0.01999999999999999
study2_item_09,en,50,50,harrypotter,harrypotter,True,0.0,0.0
study2_item_09,zh,50,50,harrypotter,harrypotter,True,0.0,0.0
study2_item_10,en,50,50,bbc,bbc,True,0.0,0.0
study2_item_10,zh,50,50,bbc,bbc,True,0.0,0.0
study2_item_11,en,50,50,london,london,True,0.0,0.0
study2_item_11,zh,50,50,london,london,True,0.0,0.0
study2_item_12,en,50,50,thatcher,thatcher,True,0.02222685108892534,0.07999999999999999
study2_item_12,zh,50,50,margaretthatcher,margaretthatcher,True,0.0,0.0
study2_item_13,en,50,50,pound,pound,True,0.0,0.0
study2_item_13,zh,50,50,pound,pound,True,0.0,0.0
study2_item_14,en,50,50,rose,rose,True,0.0,0.0
study2_item_14,zh,50,50,rose,rose,True,0.0,0.0
study2_item_15,en,50,50,football,football,True,0.0,0.0
study2_item_15,zh,50,50,football,football,True,0.0,0.0
