provider,model,requested_model,resolved_model,provider_backend,panel_id,item_id,item_text_en,item_text_zh,prompt_language,answer_language,round_index,sample_index,temperature,max_output_tokens,seed,provider_timeout_seconds,provider_concurrency,request_cache_key,system_prompt,user_prompt,response_text,finish_reason,request_id,prompt_tokens,completion_tokens,total_tokens,latency_seconds,response_source,retry_count,attempt_count,cache_hit,disk_cache_hit,provider_cached_tokens,error,raw_payload,generated_at_utc,response_validation_error,parsed_answer,response_clean,answer_key,coord_answer,coord_answer_key,canonical_answer,normalization_status,closest_human_answer_key,closest_human_canonical,closest_human_score
openai,gpt-5.4,gpt-5.4,gpt-5.4-2026-03-05,openai_chat_completions_stream,study2_british_within,study2_item_04,Name a building,说出一座建筑,en,English,1,0,1.0,256,890255822,120,4,cc1030f899b01b83d329c441abccc7442da51ffdd4baec630432600c2622ef39,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a building",house,stop,chatcmpl-DTgogwyEldkrIM5ZSCGABmJsCItyP,,,,0.7728295531123877,provider_api,0,1,False,False,,,"{'stream': True, 'event_count': 3, 'http_status': 200, 'usage': {}}",2026-04-12T04:34:33.477171+00:00,,house,house,house,house,house,,unmapped,britishmuseum,britishmuseum,44.44444444444444
openai,gpt-5.4,gpt-5.4,gpt-5.4-2026-03-05,openai_chat_completions_stream,study2_british_within,study2_item_04,Name a building,说出一座建筑,en,English,1,1,1.0,256,595824966,120,4,6d1140b2f4149f5c829ee5d99a50db156ae70e4766887167cb295fbea07ac41d,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a building",house,stop,chatcmpl-DTgohRRIx6L2bVud0fD9Q44JsG4qA,,,,0.784719055518508,provider_api,0,1,False,False,,,"{'stream': True, 'event_count': 3, 'http_status': 200, 'usage': {}}",2026-04-12T04:34:34.389723+00:00,,house,house,house,house,house,,unmapped,britishmuseum,britishmuseum,44.44444444444444
openai,gpt-5.4,gpt-5.4,gpt-5.4-2026-03-05,openai_chat_completions_stream,study2_british_within,study2_item_04,Name a building,说出一座建筑,en,English,1,2,1.0,256,760183269,120,4,89f58a44219adcb39ed37b9fb95c5fce57f23f0725a23d395f34b4929abfa95e,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a building",house,stop,chatcmpl-DTgoifvzwWh8RW6YoiN5yVxixWrPm,,,,0.866279611364007,provider_api,0,1,False,False,,,"{'stream': True, 'event_count': 3, 'http_status': 200, 'usage': {}}",2026-04-12T04:34:35.194510+00:00,,house,house,house,house,house,,unmapped,britishmuseum,britishmuseum,44.44444444444444
openai,gpt-5.4,gpt-5.4,gpt-5.4-2026-03-05,openai_chat_completions_stream,study2_british_within,study2_item_04,Name a building,说出一座建筑,en,English,1,3,1.0,256,806496030,120,4,94101c900f4f90d895dc3167dc94cd7f4795797fb9a8c3a41a28e840417ac21c,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a building",house,stop,chatcmpl-DTgojDUwi3ATxcOr3YSHo6jjqGZ2E,,,,0.8218948412686586,provider_api,0,1,False,False,,,"{'stream': True, 'event_count': 3, 'http_status': 200, 'usage': {}}",2026-04-12T04:34:35.808447+00:00,,house,house,house,house,house,,unmapped,britishmuseum,britishmuseum,44.44444444444444
openai,gpt-5.4,gpt-5.4,gpt-5.4-2026-03-05,openai_chat_completions_stream,study2_british_within,study2_item_04,Name a building,说出一座建筑,en,English,1,4,1.0,256,390161109,120,4,d647b2d9ab487267465eb1ee5c3642e0e7bcaaa7b9a5f2d3db46fe5c66744f2f,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a building",house,stop,chatcmpl-DTgojIgbG6D2yEquKcXRTUvLBZ0lT,,,,0.8305321168154478,provider_api,0,1,False,False,,,"{'stream': True, 'event_count': 3, 'http_status': 200, 'usage': {}}",2026-04-12T04:34:36.375890+00:00,,house,house,house,house,house,,unmapped,britishmuseum,britishmuseum,44.44444444444444
openai,gpt-5.4,gpt-5.4,gpt-5.4-2026-03-05,openai_chat_completions_stream,study2_british_within,study2_item_04,Name a building,说出一座建筑,en,English,1,5,1.0,256,978195273,120,4,40cc8c6f652d410d51cb5fdfff9d92fae4d4a40f7897d9b21466f98ee91ec189,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a building",house,stop,chatcmpl-DTgokweMoy5vrrFbG11Qqv3H1EQv7,,,,0.916846564039588,provider_api,0,1,False,False,,,"{'stream': True, 'event_count': 3, 'http_status': 200, 'usage': {}}",2026-04-12T04:34:37.354626+00:00,,house,house,house,house,house,,unmapped,britishmuseum,britishmuseum,44.44444444444444
openai,gpt-5.4,gpt-5.4,gpt-5.4-2026-03-05,openai_chat_completions_stream,study2_british_within,study2_item_04,Name a building,说出一座建筑,en,English,1,6,1.0,256,783686087,120,4,a393ceea6d7119aadc1e94537c8d888f831000de927fa8f21cc98abe8df356dd,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a building",house,stop,chatcmpl-DTgolLnMLbGWuxKv9OyLBGRgAmY40,,,,0.8613931089639664,provider_api,0,1,False,False,,,"{'stream': True, 'event_count': 3, 'http_status': 200, 'usage': {}}",2026-04-12T04:34:38.127513+00:00,,house,house,house,house,house,,unmapped,britishmuseum,britishmuseum,44.44444444444444
openai,gpt-5.4,gpt-5.4,gpt-5.4-2026-03-05,openai_chat_completions_stream,study2_british_within,study2_item_04,Name a building,说出一座建筑,en,English,1,7,1.0,256,417392640,120,4,28458f8a1a43f01950d9436735d2a8ba4548ac5673aef1fdb884d7b2b5d8cea4,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a building",house,stop,chatcmpl-DTgomyUttx7XIZ1oTGj2IZomtqdGU,,,,0.8477447088807821,provider_api,0,1,False,False,,,"{'stream': True, 'event_count': 3, 'http_status': 200, 'usage': {}}",2026-04-12T04:34:38.723488+00:00,,house,house,house,house,house,,unmapped,britishmuseum,britishmuseum,44.44444444444444
openai,gpt-5.4,gpt-5.4,gpt-5.4-2026-03-05,openai_chat_completions_stream,study2_british_within,study2_item_04,Name a building,说出一座建筑,en,English,1,8,1.0,256,973070503,120,4,962ee79c48d9f13e8810fa2428dfa4be685112ca9030d8e7d210b8ed31a20d56,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a building",house,stop,chatcmpl-DTgomlNsquo8sDxkhT1r33MqDQU3D,,,,0.9449253734201193,provider_api,0,1,False,False,,,"{'stream': True, 'event_count': 3, 'http_status': 200, 'usage': {}}",2026-04-12T04:34:39.349966+00:00,,house,house,house,house,house,,unmapped,britishmuseum,britishmuseum,44.44444444444444
openai,gpt-5.4,gpt-5.4,gpt-5.4-2026-03-05,openai_chat_completions_stream,study2_british_within,study2_item_04,Name a building,说出一座建筑,en,English,1,9,1.0,256,39610295,120,4,b859677ae1de933d7b8baaf8f5878315996c82a453036fc93f08254e1e989319,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a building",house,stop,chatcmpl-DTgonStIx7fvv6E72fWDDUgHFywKF,,,,0.7908533923327923,provider_api,0,1,False,False,,,"{'stream': True, 'event_count': 3, 'http_status': 200, 'usage': {}}",2026-04-12T04:34:40.220213+00:00,,house,house,house,house,house,,unmapped,britishmuseum,britishmuseum,44.44444444444444
