metric_family,provider,model,round_index,panel_id,item_id,item_number,human_top1_probability,consensus_bucket,prompt_language,jsd,tvd,top1_match,flip_rate,spearman,successful_samples,expected_samples,completion_rate,en_successful_samples,zh_successful_samples
cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,study2_item_01,1,0.9,high,en_vs_zh,0.0,0.0,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,study2_item_02,2,0.3,low,en_vs_zh,0.34377541679806267,0.54,0,1.0,0.0,50,50,1.0,50.0,50.0
cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,study2_item_03,3,0.36,medium,en_vs_zh,0.6273395441755125,0.82,0,1.0,-0.05455447255899809,50,50,1.0,50.0,50.0
cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,study2_item_04,4,0.24,low,en_vs_zh,0.3761088174201359,0.5599999999999999,0,1.0,0.34412360080584264,50,50,1.0,50.0,50.0
cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,study2_item_05,5,0.64,medium,en_vs_zh,0.020313241520312268,0.04000000000000002,1,0.0,0.7999999999999999,50,50,1.0,50.0,50.0
cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,study2_item_06,6,0.44,medium,en_vs_zh,0.0,0.0,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,study2_item_07,7,0.28,low,en_vs_zh,0.0,0.0,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,study2_item_08,8,0.33,low,en_vs_zh,0.01007286462500093,0.02000000000000001,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,study2_item_09,9,0.48,medium,en_vs_zh,0.14411706178066816,0.24000000000000005,1,0.0,0.35909242322980395,50,50,1.0,50.0,50.0
cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,study2_item_10,10,0.92,high,en_vs_zh,0.0,0.0,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,study2_item_11,11,0.56,medium,en_vs_zh,0.1527619042708669,0.37999999999999995,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,study2_item_12,12,0.3,low,en_vs_zh,0.012353310468630554,0.06000000000000002,1,0.0,0.8660254037844387,50,50,1.0,50.0,50.0
cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,study2_item_13,13,0.83,high,en_vs_zh,0.0,0.0,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,study2_item_14,14,0.74,high,en_vs_zh,0.01007286462500093,0.02000000000000001,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,study2_item_15,15,0.88,high,en_vs_zh,0.0,0.0,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,gpt-5.4-mini,2,study2_british_within,study2_item_02,2,0.3,low,en_vs_zh,0.49342260576014463,0.7,0,1.0,0.0,10,10,1.0,10.0,10.0
cross_lingual,openai,gpt-5.4-mini,2,study2_british_within,study2_item_03,3,0.36,medium,en_vs_zh,0.523778860398527,0.7,0,1.0,-0.17677669529663687,10,10,1.0,10.0,10.0
cross_lingual,openai,gpt-5.4-mini,2,study2_british_within,study2_item_04,4,0.24,low,en_vs_zh,0.04678484847737534,0.2,1,0.0,,10,10,1.0,10.0,10.0
human_alignment,openai,gpt-5.4-mini,1,study2_british_within,study2_item_01,1,0.9,high,en,1.0,1.0,0,,-0.6425294053171791,50,50,1.0,,
human_alignment,openai,gpt-5.4-mini,1,study2_british_within,study2_item_01,1,0.9,high,zh,1.0,1.0,0,,-0.6425294053171791,50,50,1.0,,
human_alignment,openai,gpt-5.4-mini,1,study2_british_within,study2_item_02,2,0.3,low,en,1.0,1.0,0,,-0.36429003203460203,50,50,1.0,,
human_alignment,openai,gpt-5.4-mini,1,study2_british_within,study2_item_02,2,0.3,low,zh,0.9647870883648515,0.99,0,,-0.4722223621847104,50,50,1.0,,
human_alignment,openai,gpt-5.4-mini,1,study2_british_within,study2_item_03,3,0.36,medium,en,0.8001811356783937,0.9199999999999999,0,,0.044369135602420194,50,50,1.0,,
human_alignment,openai,gpt-5.4-mini,1,study2_british_within,study2_item_03,3,0.36,medium,zh,0.6615794281741202,0.79,0,,-0.1088983776426496,50,50,1.0,,
human_alignment,openai,gpt-5.4-mini,1,study2_british_within,study2_item_04,4,0.24,low,en,0.7931020914328072,0.8200000000000001,0,,-0.4686404294621271,50,50,1.0,,
human_alignment,openai,gpt-5.4-mini,1,study2_british_within,study2_item_04,4,0.24,low,zh,0.8058098811090663,0.84,0,,-0.03793216209054408,50,50,1.0,,
human_alignment,openai,gpt-5.4-mini,1,study2_british_within,study2_item_05,5,0.64,medium,en,0.9353499406117104,0.98,0,,-0.33352216754670905,50,50,1.0,,
human_alignment,openai,gpt-5.4-mini,1,study2_british_within,study2_item_05,5,0.64,medium,zh,0.9656107972071122,0.98,0,,-0.4119979716753466,50,50,1.0,,
human_alignment,openai,gpt-5.4-mini,1,study2_british_within,study2_item_06,6,0.44,medium,en,1.0,1.0,0,,-0.40547849682554116,50,50,1.0,,
human_alignment,openai,gpt-5.4-mini,1,study2_british_within,study2_item_06,6,0.44,medium,zh,1.0,1.0,0,,-0.40547849682554116,50,50,1.0,,
