item_id,prompt_language,n_4o_nonempty,n_54_nonempty,top1_4o,top1_54,top1_match,jsd,tvd
study2_item_01,en,50,50,** London,** London,True,0.0,0.0
study2_item_01,zh,50,50,** London,** London,True,0.0,0.0
study2_item_02,en,50,50,harrykane,David Beckham,False,0.41415244726470696,0.62
study2_item_02,zh,50,50,David Beckham,David Beckham,True,0.01007286462500085,0.02000000000000001
study2_item_03,en,50,50,rishisunak,donaldtrump,False,1.0,1.0
study2_item_03,zh,50,50,winstonchurchill,donaldtrump,False,0.9406557062070925,0.98
study2_item_04,en,50,0,bigben,,False,,
study2_item_04,zh,50,50,bigben,bigben,True,0.04000000000000001,0.04
study2_item_05,en,50,50,snowdonia,Mount Everest.*,False,0.9999999999999998,1.0
study2_item_05,zh,50,50,snowdonia,Mount Everest.*,False,0.8658537981980635,0.94
study2_item_06,en,50,50,Fish and chips,Fish and chips,True,0.0,0.0
study2_item_06,zh,50,50,Fish and chips,Fish and chips,True,0.0,0.0
study2_item_07,en,50,50,Big Ben,Big Ben,True,0.0,0.0
study2_item_07,zh,50,50,Big Ben,Big Ben,True,0.0,0.0
study2_item_08,en,50,50,Ed Sheeran,Elton John,False,0.9289911704818995,0.98
study2_item_08,zh,50,50,Ed Sheeran,Ed Sheeran,True,0.01007286462500085,0.02000000000000001
study2_item_09,en,50,50,prideandprejudice,Harry Potter,False,0.8336791289905017,0.94
study2_item_09,zh,50,50,prideandprejudice,harrypotter,False,0.9289911704818995,0.98
study2_item_10,en,50,50,BBC,BBC,True,0.0,0.0
study2_item_10,zh,50,50,BBC,BBC,True,0.0,0.0
study2_item_11,en,50,50,London,paris,False,0.8336791289905012,0.94
study2_item_11,zh,50,50,London,London,True,0.0,0.0
study2_item_12,en,49,50,Margaret Thatcher,Margaret Thatcher,True,0.11042333119582376,0.20408163265306123
study2_item_12,zh,50,50,Margaret Thatcher,Margaret Thatcher,True,0.11202732429547489,0.15999999999999998
study2_item_13,en,50,50,Pound,pound,False,0.41415244726470696,0.62
study2_item_13,zh,50,50,pound,pound,True,0.06276448651079408,0.12
study2_item_14,en,50,50,Rose,Rose,True,0.0,0.0
study2_item_14,zh,50,50,Rose,Rose,True,0.0,0.0
study2_item_15,en,50,50,football,football,True,0.0,0.0
study2_item_15,zh,50,50,football,football,True,0.0,0.0
