provider,model,requested_model,resolved_model,provider_backend,panel_id,item_id,item_text_en,item_text_zh,prompt_language,answer_language,round_index,sample_index,temperature,max_output_tokens,seed,provider_timeout_seconds,provider_concurrency,request_cache_key,system_prompt,user_prompt,response_text,finish_reason,request_id,prompt_tokens,completion_tokens,total_tokens,latency_seconds,response_source,retry_count,attempt_count,cache_hit,disk_cache_hit,provider_cached_tokens,error,raw_payload,generated_at_utc,response_validation_error,parsed_answer,response_clean,answer_key,coord_answer,coord_answer_key,canonical_answer,normalization_status,closest_human_answer_key,closest_human_canonical,closest_human_score
openai,K2.6-code-preview,K2.6-code-preview,K2.6-code-preview,openai_chat_completions_stream,study2_british_within,study2_item_01,Name a city,说出一座城市,en,English,1,5,1.0,256,189450029,120,15,55428c70a7efb21fbf30ed45bfa112bbb34285ec7b33d867b457202705073a4f,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a city",London,stop,msg_zScONjymV2kIsrW43ZKl37Aq,1379.0,4.0,1383.0,2.5272119999863207,provider_api,0,1,False,False,1379.0,,"{'stream': True, 'requested_stream': True, 'event_count': 5, 'http_status': 200, 'usage': {'prompt_tokens': 1379, 'completion_tokens': 4, 'total_tokens': 1383, 'prompt_tokens_details': {'cached_tokens': 1379, 'text_tokens': 0, 'audio_tokens': 0, 'image_tokens': 0}, 'completion_tokens_details': {'text_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 0}, 'input_tokens': 0, 'output_tokens': 0, 'input_tokens_details': None, 'claude_cache_creation_5_m_tokens': 0, 'claude_cache_creation_1_h_tokens': 0}}",2026-04-17T17:53:18.264438+00:00,nan,London,London,london,London,london,** London,alias,london,london,100.0
openai,K2.6-code-preview,K2.6-code-preview,K2.6-code-preview,openai_chat_completions_stream,study2_british_within,study2_item_01,Name a city,说出一座城市,en,English,1,12,1.0,256,4376691,120,15,428d67a8bbd2b7fe78856faaf62737e1aee98a78ad997b6518fc0ccf2f8b47d4,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a city",London,stop,msg_11NTBTMFVWFUsbM7QEuJXMUI,1379.0,4.0,1383.0,3.453022699977737,provider_api,0,1,False,False,1379.0,,"{'stream': True, 'requested_stream': True, 'event_count': 5, 'http_status': 200, 'usage': {'prompt_tokens': 1379, 'completion_tokens': 4, 'total_tokens': 1383, 'prompt_tokens_details': {'cached_tokens': 1379, 'text_tokens': 0, 'audio_tokens': 0, 'image_tokens': 0}, 'completion_tokens_details': {'text_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 0}, 'input_tokens': 0, 'output_tokens': 0, 'input_tokens_details': None, 'claude_cache_creation_5_m_tokens': 0, 'claude_cache_creation_1_h_tokens': 0}}",2026-04-17T17:53:19.201839+00:00,nan,London,London,london,London,london,** London,alias,london,london,100.0
openai,K2.6-code-preview,K2.6-code-preview,K2.6-code-preview,openai_chat_completions_stream,study2_british_within,study2_item_01,Name a city,说出一座城市,en,English,1,15,1.0,256,26348038,120,15,b95ff3ae9b36160b8c84fa63f05c7019e692c1526d6610a27c5aa4942ef0e6d5,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a city",London,stop,msg_aWj5SkdhfjjnK3Xr8Y4Owzey,1379.0,4.0,1383.0,3.331333700043615,provider_api,0,1,False,False,1379.0,,"{'stream': True, 'requested_stream': True, 'event_count': 5, 'http_status': 200, 'usage': {'prompt_tokens': 1379, 'completion_tokens': 4, 'total_tokens': 1383, 'prompt_tokens_details': {'cached_tokens': 1379, 'text_tokens': 0, 'audio_tokens': 0, 'image_tokens': 0}, 'completion_tokens_details': {'text_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 0}, 'input_tokens': 0, 'output_tokens': 0, 'input_tokens_details': None, 'claude_cache_creation_5_m_tokens': 0, 'claude_cache_creation_1_h_tokens': 0}}",2026-04-17T17:53:23.613443+00:00,nan,London,London,london,London,london,** London,alias,london,london,100.0
openai,K2.6-code-preview,K2.6-code-preview,K2.6-code-preview,openai_chat_completions_stream,study2_british_within,study2_item_01,Name a city,说出一座城市,en,English,1,4,1.0,256,108335152,120,15,6c24d731bc73e3a04ea03606debe0b7b4d0c09871f4ede7b7db6759c998b6a3b,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a city",London,stop,msg_VdmRX89AcMVDpgidzDTYKWb0,1379.0,4.0,1383.0,2.6454096999950707,provider_api,1,2,False,False,1379.0,,"{'stream': True, 'requested_stream': True, 'event_count': 5, 'http_status': 200, 'usage': {'prompt_tokens': 1379, 'completion_tokens': 4, 'total_tokens': 1383, 'prompt_tokens_details': {'cached_tokens': 1379, 'text_tokens': 0, 'audio_tokens': 0, 'image_tokens': 0}, 'completion_tokens_details': {'text_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 0}, 'input_tokens': 0, 'output_tokens': 0, 'input_tokens_details': None, 'claude_cache_creation_5_m_tokens': 0, 'claude_cache_creation_1_h_tokens': 0}}",2026-04-17T17:53:23.766781+00:00,nan,London,London,london,London,london,** London,alias,london,london,100.0
openai,K2.6-code-preview,K2.6-code-preview,K2.6-code-preview,openai_chat_completions_stream,study2_british_within,study2_item_01,Name a city,说出一座城市,en,English,1,13,1.0,256,969342950,120,15,9afb2383a86646a63f0821c6c3da0636d351df03be9d8203575cf49e1ed9b8ad,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a city",London,stop,msg_2AhFJIU8c2CrigiuVxrE6GDK,1379.0,4.0,1383.0,2.8741063000052236,provider_api,1,2,False,False,1379.0,,"{'stream': True, 'requested_stream': True, 'event_count': 5, 'http_status': 200, 'usage': {'prompt_tokens': 1379, 'completion_tokens': 4, 'total_tokens': 1383, 'prompt_tokens_details': {'cached_tokens': 1379, 'text_tokens': 0, 'audio_tokens': 0, 'image_tokens': 0}, 'completion_tokens_details': {'text_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 0}, 'input_tokens': 0, 'output_tokens': 0, 'input_tokens_details': None, 'claude_cache_creation_5_m_tokens': 0, 'claude_cache_creation_1_h_tokens': 0}}",2026-04-17T17:53:23.964946+00:00,nan,London,London,london,London,london,** London,alias,london,london,100.0
openai,K2.6-code-preview,K2.6-code-preview,K2.6-code-preview,openai_chat_completions_stream,study2_british_within,study2_item_01,Name a city,说出一座城市,en,English,1,3,1.0,256,673359281,120,15,49ad5bdc46ebe079ba6421e4b3e82bcef6dbbf801f1bf8dbad180bc0412ee61a,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a city",London,stop,msg_q4epqGlq1XFrckOQfecQbLby,1379.0,4.0,1383.0,2.7571554000023752,provider_api,1,2,False,False,1379.0,,"{'stream': True, 'requested_stream': True, 'event_count': 5, 'http_status': 200, 'usage': {'prompt_tokens': 1379, 'completion_tokens': 4, 'total_tokens': 1383, 'prompt_tokens_details': {'cached_tokens': 1379, 'text_tokens': 0, 'audio_tokens': 0, 'image_tokens': 0}, 'completion_tokens_details': {'text_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 0}, 'input_tokens': 0, 'output_tokens': 0, 'input_tokens_details': None, 'claude_cache_creation_5_m_tokens': 0, 'claude_cache_creation_1_h_tokens': 0}}",2026-04-17T17:53:23.970221+00:00,nan,London,London,london,London,london,** London,alias,london,london,100.0
openai,K2.6-code-preview,K2.6-code-preview,K2.6-code-preview,openai_chat_completions_stream,study2_british_within,study2_item_01,Name a city,说出一座城市,en,English,1,16,1.0,256,573246155,120,15,77f6966bcb75f2156d2bf43d914c0ecfe807d6901c28144d4a79401abee643c4,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a city",London,stop,msg_sumbmUHBARHUqMLMMvkRUTA6,1379.0,4.0,1383.0,2.9043299999902956,provider_api,0,1,False,False,1379.0,,"{'stream': True, 'requested_stream': True, 'event_count': 5, 'http_status': 200, 'usage': {'prompt_tokens': 1379, 'completion_tokens': 4, 'total_tokens': 1383, 'prompt_tokens_details': {'cached_tokens': 1379, 'text_tokens': 0, 'audio_tokens': 0, 'image_tokens': 0}, 'completion_tokens_details': {'text_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 0}, 'input_tokens': 0, 'output_tokens': 0, 'input_tokens_details': None, 'claude_cache_creation_5_m_tokens': 0, 'claude_cache_creation_1_h_tokens': 0}}",2026-04-17T17:53:24.117943+00:00,nan,London,London,london,London,london,** London,alias,london,london,100.0
openai,K2.6-code-preview,K2.6-code-preview,K2.6-code-preview,openai_chat_completions_stream,study2_british_within,study2_item_01,Name a city,说出一座城市,en,English,1,0,1.0,256,447924741,120,15,1ba840e39ae3194aace95512be99ce9cad66db269f9d26a55f3bed38220ea78a,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a city",London,stop,msg_vbcajXZYYd1KBZ6MlPUuC89A,1379.0,4.0,1383.0,2.841591300035361,provider_api,1,2,False,False,1379.0,,"{'stream': True, 'requested_stream': True, 'event_count': 5, 'http_status': 200, 'usage': {'prompt_tokens': 1379, 'completion_tokens': 4, 'total_tokens': 1383, 'prompt_tokens_details': {'cached_tokens': 1379, 'text_tokens': 0, 'audio_tokens': 0, 'image_tokens': 0}, 'completion_tokens_details': {'text_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 0}, 'input_tokens': 0, 'output_tokens': 0, 'input_tokens_details': None, 'claude_cache_creation_5_m_tokens': 0, 'claude_cache_creation_1_h_tokens': 0}}",2026-04-17T17:53:24.347392+00:00,nan,London,London,london,London,london,** London,alias,london,london,100.0
openai,K2.6-code-preview,K2.6-code-preview,K2.6-code-preview,openai_chat_completions_stream,study2_british_within,study2_item_01,Name a city,说出一座城市,en,English,1,10,1.0,256,567963904,120,15,c0ff4b9ad7ea29d4dc279f5cc725b9e5ecbe3657a688ae7893898dca258cc390,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a city",London,stop,msg_PrjCK6tOpQwZ9R5L2b54InPh,1379.0,4.0,1383.0,2.899330899992492,provider_api,1,2,False,False,1379.0,,"{'stream': True, 'requested_stream': True, 'event_count': 5, 'http_status': 200, 'usage': {'prompt_tokens': 1379, 'completion_tokens': 4, 'total_tokens': 1383, 'prompt_tokens_details': {'cached_tokens': 1379, 'text_tokens': 0, 'audio_tokens': 0, 'image_tokens': 0}, 'completion_tokens_details': {'text_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 0}, 'input_tokens': 0, 'output_tokens': 0, 'input_tokens_details': None, 'claude_cache_creation_5_m_tokens': 0, 'claude_cache_creation_1_h_tokens': 0}}",2026-04-17T17:53:24.508065+00:00,nan,London,London,london,London,london,** London,alias,london,london,100.0
openai,K2.6-code-preview,K2.6-code-preview,K2.6-code-preview,openai_chat_completions_stream,study2_british_within,study2_item_01,Name a city,说出一座城市,en,English,1,11,1.0,256,996679607,120,15,c70eececf8877f28326e25baeb80d01f272f46518348cee24e278a646ea76df2,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a city",London,stop,msg_3fVYT99CBX8DqaZS1QPfnfI0,1379.0,4.0,1383.0,2.9636814999976195,provider_api,1,2,False,False,1379.0,,"{'stream': True, 'requested_stream': True, 'event_count': 5, 'http_status': 200, 'usage': {'prompt_tokens': 1379, 'completion_tokens': 4, 'total_tokens': 1383, 'prompt_tokens_details': {'cached_tokens': 1379, 'text_tokens': 0, 'audio_tokens': 0, 'image_tokens': 0}, 'completion_tokens_details': {'text_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 0}, 'input_tokens': 0, 'output_tokens': 0, 'input_tokens_details': None, 'claude_cache_creation_5_m_tokens': 0, 'claude_cache_creation_1_h_tokens': 0}}",2026-04-17T17:53:24.525098+00:00,nan,London,London,london,London,london,** London,alias,london,london,100.0
