provider,model,requested_model,resolved_model,provider_backend,panel_id,item_id,item_text_en,item_text_zh,prompt_language,answer_language,round_index,sample_index,temperature,max_output_tokens,seed,provider_timeout_seconds,provider_concurrency,request_cache_key,system_prompt,user_prompt,response_text,finish_reason,request_id,prompt_tokens,completion_tokens,total_tokens,latency_seconds,response_source,retry_count,attempt_count,cache_hit,disk_cache_hit,provider_cached_tokens,error,raw_payload,generated_at_utc,response_validation_error,parsed_answer,response_clean,answer_key,coord_answer,coord_answer_key,canonical_answer,normalization_status,closest_human_answer_key,closest_human_canonical,closest_human_score
openai,MiniMax-M2.7,MiniMax-M2.7,MiniMax-M2.7,openai_chat_completions_stream,study2_british_within,study2_item_01,Name a city,说出一座城市,en,English,1,8,1.0,256,229017835,120,10,908038c5d597707be199d72670284c2cc50556f8a9aeba89acb40d993a66444d,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a city","

London",stop,062d5026a68242a1be0193a8ce7f1869,13.0,61.0,74.0,3.4980034999971394,provider_api,0,1,False,False,64.0,,"{'stream': True, 'requested_stream': True, 'event_count': 9, 'http_status': 200, 'usage': {'prompt_tokens': 13, 'completion_tokens': 61, 'total_tokens': 74, 'prompt_tokens_details': {'cached_tokens': 64, 'text_tokens': 0, 'audio_tokens': 0, 'image_tokens': 0}, 'completion_tokens_details': {'text_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 0}, 'input_tokens': 0, 'output_tokens': 0, 'input_tokens_details': None, 'claude_cache_creation_5_m_tokens': 0, 'claude_cache_creation_1_h_tokens': 0}}",2026-04-14T10:55:40.460505+00:00,nan,London,London,london,London,london,** London,alias,london,london,100.0
openai,MiniMax-M2.7,MiniMax-M2.7,MiniMax-M2.7,openai_chat_completions_stream,study2_british_within,study2_item_01,Name a city,说出一座城市,en,English,1,0,1.0,256,447924741,120,10,7bac81674c6dfc4988774d8a21f159b4ede9a9e0155dc98bb329ff7c2b517cda,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a city","

London",stop,062d50268aa57ed801975c1f19ea2e8f,77.0,103.0,180.0,3.283791800000472,provider_api,0,1,False,False,0.0,,"{'stream': True, 'requested_stream': True, 'event_count': 10, 'http_status': 200, 'usage': {'prompt_tokens': 77, 'completion_tokens': 103, 'total_tokens': 180, 'prompt_tokens_details': {'cached_tokens': 0, 'text_tokens': 0, 'audio_tokens': 0, 'image_tokens': 0}, 'completion_tokens_details': {'text_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 0}, 'input_tokens': 0, 'output_tokens': 0, 'input_tokens_details': None, 'claude_cache_creation_5_m_tokens': 0, 'claude_cache_creation_1_h_tokens': 0}}",2026-04-14T10:55:42.049780+00:00,nan,London,London,london,London,london,** London,alias,london,london,100.0
openai,MiniMax-M2.7,MiniMax-M2.7,MiniMax-M2.7,openai_chat_completions_stream,study2_british_within,study2_item_01,Name a city,说出一座城市,en,English,1,7,1.0,256,651778595,120,10,8a60b02d52c83fdc5c3743e793d6c25fc34280d68e3aba25475b8570997ee28d,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a city",London,stop,062d502784b9bd99690bfc25f0e255c4,124.0,181.0,305.0,3.3107910999970045,provider_api,0,1,False,False,1251.0,,"{'stream': True, 'requested_stream': True, 'event_count': 15, 'http_status': 200, 'usage': {'prompt_tokens': 124, 'completion_tokens': 181, 'total_tokens': 305, 'prompt_tokens_details': {'cached_tokens': 1251, 'text_tokens': 0, 'audio_tokens': 0, 'image_tokens': 0}, 'completion_tokens_details': {'text_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 0}, 'input_tokens': 0, 'output_tokens': 0, 'input_tokens_details': None, 'claude_cache_creation_5_m_tokens': 0, 'claude_cache_creation_1_h_tokens': 0}}",2026-04-14T10:55:42.237291+00:00,nan,London,London,london,London,london,** London,alias,london,london,100.0
openai,MiniMax-M2.7,MiniMax-M2.7,MiniMax-M2.7,openai_chat_completions_stream,study2_british_within,study2_item_01,Name a city,说出一座城市,en,English,1,1,1.0,256,293911609,120,10,2fcd4b5cd1926d23435fef25331adea6dac10e8d60b47f7af5bac9beb8c86c96,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a city","

London",stop,062d50263eb107e9a433731c66c7cb33,77.0,147.0,224.0,3.217246400003205,provider_api,0,1,False,False,0.0,,"{'stream': True, 'requested_stream': True, 'event_count': 10, 'http_status': 200, 'usage': {'prompt_tokens': 77, 'completion_tokens': 147, 'total_tokens': 224, 'prompt_tokens_details': {'cached_tokens': 0, 'text_tokens': 0, 'audio_tokens': 0, 'image_tokens': 0}, 'completion_tokens_details': {'text_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 0}, 'input_tokens': 0, 'output_tokens': 0, 'input_tokens_details': None, 'claude_cache_creation_5_m_tokens': 0, 'claude_cache_creation_1_h_tokens': 0}}",2026-04-14T10:55:43.101834+00:00,nan,London,London,london,London,london,** London,alias,london,london,100.0
openai,MiniMax-M2.7,MiniMax-M2.7,MiniMax-M2.7,openai_chat_completions_stream,study2_british_within,study2_item_01,Name a city,说出一座城市,en,English,1,6,1.0,256,557022987,120,10,de60fc343507169b9953816c0f49296ec4988b3e171333cb7ec9b629981e0517,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a city","

London",stop,062d5027a155b1250771387c9f7ccc6e,1376.0,99.0,1475.0,4.122519200005627,provider_api,0,1,False,False,0.0,,"{'stream': True, 'requested_stream': True, 'event_count': 10, 'http_status': 200, 'usage': {'prompt_tokens': 1376, 'completion_tokens': 99, 'total_tokens': 1475, 'prompt_tokens_details': {'cached_tokens': 0, 'text_tokens': 0, 'audio_tokens': 0, 'image_tokens': 0}, 'completion_tokens_details': {'text_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 0}, 'input_tokens': 0, 'output_tokens': 0, 'input_tokens_details': None, 'claude_cache_creation_5_m_tokens': 0, 'claude_cache_creation_1_h_tokens': 0}}",2026-04-14T10:55:43.241770+00:00,nan,London,London,london,London,london,** London,alias,london,london,100.0
openai,MiniMax-M2.7,MiniMax-M2.7,MiniMax-M2.7,openai_chat_completions_stream,study2_british_within,study2_item_01,Name a city,说出一座城市,en,English,1,4,1.0,256,108335152,120,10,4c1e7be9343f17b7b98d906ff030c42fa2891c64241d6f63b60bfde735b0d513,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a city","

London",stop,062d5026f3d61a6a4532e79e58983fd5,13.0,173.0,186.0,2.9282665999999153,provider_api,0,1,False,False,64.0,,"{'stream': True, 'requested_stream': True, 'event_count': 11, 'http_status': 200, 'usage': {'prompt_tokens': 13, 'completion_tokens': 173, 'total_tokens': 186, 'prompt_tokens_details': {'cached_tokens': 64, 'text_tokens': 0, 'audio_tokens': 0, 'image_tokens': 0}, 'completion_tokens_details': {'text_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 0}, 'input_tokens': 0, 'output_tokens': 0, 'input_tokens_details': None, 'claude_cache_creation_5_m_tokens': 0, 'claude_cache_creation_1_h_tokens': 0}}",2026-04-14T10:55:43.490795+00:00,nan,London,London,london,London,london,** London,alias,london,london,100.0
openai,MiniMax-M2.7,MiniMax-M2.7,MiniMax-M2.7,openai_chat_completions_stream,study2_british_within,study2_item_01,Name a city,说出一座城市,en,English,1,9,1.0,256,648768784,120,10,1abff5cf6c88cf2f25aaef053731feb08e224f33d7f72904396ec2d8bcde474c,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a city","

London",stop,062d50265b0b0ffcd850a17e1ce824fe,77.0,143.0,220.0,3.1933389000041643,provider_api,0,1,False,False,0.0,,"{'stream': True, 'requested_stream': True, 'event_count': 11, 'http_status': 200, 'usage': {'prompt_tokens': 77, 'completion_tokens': 143, 'total_tokens': 220, 'prompt_tokens_details': {'cached_tokens': 0, 'text_tokens': 0, 'audio_tokens': 0, 'image_tokens': 0}, 'completion_tokens_details': {'text_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 0}, 'input_tokens': 0, 'output_tokens': 0, 'input_tokens_details': None, 'claude_cache_creation_5_m_tokens': 0, 'claude_cache_creation_1_h_tokens': 0}}",2026-04-14T10:55:43.582400+00:00,nan,London,London,london,London,london,** London,alias,london,london,100.0
openai,MiniMax-M2.7,MiniMax-M2.7,MiniMax-M2.7,openai_chat_completions_stream,study2_british_within,study2_item_01,Name a city,说出一座城市,en,English,1,5,1.0,256,189450029,120,10,61a572d30cf5c68f07addaaed97ca195d773a665f6f32771270bc3e71ca38f91,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a city","

London",stop,062d50267aabbfe2495137a04b752117,77.0,217.0,294.0,3.21215349999693,provider_api,0,1,False,False,0.0,,"{'stream': True, 'requested_stream': True, 'event_count': 12, 'http_status': 200, 'usage': {'prompt_tokens': 77, 'completion_tokens': 217, 'total_tokens': 294, 'prompt_tokens_details': {'cached_tokens': 0, 'text_tokens': 0, 'audio_tokens': 0, 'image_tokens': 0}, 'completion_tokens_details': {'text_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 0}, 'input_tokens': 0, 'output_tokens': 0, 'input_tokens_details': None, 'claude_cache_creation_5_m_tokens': 0, 'claude_cache_creation_1_h_tokens': 0}}",2026-04-14T10:55:46.059558+00:00,nan,London,London,london,London,london,** London,alias,london,london,100.0
openai,MiniMax-M2.7,MiniMax-M2.7,MiniMax-M2.7,openai_chat_completions_stream,study2_british_within,study2_item_01,Name a city,说出一座城市,en,English,1,13,1.0,256,969342950,120,10,a55ce0286c51162d309d3c737a1ee281dfd6aca1ba0ca08ca1d2550eade5183e,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a city",London,stop,062d5031e0dae0740e37d5c420430d53,124.0,114.0,238.0,3.163619799997832,provider_api,0,1,False,False,1251.0,,"{'stream': True, 'requested_stream': True, 'event_count': 13, 'http_status': 200, 'usage': {'prompt_tokens': 124, 'completion_tokens': 114, 'total_tokens': 238, 'prompt_tokens_details': {'cached_tokens': 1251, 'text_tokens': 0, 'audio_tokens': 0, 'image_tokens': 0}, 'completion_tokens_details': {'text_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 0}, 'input_tokens': 0, 'output_tokens': 0, 'input_tokens_details': None, 'claude_cache_creation_5_m_tokens': 0, 'claude_cache_creation_1_h_tokens': 0}}",2026-04-14T10:55:51.123165+00:00,nan,London,London,london,London,london,** London,alias,london,london,100.0
openai,MiniMax-M2.7,MiniMax-M2.7,MiniMax-M2.7,openai_chat_completions_stream,study2_british_within,study2_item_01,Name a city,说出一座城市,en,English,1,11,1.0,256,996679607,120,10,a0add1d63f78fbd729c990ee5153d0a782b9a1f2a8b241a8a81e33aaf1bba376,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a city","

London",stop,062d502f0ffcb81624d13046c807ef16,13.0,133.0,146.0,2.3305547999989358,provider_api,0,1,False,False,64.0,,"{'stream': True, 'requested_stream': True, 'event_count': 11, 'http_status': 200, 'usage': {'prompt_tokens': 13, 'completion_tokens': 133, 'total_tokens': 146, 'prompt_tokens_details': {'cached_tokens': 64, 'text_tokens': 0, 'audio_tokens': 0, 'image_tokens': 0}, 'completion_tokens_details': {'text_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 0}, 'input_tokens': 0, 'output_tokens': 0, 'input_tokens_details': None, 'claude_cache_creation_5_m_tokens': 0, 'claude_cache_creation_1_h_tokens': 0}}",2026-04-14T10:55:51.819390+00:00,nan,London,London,london,London,london,** London,alias,london,london,100.0
