scope,metric_family,provider,model,round_index,panel_id,item_id,prompt_language,metric,ci_low,ci_high
aggregate,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,,en_vs_zh,jsd,0.03295520135261143,0.31925237891163744
aggregate,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,,en_vs_zh,tvd,0.05850000000000001,0.3693666666666667
aggregate,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,,en_vs_zh,top1_match,0.6666666666666666,1.0
aggregate,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,,en_vs_zh,flip_rate,0.0,0.3333333333333333
aggregate,human_alignment,deepseek,deepseek-chat,1,study2_british_within,,en,jsd,0.6841688245870382,1.0
aggregate,human_alignment,deepseek,deepseek-chat,1,study2_british_within,,en,tvd,0.7034821428571428,1.0
aggregate,human_alignment,deepseek,deepseek-chat,1,study2_british_within,,en,top1_match,0.0,0.35714285714285715
aggregate,human_alignment,deepseek,deepseek-chat,1,study2_british_within,,zh,jsd,0.6778113799850988,0.9771533341981821
aggregate,human_alignment,deepseek,deepseek-chat,1,study2_british_within,,zh,tvd,0.7066499999999999,0.988
aggregate,human_alignment,deepseek,deepseek-chat,1,study2_british_within,,zh,top1_match,0.0,0.3333333333333333
item,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_01,en_vs_zh,jsd,0.0,0.0
item,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_01,en_vs_zh,tvd,0.0,0.0
item,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_02,en_vs_zh,jsd,0.0,0.0
item,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_02,en_vs_zh,tvd,0.0,0.0
item,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_03,en_vs_zh,jsd,0.6322282884403654,0.8321885635342889
item,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_03,en_vs_zh,tvd,0.6799999999999999,0.9
item,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_03,en_vs_zh,spearman,-1.0,-1.0
item,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_04,en_vs_zh,jsd,0.10803154614560012,0.2803220841364248
item,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_04,en_vs_zh,tvd,0.19999999999999998,0.45999999999999996
item,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_04,en_vs_zh,spearman,0.8660254037844387,0.8660254037844387
item,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_05,en_vs_zh,jsd,0.19529542625770435,0.3958156020033583
item,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_05,en_vs_zh,tvd,0.33999999999999997,0.6
item,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_05,en_vs_zh,spearman,0.0,0.8660254037844387
item,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_06,en_vs_zh,jsd,0.0,0.0
item,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_06,en_vs_zh,tvd,0.0,0.0
item,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_07,en_vs_zh,jsd,0.0,0.0
item,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_07,en_vs_zh,tvd,0.0,0.0
item,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_08,en_vs_zh,jsd,0.08502441288198997,0.23645279766002797
item,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_08,en_vs_zh,tvd,0.16000000000000003,0.4
item,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_09,en_vs_zh,jsd,0.0,0.0
item,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_09,en_vs_zh,tvd,0.0,0.0
item,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_10,en_vs_zh,jsd,0.0,0.0
item,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_10,en_vs_zh,tvd,0.0,0.0
item,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_11,en_vs_zh,jsd,0.0,0.0
item,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_11,en_vs_zh,tvd,0.0,0.0
item,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_12,en_vs_zh,jsd,0.8336791289905013,1.0
item,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_12,en_vs_zh,tvd,0.94,1.0
item,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_13,en_vs_zh,jsd,0.06249285335605705,0.19529542625770435
item,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_13,en_vs_zh,tvd,0.11950000000000002,0.33999999999999997
item,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_14,en_vs_zh,jsd,0.0,0.0
item,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_14,en_vs_zh,tvd,0.0,0.0
item,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_15,en_vs_zh,jsd,0.0,0.0
item,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_15,en_vs_zh,tvd,0.0,0.0
item,human_alignment,deepseek,deepseek-chat,1,study2_british_within,study2_item_01,en,jsd,1.0,1.0
item,human_alignment,deepseek,deepseek-chat,1,study2_british_within,study2_item_01,en,tvd,1.0,1.0
item,human_alignment,deepseek,deepseek-chat,1,study2_british_within,study2_item_01,en,spearman,-0.6425294053171791,-0.6425294053171791
item,human_alignment,deepseek,deepseek-chat,1,study2_british_within,study2_item_01,zh,jsd,1.0,1.0
item,human_alignment,deepseek,deepseek-chat,1,study2_british_within,study2_item_01,zh,tvd,1.0,1.0
item,human_alignment,deepseek,deepseek-chat,1,study2_british_within,study2_item_01,zh,spearman,-0.6425294053171791,-0.6425294053171791
item,human_alignment,deepseek,deepseek-chat,1,study2_british_within,study2_item_02,en,jsd,1.0,1.0
item,human_alignment,deepseek,deepseek-chat,1,study2_british_within,study2_item_02,en,tvd,1.0,1.0
item,human_alignment,deepseek,deepseek-chat,1,study2_british_within,study2_item_02,en,spearman,-0.36429003203460203,-0.36429003203460203
item,human_alignment,deepseek,deepseek-chat,1,study2_british_within,study2_item_02,zh,jsd,1.0,1.0
item,human_alignment,deepseek,deepseek-chat,1,study2_british_within,study2_item_02,zh,tvd,1.0,1.0
item,human_alignment,deepseek,deepseek-chat,1,study2_british_within,study2_item_02,zh,spearman,-0.36429003203460203,-0.36429003203460203
item,human_alignment,deepseek,deepseek-chat,1,study2_british_within,study2_item_03,en,jsd,0.6810239997514489,0.7111699703924008
item,human_alignment,deepseek,deepseek-chat,1,study2_british_within,study2_item_03,en,tvd,0.85,0.8500000000000001
item,human_alignment,deepseek,deepseek-chat,1,study2_british_within,study2_item_03,en,spearman,0.42477605603386526,0.42477605603386526
item,human_alignment,deepseek,deepseek-chat,1,study2_british_within,study2_item_03,zh,jsd,0.7885379991138887,0.8169232834299527
item,human_alignment,deepseek,deepseek-chat,1,study2_british_within,study2_item_03,zh,tvd,0.9099999999999999,0.91
item,human_alignment,deepseek,deepseek-chat,1,study2_british_within,study2_item_03,zh,spearman,0.14992096095312893,0.14992096095312893
item,human_alignment,deepseek,deepseek-chat,1,study2_british_within,study2_item_04,en,jsd,1.0,1.0
item,human_alignment,deepseek,deepseek-chat,1,study2_british_within,study2_item_04,en,tvd,1.0,1.0
item,human_alignment,deepseek,deepseek-chat,1,study2_british_within,study2_item_04,en,spearman,-0.44236122483487417,-0.44236122483487417
item,human_alignment,deepseek,deepseek-chat,1,study2_british_within,study2_item_04,zh,jsd,0.5912889358981267,0.7605166309792581
item,human_alignment,deepseek,deepseek-chat,1,study2_british_within,study2_item_04,zh,tvd,0.64,0.8004999999999995
item,human_alignment,deepseek,deepseek-chat,1,study2_british_within,study2_item_04,zh,spearman,-0.03793216209054408,0.14773578919475064
item,human_alignment,deepseek,deepseek-chat,1,study2_british_within,study2_item_05,en,jsd,1.0,1.0
item,human_alignment,deepseek,deepseek-chat,1,study2_british_within,study2_item_05,en,tvd,1.0,1.0
item,human_alignment,deepseek,deepseek-chat,1,study2_british_within,study2_item_05,en,spearman,-0.5032362797401965,-0.5032362797401965
item,human_alignment,deepseek,deepseek-chat,1,study2_british_within,study2_item_05,zh,jsd,1.0,1.0
item,human_alignment,deepseek,deepseek-chat,1,study2_british_within,study2_item_05,zh,tvd,1.0,1.0
item,human_alignment,deepseek,deepseek-chat,1,study2_british_within,study2_item_05,zh,spearman,-0.647775313812849,-0.647775313812849
item,human_alignment,deepseek,deepseek-chat,1,study2_british_within,study2_item_06,en,jsd,1.0,1.0
item,human_alignment,deepseek,deepseek-chat,1,study2_british_within,study2_item_06,en,tvd,1.0,1.0
item,human_alignment,deepseek,deepseek-chat,1,study2_british_within,study2_item_06,en,spearman,-0.40547849682554116,-0.40547849682554116
item,human_alignment,deepseek,deepseek-chat,1,study2_british_within,study2_item_06,zh,jsd,1.0,1.0
item,human_alignment,deepseek,deepseek-chat,1,study2_british_within,study2_item_06,zh,tvd,1.0,1.0
item,human_alignment,deepseek,deepseek-chat,1,study2_british_within,study2_item_06,zh,spearman,-0.40547849682554116,-0.40547849682554116
item,human_alignment,deepseek,deepseek-chat,1,study2_british_within,study2_item_07,en,jsd,1.0,1.0
item,human_alignment,deepseek,deepseek-chat,1,study2_british_within,study2_item_07,en,tvd,1.0,1.0
item,human_alignment,deepseek,deepseek-chat,1,study2_british_within,study2_item_07,en,spearman,-0.3382950893557894,-0.3382950893557894
item,human_alignment,deepseek,deepseek-chat,1,study2_british_within,study2_item_07,zh,jsd,1.0,1.0
item,human_alignment,deepseek,deepseek-chat,1,study2_british_within,study2_item_07,zh,tvd,1.0,1.0
item,human_alignment,deepseek,deepseek-chat,1,study2_british_within,study2_item_07,zh,spearman,-0.3382950893557894,-0.3382950893557894
item,human_alignment,deepseek,deepseek-chat,1,study2_british_within,study2_item_08,en,jsd,1.0,1.0
item,human_alignment,deepseek,deepseek-chat,1,study2_british_within,study2_item_08,en,tvd,1.0,1.0
item,human_alignment,deepseek,deepseek-chat,1,study2_british_within,study2_item_08,en,spearman,-0.34523522258958245,-0.34523522258958245
item,human_alignment,deepseek,deepseek-chat,1,study2_british_within,study2_item_08,zh,jsd,1.0,1.0
item,human_alignment,deepseek,deepseek-chat,1,study2_british_within,study2_item_08,zh,tvd,1.0,1.0
item,human_alignment,deepseek,deepseek-chat,1,study2_british_within,study2_item_08,zh,spearman,-0.46672888850537203,-0.46672888850537203
item,human_alignment,deepseek,deepseek-chat,1,study2_british_within,study2_item_09,en,jsd,1.0,1.0
item,human_alignment,deepseek,deepseek-chat,1,study2_british_within,study2_item_09,en,tvd,1.0,1.0
item,human_alignment,deepseek,deepseek-chat,1,study2_british_within,study2_item_09,en,spearman,-0.4021852658263463,-0.4021852658263463
item,human_alignment,deepseek,deepseek-chat,1,study2_british_within,study2_item_09,zh,jsd,1.0,1.0
item,human_alignment,deepseek,deepseek-chat,1,study2_british_within,study2_item_09,zh,tvd,1.0,1.0
item,human_alignment,deepseek,deepseek-chat,1,study2_british_within,study2_item_09,zh,spearman,-0.4021852658263463,-0.4021852658263463
item,human_alignment,deepseek,deepseek-chat,1,study2_british_within,study2_item_10,en,jsd,1.0,1.0
item,human_alignment,deepseek,deepseek-chat,1,study2_british_within,study2_item_10,en,tvd,1.0,1.0
item,human_alignment,deepseek,deepseek-chat,1,study2_british_within,study2_item_10,en,spearman,-0.6354889093022424,-0.6354889093022424
item,human_alignment,deepseek,deepseek-chat,1,study2_british_within,study2_item_10,zh,jsd,1.0,1.0
item,human_alignment,deepseek,deepseek-chat,1,study2_british_within,study2_item_10,zh,tvd,1.0,1.0
item,human_alignment,deepseek,deepseek-chat,1,study2_british_within,study2_item_10,zh,spearman,-0.6354889093022424,-0.6354889093022424
item,human_alignment,deepseek,deepseek-chat,1,study2_british_within,study2_item_11,en,jsd,1.0,1.0
item,human_alignment,deepseek,deepseek-chat,1,study2_british_within,study2_item_11,en,tvd,1.0,1.0
item,human_alignment,deepseek,deepseek-chat,1,study2_british_within,study2_item_11,en,spearman,-0.4696682183138621,-0.4696682183138621
