panel_id,item_id,human_answer_key_count,alias_surface_key_count,covered_human_answer_key_count,coverage_rate
study1_british_within,study1_item_01,10,10,10,1.0
study1_british_within,study1_item_02,9,9,9,1.0
study1_british_within,study1_item_03,16,16,16,1.0
study1_british_within,study1_item_04,16,16,16,1.0
study1_british_within,study1_item_05,8,8,8,1.0
study1_british_within,study1_item_06,16,16,16,1.0
study1_british_within,study1_item_07,9,9,9,1.0
study1_british_within,study1_item_08,6,6,6,1.0
study1_british_within,study1_item_09,6,6,6,1.0
study1_british_within,study1_item_10,11,11,11,1.0
study1_british_within,study1_item_11,10,10,10,1.0
study1_british_within,study1_item_12,5,5,5,1.0
study1_british_within,study1_item_13,10,10,10,1.0
study1_british_within,study1_item_14,7,7,7,1.0
study1_british_within,study1_item_15,2,2,2,1.0
study1_british_within,study1_item_16,7,7,7,1.0
study1_british_within,study1_item_17,12,12,12,1.0
study1_british_within,study1_item_18,5,5,5,1.0
study1_british_within,study1_item_19,12,12,12,1.0
study1_british_within,study1_item_20,15,15,15,1.0
study1_british_within,study1_item_21,3,3,3,1.0
study1_british_within,study1_item_22,3,3,3,1.0
study1_british_within,study1_item_23,5,5,5,1.0
study1_british_within,study1_item_24,9,9,9,1.0
study1_british_within,study1_item_25,12,12,12,1.0
study1_british_within,study1_item_26,6,6,6,1.0
study1_british_within,study1_item_27,7,7,7,1.0
study1_british_within,study1_item_28,5,5,5,1.0
study1_british_within,study1_item_29,2,2,2,1.0
study1_british_within,study1_item_30,6,6,6,1.0
study1_global_within,study1_item_01,11,11,11,1.0
study1_global_within,study1_item_02,7,7,7,1.0
study1_global_within,study1_item_03,19,19,19,1.0
study1_global_within,study1_item_04,13,13,13,1.0
study1_global_within,study1_item_05,12,12,12,1.0
study1_global_within,study1_item_06,19,19,19,1.0
study1_global_within,study1_item_07,11,11,11,1.0
study1_global_within,study1_item_08,7,7,7,1.0
study1_global_within,study1_item_09,9,9,9,1.0
study1_global_within,study1_item_10,9,9,9,1.0
study1_global_within,study1_item_11,11,11,11,1.0
study1_global_within,study1_item_12,9,9,9,1.0
study1_global_within,study1_item_13,11,11,11,1.0
study1_global_within,study1_item_14,12,12,12,1.0
study1_global_within,study1_item_15,7,7,7,1.0
study1_global_within,study1_item_16,5,5,5,1.0
study1_global_within,study1_item_17,8,8,8,1.0
study1_global_within,study1_item_18,8,8,8,1.0
study1_global_within,study1_item_19,20,20,20,1.0
study1_global_within,study1_item_20,10,10,10,1.0
study1_global_within,study1_item_21,3,3,3,1.0
study1_global_within,study1_item_22,3,3,3,1.0
study1_global_within,study1_item_23,6,6,6,1.0
study1_global_within,study1_item_24,13,13,13,1.0
study1_global_within,study1_item_25,16,16,16,1.0
study1_global_within,study1_item_26,10,10,10,1.0
study1_global_within,study1_item_27,10,10,10,1.0
study1_global_within,study1_item_28,4,4,4,1.0
study1_global_within,study1_item_29,1,1,1,1.0
study1_global_within,study1_item_30,8,8,8,1.0
study2_british_between,study2_item_01,12,12,12,1.0
study2_british_between,study2_item_02,27,27,27,1.0
study2_british_between,study2_item_03,14,14,14,1.0
study2_british_between,study2_item_04,19,19,19,1.0
study2_british_between,study2_item_05,15,15,15,1.0
study2_british_between,study2_item_06,25,25,25,1.0
study2_british_between,study2_item_07,35,35,35,1.0
study2_british_between,study2_item_08,35,35,35,1.0
study2_british_between,study2_item_09,26,26,26,1.0
study2_british_between,study2_item_10,12,12,12,1.0
study2_british_between,study2_item_11,17,17,17,1.0
study2_british_between,study2_item_12,29,29,29,1.0
study2_british_between,study2_item_13,9,9,9,1.0
study2_british_between,study2_item_14,13,13,13,1.0
study2_british_between,study2_item_15,10,10,10,1.0
study2_british_within,study2_item_01,9,9,9,1.0
study2_british_within,study2_item_02,25,32,25,1.0
study2_british_within,study2_item_03,15,23,15,1.0
study2_british_within,study2_item_04,16,25,16,1.0
study2_british_within,study2_item_05,12,17,12,1.0
study2_british_within,study2_item_06,21,22,21,1.0
study2_british_within,study2_item_07,29,29,29,1.0
study2_british_within,study2_item_08,32,33,32,1.0
study2_british_within,study2_item_09,28,31,28,1.0
study2_british_within,study2_item_10,6,7,6,1.0
study2_british_within,study2_item_11,14,14,14,1.0
study2_british_within,study2_item_12,29,31,29,1.0
study2_british_within,study2_item_13,4,15,4,1.0
study2_british_within,study2_item_14,9,9,9,1.0
study2_british_within,study2_item_15,5,6,5,1.0
study2_south_african_between,study2_item_01,16,16,16,1.0
study2_south_african_between,study2_item_02,27,27,27,1.0
study2_south_african_between,study2_item_03,24,24,24,1.0
study2_south_african_between,study2_item_04,36,36,36,1.0
study2_south_african_between,study2_item_05,10,10,10,1.0
study2_south_african_between,study2_item_06,43,43,43,1.0
study2_south_african_between,study2_item_07,35,35,35,1.0
study2_south_african_between,study2_item_08,34,34,34,1.0
study2_south_african_between,study2_item_09,59,59,59,1.0
study2_south_african_between,study2_item_10,27,27,27,1.0
study2_south_african_between,study2_item_11,18,18,18,1.0
study2_south_african_between,study2_item_12,29,29,29,1.0
study2_south_african_between,study2_item_13,6,6,6,1.0
study2_south_african_between,study2_item_14,12,12,12,1.0
study2_south_african_between,study2_item_15,8,8,8,1.0
study2_south_african_within,study2_item_01,6,6,6,1.0
study2_south_african_within,study2_item_02,20,20,20,1.0
study2_south_african_within,study2_item_03,15,15,15,1.0
study2_south_african_within,study2_item_04,35,35,35,1.0
study2_south_african_within,study2_item_05,6,6,6,1.0
study2_south_african_within,study2_item_06,27,27,27,1.0
study2_south_african_within,study2_item_07,38,38,38,1.0
study2_south_african_within,study2_item_08,51,51,51,1.0
study2_south_african_within,study2_item_09,46,46,46,1.0
study2_south_african_within,study2_item_10,12,12,12,1.0
study2_south_african_within,study2_item_11,8,8,8,1.0
study2_south_african_within,study2_item_12,33,33,33,1.0
study2_south_african_within,study2_item_13,4,4,4,1.0
study2_south_african_within,study2_item_14,10,10,10,1.0
study2_south_african_within,study2_item_15,3,3,3,1.0
study3_chilean_between,study3_item_01,19,19,19,1.0
study3_chilean_between,study3_item_02,25,25,25,1.0
study3_chilean_between,study3_item_03,19,19,19,1.0
study3_chilean_between,study3_item_04,30,30,30,1.0
study3_chilean_between,study3_item_05,23,23,23,1.0
study3_chilean_between,study3_item_06,32,32,32,1.0
study3_chilean_between,study3_item_07,64,64,64,1.0
study3_chilean_between,study3_item_08,31,31,31,1.0
study3_chilean_between,study3_item_09,41,41,41,1.0
study3_chilean_between,study3_item_10,18,18,18,1.0
study3_chilean_between,study3_item_11,25,25,25,1.0
study3_chilean_between,study3_item_12,34,34,34,1.0
study3_chilean_between,study3_item_13,15,15,15,1.0
study3_chilean_between,study3_item_14,16,16,16,1.0
study3_chilean_between,study3_item_15,16,16,16,1.0
study3_chilean_within,study3_item_01,5,5,5,1.0
study3_chilean_within,study3_item_02,16,16,16,1.0
study3_chilean_within,study3_item_03,19,19,19,1.0
study3_chilean_within,study3_item_04,18,18,18,1.0
study3_chilean_within,study3_item_05,22,22,22,1.0
study3_chilean_within,study3_item_06,23,23,23,1.0
study3_chilean_within,study3_item_07,52,52,52,1.0
study3_chilean_within,study3_item_08,40,40,40,1.0
study3_chilean_within,study3_item_09,48,48,48,1.0
study3_chilean_within,study3_item_10,17,17,17,1.0
study3_chilean_within,study3_item_11,19,19,19,1.0
study3_chilean_within,study3_item_12,26,26,26,1.0
study3_chilean_within,study3_item_13,15,15,15,1.0
study3_chilean_within,study3_item_14,14,14,14,1.0
study3_chilean_within,study3_item_15,9,9,9,1.0
study3_south_african_between,study3_item_01,24,24,24,1.0
study3_south_african_between,study3_item_02,34,34,34,1.0
study3_south_african_between,study3_item_03,31,31,31,1.0
study3_south_african_between,study3_item_04,46,46,46,1.0
study3_south_african_between,study3_item_05,12,12,12,1.0
study3_south_african_between,study3_item_06,44,44,44,1.0
study3_south_african_between,study3_item_07,44,44,44,1.0
study3_south_african_between,study3_item_08,39,39,39,1.0
study3_south_african_between,study3_item_09,51,51,51,1.0
study3_south_african_between,study3_item_10,34,34,34,1.0
study3_south_african_between,study3_item_11,29,29,29,1.0
study3_south_african_between,study3_item_12,44,44,44,1.0
study3_south_african_between,study3_item_13,17,16,16,0.9411764705882353
study3_south_african_between,study3_item_14,18,18,18,1.0
study3_south_african_between,study3_item_15,13,13,13,1.0
study3_south_african_within,study3_item_01,10,10,10,1.0
study3_south_african_within,study3_item_02,46,46,46,1.0
study3_south_african_within,study3_item_03,27,27,27,1.0
study3_south_african_within,study3_item_04,50,50,50,1.0
study3_south_african_within,study3_item_05,14,14,14,1.0
study3_south_african_within,study3_item_06,61,61,61,1.0
study3_south_african_within,study3_item_07,46,46,46,1.0
study3_south_african_within,study3_item_08,49,49,49,1.0
study3_south_african_within,study3_item_09,63,63,63,1.0
study3_south_african_within,study3_item_10,17,17,17,1.0
study3_south_african_within,study3_item_11,13,13,13,1.0
study3_south_african_within,study3_item_12,55,55,55,1.0
study3_south_african_within,study3_item_13,11,11,11,1.0
study3_south_african_within,study3_item_14,17,17,17,1.0
study3_south_african_within,study3_item_15,6,6,6,1.0
