metric_family,provider,model,round_index,panel_id,item_id,item_number,human_top1_probability,consensus_bucket,prompt_language,jsd,tvd,top1_match,flip_rate,spearman,successful_samples,expected_samples,completion_rate,en_successful_samples,zh_successful_samples
cross_lingual,openai,gpt-5.4,1,study2_british_within,study2_item_01,1,0.9,high,en_vs_zh,0.0,0.0,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,gpt-5.4,1,study2_british_within,study2_item_02,2,0.3,low,en_vs_zh,0.0,0.0,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,gpt-5.4,1,study2_british_within,study2_item_03,3,0.36,medium,en_vs_zh,0.06276448651079401,0.12,1,0.0,0.8660254037844387,50,50,1.0,50.0,50.0
cross_lingual,openai,gpt-5.4,1,study2_british_within,study2_item_04,4,0.24,low,en_vs_zh,0.715153158564267,0.8999999999999999,0,1.0,-0.8660254037844387,50,50,1.0,50.0,50.0
cross_lingual,openai,gpt-5.4,1,study2_british_within,study2_item_05,5,0.64,medium,en_vs_zh,0.03066939825433814,0.060000000000000026,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,gpt-5.4,1,study2_british_within,study2_item_06,6,0.44,medium,en_vs_zh,0.0,0.0,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,gpt-5.4,1,study2_british_within,study2_item_07,7,0.28,low,en_vs_zh,0.0,0.0,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,gpt-5.4,1,study2_british_within,study2_item_08,8,0.33,low,en_vs_zh,0.03066939825433814,0.060000000000000026,1,0.0,0.8660254037844387,50,50,1.0,50.0,50.0
cross_lingual,openai,gpt-5.4,1,study2_british_within,study2_item_09,9,0.48,medium,en_vs_zh,0.056208339005798906,0.17999999999999997,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,gpt-5.4,1,study2_british_within,study2_item_10,10,0.92,high,en_vs_zh,0.0,0.0,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,gpt-5.4,1,study2_british_within,study2_item_11,11,0.56,medium,en_vs_zh,0.005121349208578381,0.060000000000000026,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,gpt-5.4,1,study2_british_within,study2_item_12,12,0.3,low,en_vs_zh,0.10803154614560012,0.19999999999999998,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,gpt-5.4,1,study2_british_within,study2_item_13,13,0.83,high,en_vs_zh,0.0,0.0,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,gpt-5.4,1,study2_british_within,study2_item_14,14,0.74,high,en_vs_zh,0.0,0.0,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,gpt-5.4,1,study2_british_within,study2_item_15,15,0.88,high,en_vs_zh,0.0,0.0,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,gpt-5.4,2,study2_british_within,study2_item_04,4,0.24,low,en_vs_zh,0.6099865470109875,0.8,0,1.0,-1.0,10,10,1.0,10.0,10.0
human_alignment,openai,gpt-5.4,1,study2_british_within,study2_item_01,1,0.9,high,en,1.0,1.0,0,,-0.6425294053171791,50,50,1.0,,
human_alignment,openai,gpt-5.4,1,study2_british_within,study2_item_01,1,0.9,high,zh,1.0,1.0,0,,-0.6425294053171791,50,50,1.0,,
human_alignment,openai,gpt-5.4,1,study2_british_within,study2_item_02,2,0.3,low,en,1.0,1.0,0,,-0.36429003203460203,50,50,1.0,,
human_alignment,openai,gpt-5.4,1,study2_british_within,study2_item_02,2,0.3,low,zh,1.0,1.0,0,,-0.36429003203460203,50,50,1.0,,
human_alignment,openai,gpt-5.4,1,study2_british_within,study2_item_03,3,0.36,medium,en,0.8336791289905015,0.94,0,,0.1920290882090079,50,50,1.0,,
human_alignment,openai,gpt-5.4,1,study2_british_within,study2_item_03,3,0.36,medium,zh,0.7865445954321262,0.92,0,,0.07542753052411433,50,50,1.0,,
human_alignment,openai,gpt-5.4,1,study2_british_within,study2_item_04,4,0.24,low,en,0.9491383367281967,0.98,0,,-0.2577156819718538,50,50,1.0,,
human_alignment,openai,gpt-5.4,1,study2_british_within,study2_item_04,4,0.24,low,zh,0.6945811190640112,0.76,0,,-0.22936672275434997,50,50,1.0,,
human_alignment,openai,gpt-5.4,1,study2_british_within,study2_item_05,5,0.64,medium,en,0.8522998190908964,0.9400000000000001,0,,-0.05698028822981898,50,50,1.0,,
human_alignment,openai,gpt-5.4,1,study2_british_within,study2_item_05,5,0.64,medium,zh,1.0,1.0,0,,-0.5032362797401965,50,50,1.0,,
human_alignment,openai,gpt-5.4,1,study2_british_within,study2_item_06,6,0.44,medium,en,1.0,1.0,0,,-0.40547849682554116,50,50,1.0,,
human_alignment,openai,gpt-5.4,1,study2_british_within,study2_item_06,6,0.44,medium,zh,1.0,1.0,0,,-0.40547849682554116,50,50,1.0,,
human_alignment,openai,gpt-5.4,1,study2_british_within,study2_item_07,7,0.28,low,en,1.0,1.0,0,,-0.3382950893557894,50,50,1.0,,
human_alignment,openai,gpt-5.4,1,study2_british_within,study2_item_07,7,0.28,low,zh,1.0,1.0,0,,-0.3382950893557894,50,50,1.0,,
