scope,metric_family,provider,model,round_index,panel_id,item_id,prompt_language,metric,ci_low,ci_high
aggregate,cross_lingual,openai,MiniMax-M2.7,1,study2_british_within,,en_vs_zh,jsd,0.013747478143052386,0.11023111372567979
aggregate,cross_lingual,openai,MiniMax-M2.7,1,study2_british_within,,en_vs_zh,tvd,0.043081148582364386,0.2049811662726556
aggregate,cross_lingual,openai,MiniMax-M2.7,1,study2_british_within,,en_vs_zh,top1_match,0.8,1.0
aggregate,cross_lingual,openai,MiniMax-M2.7,1,study2_british_within,,en_vs_zh,flip_rate,0.0,0.2
aggregate,cross_lingual,openai,MiniMax-M2.7,2,study2_british_within,,en_vs_zh,jsd,0.5310044064107189,0.5310044064107189
aggregate,cross_lingual,openai,MiniMax-M2.7,2,study2_british_within,,en_vs_zh,tvd,0.8,0.8
aggregate,cross_lingual,openai,MiniMax-M2.7,2,study2_british_within,,en_vs_zh,top1_match,0.0,0.0
aggregate,cross_lingual,openai,MiniMax-M2.7,2,study2_british_within,,en_vs_zh,flip_rate,1.0,1.0
aggregate,human_alignment,openai,MiniMax-M2.7,1,study2_british_within,,en,jsd,0.7212752176151789,0.9633299744117884
aggregate,human_alignment,openai,MiniMax-M2.7,1,study2_british_within,,en,tvd,0.7798629251700679,0.9866122448979592
aggregate,human_alignment,openai,MiniMax-M2.7,1,study2_british_within,,en,top1_match,0.0,0.3333333333333333
aggregate,human_alignment,openai,MiniMax-M2.7,1,study2_british_within,,zh,jsd,0.6587817829913362,0.9183838028336411
aggregate,human_alignment,openai,MiniMax-M2.7,1,study2_british_within,,zh,tvd,0.7396471631205673,0.9523262411347518
aggregate,human_alignment,openai,MiniMax-M2.7,1,study2_british_within,,zh,top1_match,0.0,0.3333333333333333
aggregate,human_alignment,openai,MiniMax-M2.7,2,study2_british_within,,en,jsd,0.8622556248918266,0.8622556248918266
aggregate,human_alignment,openai,MiniMax-M2.7,2,study2_british_within,,en,tvd,0.9,0.9
aggregate,human_alignment,openai,MiniMax-M2.7,2,study2_british_within,,en,top1_match,0.0,0.0
aggregate,human_alignment,openai,MiniMax-M2.7,2,study2_british_within,,zh,jsd,0.623778860398527,0.623778860398527
aggregate,human_alignment,openai,MiniMax-M2.7,2,study2_british_within,,zh,tvd,0.8,0.8
aggregate,human_alignment,openai,MiniMax-M2.7,2,study2_british_within,,zh,top1_match,0.0,0.0
item,cross_lingual,openai,MiniMax-M2.7,1,study2_british_within,study2_item_01,en_vs_zh,jsd,0.0,0.0
item,cross_lingual,openai,MiniMax-M2.7,1,study2_british_within,study2_item_01,en_vs_zh,tvd,0.0,0.0
item,cross_lingual,openai,MiniMax-M2.7,1,study2_british_within,study2_item_02,en_vs_zh,jsd,0.010720814621538611,0.09082546446910865
item,cross_lingual,openai,MiniMax-M2.7,1,study2_british_within,study2_item_02,en_vs_zh,tvd,0.021276595744680868,0.17021276595744683
item,cross_lingual,openai,MiniMax-M2.7,1,study2_british_within,study2_item_02,en_vs_zh,spearman,0.7745966692414834,1.0
item,cross_lingual,openai,MiniMax-M2.7,1,study2_british_within,study2_item_03,en_vs_zh,jsd,0.08861007475132489,0.25913301662607546
item,cross_lingual,openai,MiniMax-M2.7,1,study2_british_within,study2_item_03,en_vs_zh,tvd,0.15555555555555556,0.4222222222222222
item,cross_lingual,openai,MiniMax-M2.7,1,study2_british_within,study2_item_03,en_vs_zh,spearman,0.16903085094570333,0.8660254037844387
item,cross_lingual,openai,MiniMax-M2.7,1,study2_british_within,study2_item_04,en_vs_zh,jsd,0.0,0.03066939825433814
