metric_family,provider,model,round_index,panel_id,item_id,item_number,human_top1_probability,consensus_bucket,prompt_language,jsd,tvd,top1_match,flip_rate,spearman,successful_samples,expected_samples,completion_rate,en_successful_samples,zh_successful_samples
cross_lingual,openai,glm-4-airx,1,study2_british_within,study2_item_01,1,0.9,high,en_vs_zh,0.0,0.0,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,glm-4-airx,1,study2_british_within,study2_item_02,2,0.3,low,en_vs_zh,1.0,1.0,0,1.0,-0.7938161203464004,50,50,1.0,50.0,50.0
cross_lingual,openai,glm-4-airx,1,study2_british_within,study2_item_03,3,0.36,medium,en_vs_zh,0.653199248617953,0.8200000000000001,0,1.0,-0.2386317895704047,50,50,1.0,50.0,50.0
cross_lingual,openai,glm-4-airx,1,study2_british_within,study2_item_04,4,0.24,low,en_vs_zh,0.7261533520592253,0.88,0,1.0,-0.5,50,50,1.0,50.0,50.0
cross_lingual,openai,glm-4-airx,1,study2_british_within,study2_item_05,5,0.64,medium,en_vs_zh,0.11892940185288958,0.4,0,1.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,glm-4-airx,1,study2_british_within,study2_item_06,6,0.44,medium,en_vs_zh,0.10495709471793863,0.21999999999999997,1,0.0,1.0,50,50,1.0,50.0,50.0
cross_lingual,openai,glm-4-airx,1,study2_british_within,study2_item_07,7,0.28,low,en_vs_zh,0.0,0.0,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,glm-4-airx,1,study2_british_within,study2_item_08,8,0.33,low,en_vs_zh,0.11055073739660551,0.24000000000000002,1,0.0,1.0,50,50,1.0,50.0,50.0
cross_lingual,openai,glm-4-airx,1,study2_british_within,study2_item_09,9,0.48,medium,en_vs_zh,0.062764486510794,0.12,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,glm-4-airx,1,study2_british_within,study2_item_10,10,0.92,high,en_vs_zh,0.0,0.0,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,glm-4-airx,1,study2_british_within,study2_item_11,11,0.56,medium,en_vs_zh,0.0,0.0,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,glm-4-airx,1,study2_british_within,study2_item_12,12,0.3,low,en_vs_zh,0.08502441288198997,0.16000000000000003,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,glm-4-airx,1,study2_british_within,study2_item_13,13,0.83,high,en_vs_zh,0.0,0.0,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,glm-4-airx,1,study2_british_within,study2_item_14,14,0.74,high,en_vs_zh,0.0,0.0,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,glm-4-airx,1,study2_british_within,study2_item_15,15,0.88,high,en_vs_zh,0.0,0.0,1,0.0,,50,50,1.0,50.0,50.0
human_alignment,openai,glm-4-airx,1,study2_british_within,study2_item_01,1,0.9,high,en,1.0,1.0,0,,-0.6425294053171791,50,50,1.0,,
human_alignment,openai,glm-4-airx,1,study2_british_within,study2_item_01,1,0.9,high,zh,1.0,1.0,0,,-0.6425294053171791,50,50,1.0,,
human_alignment,openai,glm-4-airx,1,study2_british_within,study2_item_02,2,0.3,low,zh,1.0,1.0,0,,-0.36429003203460203,48,50,0.96,,
human_alignment,openai,glm-4-airx,1,study2_british_within,study2_item_03,3,0.36,medium,zh,0.5297266782170531,0.73,0,,-0.005258153378167326,47,50,0.94,,
human_alignment,openai,glm-4-airx,1,study2_british_within,study2_item_04,4,0.24,low,en,0.8347067498701919,0.88,0,,-0.1517286483621763,50,50,1.0,,
human_alignment,openai,glm-4-airx,1,study2_british_within,study2_item_04,4,0.24,low,zh,0.5388095614339283,0.74,1,,0.18167509211786903,50,50,1.0,,
human_alignment,openai,glm-4-airx,1,study2_british_within,study2_item_05,5,0.64,medium,en,0.829437027261293,0.9299999999999999,0,,-0.07597371763975863,50,50,1.0,,
human_alignment,openai,glm-4-airx,1,study2_british_within,study2_item_05,5,0.64,medium,zh,0.8676039895938777,0.93,0,,-0.17094086468945693,50,50,1.0,,
human_alignment,openai,glm-4-airx,1,study2_british_within,study2_item_06,6,0.44,medium,en,0.9480274742702774,0.98,0,,-0.20008894819207806,50,50,1.0,,
human_alignment,openai,glm-4-airx,1,study2_british_within,study2_item_06,6,0.44,medium,zh,0.8839079475901335,0.95,0,,-0.04673043618142269,50,50,1.0,,
human_alignment,openai,glm-4-airx,1,study2_british_within,study2_item_07,7,0.28,low,en,1.0,1.0,0,,-0.3382950893557894,50,50,1.0,,
human_alignment,openai,glm-4-airx,1,study2_british_within,study2_item_07,7,0.28,low,zh,1.0,1.0,0,,-0.3382950893557894,50,50,1.0,,
human_alignment,openai,glm-4-airx,1,study2_british_within,study2_item_08,8,0.33,low,en,0.9378743582488558,0.97,0,,-0.2673947859475511,50,50,1.0,,
human_alignment,openai,glm-4-airx,1,study2_british_within,study2_item_08,8,0.33,low,zh,1.0,1.0,0,,-0.46672888850537203,50,50,1.0,,
human_alignment,openai,glm-4-airx,1,study2_british_within,study2_item_09,9,0.48,medium,en,1.0,1.0,0,,-0.4021852658263463,50,50,1.0,,
human_alignment,openai,glm-4-airx,1,study2_british_within,study2_item_09,9,0.48,medium,zh,0.41486291985156265,0.51,1,,-0.03140082641489568,50,50,1.0,,
human_alignment,openai,glm-4-airx,1,study2_british_within,study2_item_10,10,0.92,high,en,1.0,1.0,0,,-0.6354889093022424,50,50,1.0,,
human_alignment,openai,glm-4-airx,1,study2_british_within,study2_item_10,10,0.92,high,zh,1.0,1.0,0,,-0.6354889093022424,50,50,1.0,,
human_alignment,openai,glm-4-airx,1,study2_british_within,study2_item_11,11,0.56,medium,en,1.0,1.0,0,,-0.4696682183138621,50,50,1.0,,
human_alignment,openai,glm-4-airx,1,study2_british_within,study2_item_11,11,0.56,medium,zh,1.0,1.0,0,,-0.4696682183138621,50,50,1.0,,
human_alignment,openai,glm-4-airx,1,study2_british_within,study2_item_12,12,0.3,low,en,0.8336791289905015,0.94,0,,0.2794748989012778,50,50,1.0,,
human_alignment,openai,glm-4-airx,1,study2_british_within,study2_item_12,12,0.3,low,zh,0.8409882992403603,0.9400000000000001,0,,-0.03655887238193498,50,50,1.0,,
human_alignment,openai,glm-4-airx,1,study2_british_within,study2_item_13,13,0.83,high,en,0.6841098370695671,0.84,0,,-0.22360679774997894,50,50,1.0,,
human_alignment,openai,glm-4-airx,1,study2_british_within,study2_item_13,13,0.83,high,zh,0.13602184045156068,0.17000000000000004,1,,0.22360679774997894,50,50,1.0,,
human_alignment,openai,glm-4-airx,1,study2_british_within,study2_item_14,14,0.74,high,en,1.0,1.0,0,,-0.5388159060803247,50,50,1.0,,
human_alignment,openai,glm-4-airx,1,study2_british_within,study2_item_14,14,0.74,high,zh,1.0,1.0,0,,-0.5388159060803247,50,50,1.0,,
human_alignment,openai,glm-4-airx,1,study2_british_within,study2_item_15,15,0.88,high,en,0.062764486510794,0.12,1,,0.7905694150420948,50,50,1.0,,
human_alignment,openai,glm-4-airx,1,study2_british_within,study2_item_15,15,0.88,high,zh,0.062764486510794,0.12,1,,0.7905694150420948,50,50,1.0,,
