item_id,prompt_language,n_4o_coord_nonempty,n_54_coord_nonempty,top1_4o,top1_54,top1_match,jsd,tvd
study2_item_01,en,50,50,London,London,True,0.0,0.0
study2_item_01,zh,50,50,London,London,True,0.0,0.0
study2_item_02,en,50,50,Harry Kane,David Beckham,False,0.41415244726470696,0.62
study2_item_02,zh,50,50,David Beckham,David Beckham,True,0.01007286462500085,0.02000000000000001
study2_item_03,en,50,50,Rishi Sunak,Donald Trump,False,1.0,1.0
study2_item_03,zh,50,50,Winston Churchill,Donald Trump,False,0.9406557062070925,0.98
study2_item_04,en,50,50,Big Ben,house,False,1.0,1.0
study2_item_04,zh,50,50,Big Ben,Big Ben,True,0.04000000000000001,0.04
study2_item_05,en,50,50,Snowdon,Mount Everest,False,0.9999999999999998,1.0
study2_item_05,zh,50,50,Snowdon,Mount Everest,False,0.8658537981980635,0.94
study2_item_06,en,50,50,Fish and chips,Fish and chips,True,0.041202593981278415,0.07999999999999999
study2_item_06,zh,50,50,Fish and chips,Fish and chips,True,0.07380424507879536,0.14
study2_item_07,en,50,50,Big Ben,Big Ben,True,0.0,0.0
study2_item_07,zh,50,50,Big Ben,Big Ben,True,0.0,0.0
study2_item_08,en,50,50,Ed Sheeran,Elton John,False,0.9289911704818995,0.98
study2_item_08,zh,50,50,Ed Sheeran,Ed Sheeran,True,0.01007286462500085,0.02000000000000001
study2_item_09,en,50,50,Pride and Prejudice,Harry Potter,False,0.8336791289905017,0.94
study2_item_09,zh,50,50,Pride and Prejudice,Harry Potter and the Philosopher's Stone,False,0.9292797287290896,0.98
study2_item_10,en,50,50,BBC,BBC,True,0.0,0.0
study2_item_10,zh,50,50,BBC,BBC,True,0.0,0.0
study2_item_11,en,50,50,London,Paris,False,0.8336791289905012,0.94
study2_item_11,zh,50,50,London,London,True,0.0,0.0
study2_item_12,en,50,50,Margaret Thatcher,Margaret Thatcher,True,0.11983220668354522,0.22
study2_item_12,zh,50,50,Margaret Thatcher,Margaret Thatcher,True,0.11202732429547489,0.15999999999999998
study2_item_13,en,50,50,Pound,Pound sterling,False,0.47262797611078294,0.6799999999999999
study2_item_13,zh,50,50,Pound Sterling,Pound sterling,False,0.31529616552249246,0.6000000000000001
study2_item_14,en,50,50,Rose,Rose,True,0.13184072559510326,0.24
study2_item_14,zh,50,50,Rose,Rose,True,0.041202593981278415,0.07999999999999999
study2_item_15,en,50,50,Football,Football,True,0.030669398254338058,0.060000000000000026
study2_item_15,zh,50,50,Football,football,False,0.327323604495017,0.52
