BY_LANGUAGE
prompt_language  cells  mean_jsd  mean_tvd  top1_match_rate
             en     15  0.408689  0.446667         0.533333
             zh     15  0.193173  0.208000         0.800000

OVERALL
{'cells': 30, 'mean_jsd': 0.3009311648739562, 'mean_tvd': 0.32733333333333337, 'top1_match_rate': 0.6666666666666666}

TOP1_MISMATCH
       item_id prompt_language           top1_4o      top1_54  n_4o  n_54
study2_item_02              en         harrykane davidbeckham    50    50
study2_item_03              en        rishisunak  donaldtrump    50    50
study2_item_03              zh  winstonchurchill  donaldtrump    50    50
study2_item_04              en            bigben        house    50    50
study2_item_05              en         snowdonia mounteverest    50    50
study2_item_05              zh         snowdonia mounteverest    50    50
study2_item_08              en         edsheeran    eltonjohn    50    50
study2_item_09              en prideandprejudice  harrypotter    50    50
study2_item_09              zh prideandprejudice  harrypotter    50    50
study2_item_11              en            london        paris    50    50
