provider,model,requested_model,resolved_model,provider_backend,panel_id,item_id,item_text_en,item_text_zh,prompt_language,answer_language,round_index,sample_index,temperature,max_output_tokens,seed,provider_timeout_seconds,provider_concurrency,request_cache_key,system_prompt,user_prompt,response_text,finish_reason,request_id,prompt_tokens,completion_tokens,total_tokens,latency_seconds,response_source,retry_count,attempt_count,cache_hit,disk_cache_hit,provider_cached_tokens,error,raw_payload,generated_at_utc,response_validation_error,parsed_answer,response_clean,answer_key,coord_answer,coord_answer_key,canonical_answer,normalization_status,closest_human_answer_key,closest_human_canonical,closest_human_score
deepseek,deepseek-chat,deepseek-chat,deepseek-chat,deepseek_openai_compat,study2_british_within,study2_item_12,Name a female world leader,说出一位女性世界领导人,en,English,1,0,1.0,256,716443816,120,4,10136353ad123533ccdf66390952b0ed7b67db3a01358a344bdcae393a2ed4aa,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a female world leader",Thatcher,stop,0c20ed2f-c21f-426c-b808-bafa5e2ecd2d,68,2,70,1.4442620128393173,provider_api,0,1,False,False,64,,"{'id': '0c20ed2f-c21f-426c-b808-bafa5e2ecd2d', 'choices': [{'finish_reason': 'stop', 'index': 0, 'logprobs': None, 'message': {'content': 'Thatcher', 'refusal': None, 'role': 'assistant', 'annotations': None, 'audio': None, 'function_call': None, 'tool_calls': None}}], 'created': 1776003809, 'model': 'deepseek-chat', 'object': 'chat.completion', 'service_tier': None, 'system_fingerprint': 'fp_eaab8d114b_prod0820_fp8_kvcache_new_kvcache_20260410', 'usage': {'completion_tokens': 2, 'prompt_tokens': 68, 'total_tokens': 70, 'completion_tokens_details': None, 'prompt_tokens_details': {'audio_tokens': None, 'cached_tokens': 64}, 'prompt_cache_hit_tokens': 64, 'prompt_cache_miss_tokens': 4}}",2026-04-12T14:23:33.292864+00:00,,Thatcher,Thatcher,thatcher,Thatcher,thatcher,,unmapped,margaretthatcher,margaretthatcher,66.66666666666667
deepseek,deepseek-chat,deepseek-chat,deepseek-chat,deepseek_openai_compat,study2_british_within,study2_item_12,Name a female world leader,说出一位女性世界领导人,en,English,1,1,1.0,256,382413498,120,4,2fe49c07cd4b9c26d2a76d7d431e49809c2f6507d9966bf5935583aaee79c0f1,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a female world leader",Thatcher,stop,29bbdf46-1078-456d-a1c1-9528311ff206,68,2,70,1.4764364808797836,provider_api,0,1,False,False,64,,"{'id': '29bbdf46-1078-456d-a1c1-9528311ff206', 'choices': [{'finish_reason': 'stop', 'index': 0, 'logprobs': None, 'message': {'content': 'Thatcher', 'refusal': None, 'role': 'assistant', 'annotations': None, 'audio': None, 'function_call': None, 'tool_calls': None}}], 'created': 1776003811, 'model': 'deepseek-chat', 'object': 'chat.completion', 'service_tier': None, 'system_fingerprint': 'fp_eaab8d114b_prod0820_fp8_kvcache_new_kvcache_20260410', 'usage': {'completion_tokens': 2, 'prompt_tokens': 68, 'total_tokens': 70, 'completion_tokens_details': None, 'prompt_tokens_details': {'audio_tokens': None, 'cached_tokens': 64}, 'prompt_cache_hit_tokens': 64, 'prompt_cache_miss_tokens': 4}}",2026-04-12T14:23:34.694806+00:00,,Thatcher,Thatcher,thatcher,Thatcher,thatcher,,unmapped,margaretthatcher,margaretthatcher,66.66666666666667
deepseek,deepseek-chat,deepseek-chat,deepseek-chat,deepseek_openai_compat,study2_british_within,study2_item_12,Name a female world leader,说出一位女性世界领导人,en,English,1,2,1.0,256,869420536,120,4,6ac7f82f2db0a1122f97d83335c8cb1a4ef91848b7c6d7b5488eeebb4e17d202,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a female world leader",Thatcher,stop,d8c123c6-e044-46c4-819b-889003138f58,68,2,70,1.5140314418822527,provider_api,0,1,False,False,64,,"{'id': 'd8c123c6-e044-46c4-819b-889003138f58', 'choices': [{'finish_reason': 'stop', 'index': 0, 'logprobs': None, 'message': {'content': 'Thatcher', 'refusal': None, 'role': 'assistant', 'annotations': None, 'audio': None, 'function_call': None, 'tool_calls': None}}], 'created': 1776003812, 'model': 'deepseek-chat', 'object': 'chat.completion', 'service_tier': None, 'system_fingerprint': 'fp_eaab8d114b_prod0820_fp8_kvcache_new_kvcache_20260410', 'usage': {'completion_tokens': 2, 'prompt_tokens': 68, 'total_tokens': 70, 'completion_tokens_details': None, 'prompt_tokens_details': {'audio_tokens': None, 'cached_tokens': 64}, 'prompt_cache_hit_tokens': 64, 'prompt_cache_miss_tokens': 4}}",2026-04-12T14:23:35.959575+00:00,,Thatcher,Thatcher,thatcher,Thatcher,thatcher,,unmapped,margaretthatcher,margaretthatcher,66.66666666666667
deepseek,deepseek-chat,deepseek-chat,deepseek-chat,deepseek_openai_compat,study2_british_within,study2_item_12,Name a female world leader,说出一位女性世界领导人,en,English,1,3,1.0,256,729012353,120,4,fb0189d29d6a6c87a196648aa5444ad93e9f6030a32b18ed5ca4fb1d34139ef3,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a female world leader",Thatcher,stop,86ec745d-271c-47ac-895b-a244a0bfb887,68,2,70,1.593875341117382,provider_api,0,1,False,False,64,,"{'id': '86ec745d-271c-47ac-895b-a244a0bfb887', 'choices': [{'finish_reason': 'stop', 'index': 0, 'logprobs': None, 'message': {'content': 'Thatcher', 'refusal': None, 'role': 'assistant', 'annotations': None, 'audio': None, 'function_call': None, 'tool_calls': None}}], 'created': 1776003813, 'model': 'deepseek-chat', 'object': 'chat.completion', 'service_tier': None, 'system_fingerprint': 'fp_eaab8d114b_prod0820_fp8_kvcache_new_kvcache_20260410', 'usage': {'completion_tokens': 2, 'prompt_tokens': 68, 'total_tokens': 70, 'completion_tokens_details': None, 'prompt_tokens_details': {'audio_tokens': None, 'cached_tokens': 64}, 'prompt_cache_hit_tokens': 64, 'prompt_cache_miss_tokens': 4}}",2026-04-12T14:23:36.828481+00:00,,Thatcher,Thatcher,thatcher,Thatcher,thatcher,,unmapped,margaretthatcher,margaretthatcher,66.66666666666667
deepseek,deepseek-chat,deepseek-chat,deepseek-chat,deepseek_openai_compat,study2_british_within,study2_item_12,Name a female world leader,说出一位女性世界领导人,en,English,1,4,1.0,256,336076160,120,4,a27d4a384915cd0ec0393b2605ad52783feab04499c8f1cd03e0045c78dd644d,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a female world leader",Thatcher,stop,9952f924-e52c-4600-b69a-cbd21cc1c17e,68,2,70,1.6237341091036797,provider_api,0,1,False,False,64,,"{'id': '9952f924-e52c-4600-b69a-cbd21cc1c17e', 'choices': [{'finish_reason': 'stop', 'index': 0, 'logprobs': None, 'message': {'content': 'Thatcher', 'refusal': None, 'role': 'assistant', 'annotations': None, 'audio': None, 'function_call': None, 'tool_calls': None}}], 'created': 1776003813, 'model': 'deepseek-chat', 'object': 'chat.completion', 'service_tier': None, 'system_fingerprint': 'fp_eaab8d114b_prod0820_fp8_kvcache_new_kvcache_20260410', 'usage': {'completion_tokens': 2, 'prompt_tokens': 68, 'total_tokens': 70, 'completion_tokens_details': None, 'prompt_tokens_details': {'audio_tokens': None, 'cached_tokens': 64}, 'prompt_cache_hit_tokens': 64, 'prompt_cache_miss_tokens': 4}}",2026-04-12T14:23:36.917946+00:00,,Thatcher,Thatcher,thatcher,Thatcher,thatcher,,unmapped,margaretthatcher,margaretthatcher,66.66666666666667
deepseek,deepseek-chat,deepseek-chat,deepseek-chat,deepseek_openai_compat,study2_british_within,study2_item_12,Name a female world leader,说出一位女性世界领导人,en,English,1,5,1.0,256,150574438,120,4,86ab06a6deac857a1fbbfb49f8b3952fdbe31a1177b6f17ded8b027a6fc9e977,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a female world leader",Thatcher,stop,878fbf1f-d7fe-43b9-ad6d-a349df8ff7f2,68,2,70,1.5294192656874657,provider_api,0,1,False,False,64,,"{'id': '878fbf1f-d7fe-43b9-ad6d-a349df8ff7f2', 'choices': [{'finish_reason': 'stop', 'index': 0, 'logprobs': None, 'message': {'content': 'Thatcher', 'refusal': None, 'role': 'assistant', 'annotations': None, 'audio': None, 'function_call': None, 'tool_calls': None}}], 'created': 1776003814, 'model': 'deepseek-chat', 'object': 'chat.completion', 'service_tier': None, 'system_fingerprint': 'fp_eaab8d114b_prod0820_fp8_kvcache_new_kvcache_20260410', 'usage': {'completion_tokens': 2, 'prompt_tokens': 68, 'total_tokens': 70, 'completion_tokens_details': None, 'prompt_tokens_details': {'audio_tokens': None, 'cached_tokens': 64}, 'prompt_cache_hit_tokens': 64, 'prompt_cache_miss_tokens': 4}}",2026-04-12T14:23:38.225612+00:00,,Thatcher,Thatcher,thatcher,Thatcher,thatcher,,unmapped,margaretthatcher,margaretthatcher,66.66666666666667
deepseek,deepseek-chat,deepseek-chat,deepseek-chat,deepseek_openai_compat,study2_british_within,study2_item_12,Name a female world leader,说出一位女性世界领导人,en,English,1,6,1.0,256,598462575,120,4,3c2d4166c15cb520f43840d81aac67e6637a5fa0d5d786dbc3ab17cb5b2f0ad3,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a female world leader",Thatcher,stop,2dd68fd4-f1cf-4633-bb87-389d6a04435d,68,2,70,1.3837310038506985,provider_api,0,1,False,False,64,,"{'id': '2dd68fd4-f1cf-4633-bb87-389d6a04435d', 'choices': [{'finish_reason': 'stop', 'index': 0, 'logprobs': None, 'message': {'content': 'Thatcher', 'refusal': None, 'role': 'assistant', 'annotations': None, 'audio': None, 'function_call': None, 'tool_calls': None}}], 'created': 1776003816, 'model': 'deepseek-chat', 'object': 'chat.completion', 'service_tier': None, 'system_fingerprint': 'fp_eaab8d114b_prod0820_fp8_kvcache_new_kvcache_20260410', 'usage': {'completion_tokens': 2, 'prompt_tokens': 68, 'total_tokens': 70, 'completion_tokens_details': None, 'prompt_tokens_details': {'audio_tokens': None, 'cached_tokens': 64}, 'prompt_cache_hit_tokens': 64, 'prompt_cache_miss_tokens': 4}}",2026-04-12T14:23:39.347073+00:00,,Thatcher,Thatcher,thatcher,Thatcher,thatcher,,unmapped,margaretthatcher,margaretthatcher,66.66666666666667
deepseek,deepseek-chat,deepseek-chat,deepseek-chat,deepseek_openai_compat,study2_british_within,study2_item_12,Name a female world leader,说出一位女性世界领导人,en,English,1,8,1.0,256,128637535,120,4,0b1f7b812eba9f5cfcab1c4980c0e15eeb53bab850ebe26956cce0836d963bc3,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a female world leader",Thatcher,stop,5fae6f60-8d8d-4c3f-80c8-7d2b33ec4112,68,2,70,1.7651835586875677,provider_api,0,1,False,False,64,,"{'id': '5fae6f60-8d8d-4c3f-80c8-7d2b33ec4112', 'choices': [{'finish_reason': 'stop', 'index': 0, 'logprobs': None, 'message': {'content': 'Thatcher', 'refusal': None, 'role': 'assistant', 'annotations': None, 'audio': None, 'function_call': None, 'tool_calls': None}}], 'created': 1776003816, 'model': 'deepseek-chat', 'object': 'chat.completion', 'service_tier': None, 'system_fingerprint': 'fp_eaab8d114b_prod0820_fp8_kvcache_new_kvcache_20260410', 'usage': {'completion_tokens': 2, 'prompt_tokens': 68, 'total_tokens': 70, 'completion_tokens_details': None, 'prompt_tokens_details': {'audio_tokens': None, 'cached_tokens': 64}, 'prompt_cache_hit_tokens': 64, 'prompt_cache_miss_tokens': 4}}",2026-04-12T14:23:40.684340+00:00,,Thatcher,Thatcher,thatcher,Thatcher,thatcher,,unmapped,margaretthatcher,margaretthatcher,66.66666666666667
deepseek,deepseek-chat,deepseek-chat,deepseek-chat,deepseek_openai_compat,study2_british_within,study2_item_12,Name a female world leader,说出一位女性世界领导人,en,English,1,9,1.0,256,63787072,120,4,1d5b85d64140c18e1653809c81a6b2ac5025e0dc72cc293f0f279cce75baad17,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a female world leader",Thatcher,stop,753e3981-71e4-4c55-a5bb-ea46d7c16feb,68,2,70,1.309226905927062,provider_api,0,1,False,False,64,,"{'id': '753e3981-71e4-4c55-a5bb-ea46d7c16feb', 'choices': [{'finish_reason': 'stop', 'index': 0, 'logprobs': None, 'message': {'content': 'Thatcher', 'refusal': None, 'role': 'assistant', 'annotations': None, 'audio': None, 'function_call': None, 'tool_calls': None}}], 'created': 1776003818, 'model': 'deepseek-chat', 'object': 'chat.completion', 'service_tier': None, 'system_fingerprint': 'fp_eaab8d114b_prod0820_fp8_kvcache_new_kvcache_20260410', 'usage': {'completion_tokens': 2, 'prompt_tokens': 68, 'total_tokens': 70, 'completion_tokens_details': None, 'prompt_tokens_details': {'audio_tokens': None, 'cached_tokens': 64}, 'prompt_cache_hit_tokens': 64, 'prompt_cache_miss_tokens': 4}}",2026-04-12T14:23:41.536288+00:00,,Thatcher,Thatcher,thatcher,Thatcher,thatcher,,unmapped,margaretthatcher,margaretthatcher,66.66666666666667
deepseek,deepseek-chat,deepseek-chat,deepseek-chat,deepseek_openai_compat,study2_british_within,study2_item_12,Name a female world leader,说出一位女性世界领导人,en,English,1,10,1.0,256,830015700,120,4,0f1c40dfb620ce01131339afc044bf5ad6e8277cbaddfcc5ce89749739b558e8,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a female world leader",Thatcher,stop,e7500a34-d925-448c-ab49-c18dbecc98b0,68,2,70,1.278663406148553,provider_api,0,1,False,False,64,,"{'id': 'e7500a34-d925-448c-ab49-c18dbecc98b0', 'choices': [{'finish_reason': 'stop', 'index': 0, 'logprobs': None, 'message': {'content': 'Thatcher', 'refusal': None, 'role': 'assistant', 'annotations': None, 'audio': None, 'function_call': None, 'tool_calls': None}}], 'created': 1776003819, 'model': 'deepseek-chat', 'object': 'chat.completion', 'service_tier': None, 'system_fingerprint': 'fp_eaab8d114b_prod0820_fp8_kvcache_new_kvcache_20260410', 'usage': {'completion_tokens': 2, 'prompt_tokens': 68, 'total_tokens': 70, 'completion_tokens_details': None, 'prompt_tokens_details': {'audio_tokens': None, 'cached_tokens': 64}, 'prompt_cache_hit_tokens': 64, 'prompt_cache_miss_tokens': 4}}",2026-04-12T14:23:42.626955+00:00,,Thatcher,Thatcher,thatcher,Thatcher,thatcher,,unmapped,margaretthatcher,margaretthatcher,66.66666666666667
