metric_family,provider,model,round_index,panel_id,item_id,item_number,human_top1_probability,consensus_bucket,prompt_language,jsd,tvd,top1_match,flip_rate,spearman,successful_samples,expected_samples,completion_rate,en_successful_samples,zh_successful_samples
cross_lingual,openai,K2.6-code-preview,1,study2_british_within,study2_item_01,1,0.9,high,en_vs_zh,0.0,0.0,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,K2.6-code-preview,1,study2_british_within,study2_item_02,2,0.3,low,en_vs_zh,0.0,0.0,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,K2.6-code-preview,1,study2_british_within,study2_item_03,3,0.36,medium,en_vs_zh,0.01007286462500093,0.02000000000000001,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,K2.6-code-preview,1,study2_british_within,study2_item_04,4,0.24,low,en_vs_zh,0.5149577839754269,0.72,0,1.0,0.0,50,50,1.0,50.0,50.0
cross_lingual,openai,K2.6-code-preview,1,study2_british_within,study2_item_05,5,0.64,medium,en_vs_zh,0.12318324648596311,0.3,1,0.0,1.0,50,50,1.0,50.0,50.0
cross_lingual,openai,K2.6-code-preview,1,study2_british_within,study2_item_06,6,0.44,medium,en_vs_zh,0.0,0.0,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,K2.6-code-preview,1,study2_british_within,study2_item_07,7,0.28,low,en_vs_zh,0.0,0.0,1,0.0,,49,50,0.98,49.0,50.0
cross_lingual,openai,K2.6-code-preview,1,study2_british_within,study2_item_08,8,0.33,low,en_vs_zh,0.0,0.0,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,K2.6-code-preview,1,study2_british_within,study2_item_09,9,0.48,medium,en_vs_zh,0.2747831599153526,0.42,1,0.0,0.39999999999999997,50,50,1.0,50.0,50.0
cross_lingual,openai,K2.6-code-preview,1,study2_british_within,study2_item_10,10,0.92,high,en_vs_zh,0.0,0.0,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,K2.6-code-preview,1,study2_british_within,study2_item_11,11,0.56,medium,en_vs_zh,0.0,0.0,1,0.0,,49,50,0.98,49.0,50.0
cross_lingual,openai,K2.6-code-preview,1,study2_british_within,study2_item_12,12,0.3,low,en_vs_zh,0.13184072559510332,0.24,1,0.0,,49,50,0.98,49.0,50.0
cross_lingual,openai,K2.6-code-preview,1,study2_british_within,study2_item_13,13,0.83,high,en_vs_zh,0.0,0.0,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,K2.6-code-preview,1,study2_british_within,study2_item_14,14,0.74,high,en_vs_zh,0.0,0.0,1,0.0,,49,50,0.98,49.0,50.0
cross_lingual,openai,K2.6-code-preview,1,study2_british_within,study2_item_15,15,0.88,high,en_vs_zh,0.0,0.0,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,K2.6-code-preview,2,study2_british_within,study2_item_04,4,0.24,low,en_vs_zh,0.3417998289305583,0.5,1,0.0,0.316227766016838,10,10,1.0,10.0,10.0
human_alignment,openai,K2.6-code-preview,1,study2_british_within,study2_item_01,1,0.9,high,en,1.0,1.0,0,,-0.6425294053171791,50,50,1.0,,
human_alignment,openai,K2.6-code-preview,1,study2_british_within,study2_item_01,1,0.9,high,zh,1.0,1.0,0,,-0.6425294053171791,50,50,1.0,,
human_alignment,openai,K2.6-code-preview,1,study2_british_within,study2_item_02,2,0.3,low,en,1.0,1.0,0,,-0.36429003203460203,50,50,1.0,,
human_alignment,openai,K2.6-code-preview,1,study2_british_within,study2_item_02,2,0.3,low,zh,1.0,1.0,0,,-0.36429003203460203,50,50,1.0,,
human_alignment,openai,K2.6-code-preview,1,study2_british_within,study2_item_03,3,0.36,medium,en,0.9289911704818996,0.98,0,,-0.03200484803483466,50,50,1.0,,
human_alignment,openai,K2.6-code-preview,1,study2_british_within,study2_item_03,3,0.36,medium,zh,0.905005963867723,0.96,0,,0.04060359359147241,50,50,1.0,,
human_alignment,openai,K2.6-code-preview,1,study2_british_within,study2_item_04,4,0.24,low,en,0.6958176123281112,0.74,0,,0.14773578919475064,50,50,1.0,,
human_alignment,openai,K2.6-code-preview,1,study2_british_within,study2_item_04,4,0.24,low,zh,0.5605218825340386,0.76,1,,0.4633239167994182,50,50,1.0,,
human_alignment,openai,K2.6-code-preview,1,study2_british_within,study2_item_05,5,0.64,medium,en,0.9479886832469648,0.96,0,,-0.17094086468945693,50,50,1.0,,
human_alignment,openai,K2.6-code-preview,1,study2_british_within,study2_item_05,5,0.64,medium,zh,0.8736625833947116,0.93,0,,-0.3433316430627887,50,50,1.0,,
human_alignment,openai,K2.6-code-preview,1,study2_british_within,study2_item_06,6,0.44,medium,en,1.0,1.0,0,,-0.40547849682554116,50,50,1.0,,
human_alignment,openai,K2.6-code-preview,1,study2_british_within,study2_item_06,6,0.44,medium,zh,1.0,1.0,0,,-0.40547849682554116,50,50,1.0,,
human_alignment,openai,K2.6-code-preview,1,study2_british_within,study2_item_07,7,0.28,low,en,1.0,1.0,0,,-0.3382950893557894,49,50,0.98,,
human_alignment,openai,K2.6-code-preview,1,study2_british_within,study2_item_07,7,0.28,low,zh,1.0,1.0,0,,-0.3382950893557894,50,50,1.0,,
human_alignment,openai,K2.6-code-preview,1,study2_british_within,study2_item_08,8,0.33,low,en,1.0,1.0,0,,-0.34523522258958245,50,50,1.0,,
human_alignment,openai,K2.6-code-preview,1,study2_british_within,study2_item_08,8,0.33,low,zh,1.0,1.0,0,,-0.34523522258958245,50,50,1.0,,
human_alignment,openai,K2.6-code-preview,1,study2_british_within,study2_item_09,9,0.48,medium,en,0.8266758539529753,0.93,0,,0.059551343353652246,50,50,1.0,,
human_alignment,openai,K2.6-code-preview,1,study2_british_within,study2_item_09,9,0.48,medium,zh,0.9245170190833372,0.97,0,,-0.11582757668136048,50,50,1.0,,
human_alignment,openai,K2.6-code-preview,1,study2_british_within,study2_item_10,10,0.92,high,en,1.0,1.0,0,,-0.6354889093022424,50,50,1.0,,
human_alignment,openai,K2.6-code-preview,1,study2_british_within,study2_item_10,10,0.92,high,zh,1.0,1.0,0,,-0.6354889093022424,50,50,1.0,,
human_alignment,openai,K2.6-code-preview,1,study2_british_within,study2_item_11,11,0.56,medium,en,1.0,1.0,0,,-0.4696682183138621,49,50,0.98,,
human_alignment,openai,K2.6-code-preview,1,study2_british_within,study2_item_11,11,0.56,medium,zh,1.0,1.0,0,,-0.4696682183138621,50,50,1.0,,
human_alignment,openai,K2.6-code-preview,1,study2_british_within,study2_item_12,12,0.3,low,en,1.0,1.0,0,,-0.3455058811955659,49,50,0.98,,
human_alignment,openai,K2.6-code-preview,1,study2_british_within,study2_item_12,12,0.3,low,zh,0.7813133534750696,0.8,0,,-0.03313147809612858,50,50,1.0,,
human_alignment,openai,K2.6-code-preview,1,study2_british_within,study2_item_13,13,0.83,high,en,0.16502159736021943,0.17,1,,0.22360679774997894,50,50,1.0,,
human_alignment,openai,K2.6-code-preview,1,study2_british_within,study2_item_13,13,0.83,high,zh,0.09070410686643712,0.17,1,,0.7745966692414834,50,50,1.0,,
human_alignment,openai,K2.6-code-preview,1,study2_british_within,study2_item_14,14,0.74,high,en,1.0,1.0,0,,-0.5388159060803247,49,50,0.98,,
human_alignment,openai,K2.6-code-preview,1,study2_british_within,study2_item_14,14,0.74,high,zh,1.0,1.0,0,,-0.5388159060803247,50,50,1.0,,
human_alignment,openai,K2.6-code-preview,1,study2_british_within,study2_item_15,15,0.88,high,en,0.062764486510794,0.12,1,,0.7905694150420948,50,50,1.0,,
human_alignment,openai,K2.6-code-preview,1,study2_british_within,study2_item_15,15,0.88,high,zh,0.062764486510794,0.12,1,,0.7905694150420948,50,50,1.0,,
human_alignment,openai,K2.6-code-preview,2,study2_british_within,study2_item_04,4,0.24,low,en,0.4852681114766285,0.6,1,,0.21162153587356172,10,10,1.0,,
human_alignment,openai,K2.6-code-preview,2,study2_british_within,study2_item_04,4,0.24,low,zh,0.5163636455613254,0.72,1,,0.42295493443781357,10,10,1.0,,
