scope,metric_family,provider,model,round_index,panel_id,item_id,prompt_language,metric,ci_low,ci_high
aggregate,cross_lingual,openai,mimo-v2-omni,1,study2_british_within,,en_vs_zh,jsd,0.016618927437316577,0.07586556875460938
aggregate,cross_lingual,openai,mimo-v2-omni,1,study2_british_within,,en_vs_zh,tvd,0.030666666666666672,0.164
aggregate,cross_lingual,openai,mimo-v2-omni,1,study2_british_within,,en_vs_zh,top1_match,0.8,1.0
aggregate,cross_lingual,openai,mimo-v2-omni,1,study2_british_within,,en_vs_zh,flip_rate,0.0,0.2
aggregate,human_alignment,openai,mimo-v2-omni,1,study2_british_within,,en,jsd,0.629218669111502,0.9107896922326885
aggregate,human_alignment,openai,mimo-v2-omni,1,study2_british_within,,en,tvd,0.7053333333333334,0.9467
aggregate,human_alignment,openai,mimo-v2-omni,1,study2_british_within,,en,top1_match,0.0,0.4
aggregate,human_alignment,openai,mimo-v2-omni,1,study2_british_within,,zh,jsd,0.5916850640548589,0.9135713321528676
aggregate,human_alignment,openai,mimo-v2-omni,1,study2_british_within,,zh,tvd,0.6459333333333335,0.9373666666666667
aggregate,human_alignment,openai,mimo-v2-omni,1,study2_british_within,,zh,top1_match,0.06666666666666667,0.5333333333333333
item,cross_lingual,openai,mimo-v2-omni,1,study2_british_within,study2_item_01,en_vs_zh,jsd,0.0,0.07380424507879543
item,cross_lingual,openai,mimo-v2-omni,1,study2_british_within,study2_item_01,en_vs_zh,tvd,0.0,0.14
item,cross_lingual,openai,mimo-v2-omni,1,study2_british_within,study2_item_02,en_vs_zh,jsd,0.0700171680481761,0.2685942205393878
item,cross_lingual,openai,mimo-v2-omni,1,study2_british_within,study2_item_02,en_vs_zh,tvd,0.17999999999999997,0.5004999999999995
item,cross_lingual,openai,mimo-v2-omni,1,study2_british_within,study2_item_02,en_vs_zh,spearman,0.7378647873726218,1.0
item,cross_lingual,openai,mimo-v2-omni,1,study2_british_within,study2_item_03,en_vs_zh,jsd,0.14427295346846863,0.3950637046006722
item,cross_lingual,openai,mimo-v2-omni,1,study2_british_within,study2_item_03,en_vs_zh,tvd,0.26,0.58
item,cross_lingual,openai,mimo-v2-omni,1,study2_british_within,study2_item_03,en_vs_zh,spearman,-0.11201012375973385,0.6139569866269083
item,cross_lingual,openai,mimo-v2-omni,1,study2_british_within,study2_item_04,en_vs_zh,jsd,0.053787340109345216,0.23686853207232836
item,cross_lingual,openai,mimo-v2-omni,1,study2_british_within,study2_item_04,en_vs_zh,tvd,0.11999999999999997,0.36000000000000004
item,cross_lingual,openai,mimo-v2-omni,1,study2_british_within,study2_item_04,en_vs_zh,spearman,0.316227766016838,1.0
item,cross_lingual,openai,mimo-v2-omni,1,study2_british_within,study2_item_05,en_vs_zh,jsd,0.060567502326487235,0.18988506656812176
item,cross_lingual,openai,mimo-v2-omni,1,study2_british_within,study2_item_05,en_vs_zh,tvd,0.08000000000000002,0.32
item,cross_lingual,openai,mimo-v2-omni,1,study2_british_within,study2_item_05,en_vs_zh,spearman,0.130921052631579,0.6871052631578921
item,cross_lingual,openai,mimo-v2-omni,1,study2_british_within,study2_item_06,en_vs_zh,jsd,0.12373192237039041,0.37075592045335715
item,cross_lingual,openai,mimo-v2-omni,1,study2_british_within,study2_item_06,en_vs_zh,tvd,0.3,0.64
item,cross_lingual,openai,mimo-v2-omni,1,study2_british_within,study2_item_06,en_vs_zh,spearman,0.15389675281277312,0.9486832980505139
item,cross_lingual,openai,mimo-v2-omni,1,study2_british_within,study2_item_07,en_vs_zh,jsd,0.0011058669455106843,0.07380424507879542
item,cross_lingual,openai,mimo-v2-omni,1,study2_british_within,study2_item_07,en_vs_zh,tvd,0.019999999999999955,0.16000000000000003
item,cross_lingual,openai,mimo-v2-omni,1,study2_british_within,study2_item_07,en_vs_zh,spearman,0.5,1.0
item,cross_lingual,openai,mimo-v2-omni,1,study2_british_within,study2_item_08,en_vs_zh,jsd,0.015206855439408468,0.15058465988918396
item,cross_lingual,openai,mimo-v2-omni,1,study2_british_within,study2_item_08,en_vs_zh,tvd,0.040000000000000015,0.2404999999999996
item,cross_lingual,openai,mimo-v2-omni,1,study2_british_within,study2_item_08,en_vs_zh,spearman,0.316227766016838,1.0
item,cross_lingual,openai,mimo-v2-omni,1,study2_british_within,study2_item_09,en_vs_zh,jsd,0.27419378845257714,0.5959792892301778
item,cross_lingual,openai,mimo-v2-omni,1,study2_british_within,study2_item_09,en_vs_zh,tvd,0.52,0.8
item,cross_lingual,openai,mimo-v2-omni,1,study2_british_within,study2_item_09,en_vs_zh,spearman,-0.6,0.49999999999999994
item,cross_lingual,openai,mimo-v2-omni,1,study2_british_within,study2_item_10,en_vs_zh,jsd,0.001111596221848754,0.10803154614560012
item,cross_lingual,openai,mimo-v2-omni,1,study2_british_within,study2_item_10,en_vs_zh,tvd,0.020000000000000007,0.19999999999999998
item,cross_lingual,openai,mimo-v2-omni,1,study2_british_within,study2_item_11,en_vs_zh,jsd,0.17008915731577107,0.4767419304839209
item,cross_lingual,openai,mimo-v2-omni,1,study2_british_within,study2_item_11,en_vs_zh,tvd,0.3995,0.7000000000000001
item,cross_lingual,openai,mimo-v2-omni,1,study2_british_within,study2_item_11,en_vs_zh,spearman,0.0,0.8932596002688613
item,cross_lingual,openai,mimo-v2-omni,1,study2_british_within,study2_item_12,en_vs_zh,jsd,0.010279759564375303,0.13184072559510335
item,cross_lingual,openai,mimo-v2-omni,1,study2_british_within,study2_item_12,en_vs_zh,tvd,0.039999999999999966,0.26
item,cross_lingual,openai,mimo-v2-omni,1,study2_british_within,study2_item_12,en_vs_zh,spearman,0.7745966692414834,1.0
item,cross_lingual,openai,mimo-v2-omni,1,study2_british_within,study2_item_13,en_vs_zh,jsd,0.8133517352604371,1.0
item,cross_lingual,openai,mimo-v2-omni,1,study2_british_within,study2_item_13,en_vs_zh,tvd,0.9,1.0
item,cross_lingual,openai,mimo-v2-omni,1,study2_british_within,study2_item_13,en_vs_zh,spearman,-0.8656073873952801,-0.5716783338193455
item,cross_lingual,openai,mimo-v2-omni,1,study2_british_within,study2_item_14,en_vs_zh,jsd,0.0,0.08502441288198997
item,cross_lingual,openai,mimo-v2-omni,1,study2_british_within,study2_item_14,en_vs_zh,tvd,0.0,0.18000000000000002
item,cross_lingual,openai,mimo-v2-omni,1,study2_british_within,study2_item_15,en_vs_zh,jsd,0.0,0.0
item,cross_lingual,openai,mimo-v2-omni,1,study2_british_within,study2_item_15,en_vs_zh,tvd,0.0,0.0
item,human_alignment,openai,mimo-v2-omni,1,study2_british_within,study2_item_01,en,jsd,1.0,1.0
item,human_alignment,openai,mimo-v2-omni,1,study2_british_within,study2_item_01,en,tvd,1.0,1.0
item,human_alignment,openai,mimo-v2-omni,1,study2_british_within,study2_item_01,en,spearman,-0.6425294053171791,-0.6425294053171791
item,human_alignment,openai,mimo-v2-omni,1,study2_british_within,study2_item_01,zh,jsd,1.0,1.0
item,human_alignment,openai,mimo-v2-omni,1,study2_british_within,study2_item_01,zh,tvd,1.0,1.0
item,human_alignment,openai,mimo-v2-omni,1,study2_british_within,study2_item_01,zh,spearman,-0.6425294053171791,-0.6425294053171791
item,human_alignment,openai,mimo-v2-omni,1,study2_british_within,study2_item_02,en,jsd,1.0,1.0
item,human_alignment,openai,mimo-v2-omni,1,study2_british_within,study2_item_02,en,tvd,1.0,1.0
item,human_alignment,openai,mimo-v2-omni,1,study2_british_within,study2_item_02,en,spearman,-0.36429003203460203,-0.36429003203460203
item,human_alignment,openai,mimo-v2-omni,1,study2_british_within,study2_item_02,zh,jsd,1.0,1.0
