provider,model,requested_model,resolved_model,provider_backend,panel_id,item_id,item_text_en,item_text_zh,prompt_language,answer_language,round_index,sample_index,temperature,max_output_tokens,seed,provider_timeout_seconds,provider_concurrency,request_cache_key,system_prompt,user_prompt,response_text,finish_reason,request_id,prompt_tokens,completion_tokens,total_tokens,latency_seconds,response_source,retry_count,attempt_count,cache_hit,disk_cache_hit,provider_cached_tokens,error,raw_payload,generated_at_utc,response_validation_error,parsed_answer,response_clean,answer_key,coord_answer,coord_answer_key,canonical_answer,normalization_status,closest_human_answer_key,closest_human_canonical,closest_human_score
openai,MiniMax-M2.7,MiniMax-M2.7,MiniMax-M2.7,openai,study2_british_within,study2_item_03,Name a world leader,说出一位世界领导人,en,English,1,45,1.0,256,643996705,120,10,be1fc7a715c656835fe30eac5bf77f4bcea69abf154a4cf8aab87cf0f0994a85,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a world leader",,,,,,,,provider_error,10,10,False,False,,empty response text,{'error': 'empty response text'},2026-04-14T11:09:55.389569+00:00,empty response text,,,,,,,invalid,,,
openai,MiniMax-M2.7,MiniMax-M2.7,MiniMax-M2.7,openai,study2_british_within,study2_item_09,Name a book,说出一本书,en,English,1,28,1.0,256,962212923,120,10,9adbe644381920f8b77e0c40f07ba466b662d738a1ff8cf4259baca1e997c56c,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a book",,,,,,,,provider_error,10,10,False,False,,empty response text,{'error': 'empty response text'},2026-04-14T11:20:46.286365+00:00,empty response text,,,,,,,invalid,,,
openai,MiniMax-M2.7,MiniMax-M2.7,MiniMax-M2.7,openai_chat_completions_stream,study2_british_within,study2_item_02,Name a sport player (any sport),说出一位运动员（任何运动项目）,zh,English,1,42,1.0,256,719911369,120,10,b54beaef49129dcceac6c2bde5b2b97855d938d65ee24f3594d4cb1049a05dff,你正在参与一个纯协调任务。你的目标是给出最可能与另一位来自英国的参与者一致的答案。只输出一个简短答案，不要解释，不要加额外说明。,"请只给出一个最可能与另一位来自英国的参与者一致的答案。
请用English作答。
类别：说出一位运动员（任何运动项目）",Michael Jordan,stop,062d57ce8aaaed9ba573b1140e86a411,123.0,208.0,331.0,3.170376199996099,provider_api,1,2,False,False,1251.0,,"{'stream': True, 'requested_stream': True, 'event_count': 16, 'http_status': 200, 'usage': {'prompt_tokens': 123, 'completion_tokens': 208, 'total_tokens': 331, 'prompt_tokens_details': {'cached_tokens': 1251, 'text_tokens': 0, 'audio_tokens': 0, 'image_tokens': 0}, 'completion_tokens_details': {'text_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 0}, 'input_tokens': 0, 'output_tokens': 0, 'input_tokens_details': None, 'claude_cache_creation_5_m_tokens': 0, 'claude_cache_creation_1_h_tokens': 0}}",2026-04-14T11:28:23.373520+00:00,nan,Michael Jordan,Michael Jordan,michaeljordan,Michael Jordan,jordan,Michael Jordan,unmapped,mohamedsalah,mohamedsalah,48.0
openai,MiniMax-M2.7,MiniMax-M2.7,MiniMax-M2.7,openai,study2_british_within,study2_item_02,Name a sport player (any sport),说出一位运动员（任何运动项目）,zh,English,1,3,1.0,256,555171152,120,10,c883aee447202b93e6a03e3b1cc51e7af6670d0c7e35aee7b00c3552ae726605,你正在参与一个纯协调任务。你的目标是给出最可能与另一位来自英国的参与者一致的答案。只输出一个简短答案，不要解释，不要加额外说明。,"请只给出一个最可能与另一位来自英国的参与者一致的答案。
请用English作答。
类别：说出一位运动员（任何运动项目）",,,,,,,,provider_error,10,10,False,False,,empty response text,{'error': 'empty response text'},2026-04-14T11:31:39.857478+00:00,empty response text,,,,,,,invalid,,,
openai,MiniMax-M2.7,MiniMax-M2.7,MiniMax-M2.7,openai,study2_british_within,study2_item_02,Name a sport player (any sport),说出一位运动员（任何运动项目）,zh,English,1,4,1.0,256,941261559,120,10,73c61837c551447b0d88a8699e18821c0e7adfe709322a7db5837740325517e6,你正在参与一个纯协调任务。你的目标是给出最可能与另一位来自英国的参与者一致的答案。只输出一个简短答案，不要解释，不要加额外说明。,"请只给出一个最可能与另一位来自英国的参与者一致的答案。
请用English作答。
类别：说出一位运动员（任何运动项目）",,,,,,,,provider_error,10,10,False,False,,empty response text,{'error': 'empty response text'},2026-04-14T11:31:48.628892+00:00,empty response text,,,,,,,invalid,,,
openai,MiniMax-M2.7,MiniMax-M2.7,MiniMax-M2.7,openai,study2_british_within,study2_item_02,Name a sport player (any sport),说出一位运动员（任何运动项目）,zh,English,1,40,1.0,256,220266962,120,10,e88b5b7d02dd891ce8e73a1d60a692466a53928552922312dbd5f17f2f8eeb51,你正在参与一个纯协调任务。你的目标是给出最可能与另一位来自英国的参与者一致的答案。只输出一个简短答案，不要解释，不要加额外说明。,"请只给出一个最可能与另一位来自英国的参与者一致的答案。
请用English作答。
类别：说出一位运动员（任何运动项目）",,,,,,,,provider_error,10,10,False,False,,empty response text,{'error': 'empty response text'},2026-04-14T11:35:54.233682+00:00,empty response text,,,,,,,invalid,,,
openai,MiniMax-M2.7,MiniMax-M2.7,MiniMax-M2.7,openai,study2_british_within,study2_item_03,Name a world leader,说出一位世界领导人,zh,English,1,17,1.0,256,950705086,120,10,95c994b29f27770315f0142f5d1558046a6819d9701ef88c9e74a84094efafeb,你正在参与一个纯协调任务。你的目标是给出最可能与另一位来自英国的参与者一致的答案。只输出一个简短答案，不要解释，不要加额外说明。,"请只给出一个最可能与另一位来自英国的参与者一致的答案。
请用English作答。
类别：说出一位世界领导人",,,,,,,,provider_error,10,10,False,False,,empty response text,{'error': 'empty response text'},2026-04-14T11:39:37.363131+00:00,empty response text,,,,,,,invalid,,,
openai,MiniMax-M2.7,MiniMax-M2.7,MiniMax-M2.7,openai,study2_british_within,study2_item_03,Name a world leader,说出一位世界领导人,zh,English,1,19,1.0,256,153577456,120,10,8d2b5986e1935db762106227c29246de071691de3d03b2510cbd50f397fc705d,你正在参与一个纯协调任务。你的目标是给出最可能与另一位来自英国的参与者一致的答案。只输出一个简短答案，不要解释，不要加额外说明。,"请只给出一个最可能与另一位来自英国的参与者一致的答案。
请用English作答。
类别：说出一位世界领导人",,,,,,,,provider_error,10,10,False,False,,empty response text,{'error': 'empty response text'},2026-04-14T11:39:51.301837+00:00,empty response text,,,,,,,invalid,,,
openai,MiniMax-M2.7,MiniMax-M2.7,MiniMax-M2.7,openai,study2_british_within,study2_item_03,Name a world leader,说出一位世界领导人,zh,English,1,30,1.0,256,447759143,120,10,a9e520f1a4a5f44d1650579541b2a5bffb580ebc09241a907ab030dac9d53f55,你正在参与一个纯协调任务。你的目标是给出最可能与另一位来自英国的参与者一致的答案。只输出一个简短答案，不要解释，不要加额外说明。,"请只给出一个最可能与另一位来自英国的参与者一致的答案。
请用English作答。
类别：说出一位世界领导人",,,,,,,,provider_error,10,10,False,False,,response was truncated before a final answer was produced,{'error': 'response was truncated before a final answer was produced'},2026-04-14T11:41:36.102195+00:00,response was truncated before a final answer was produced,,,,,,,invalid,,,
openai,MiniMax-M2.7,MiniMax-M2.7,MiniMax-M2.7,openai,study2_british_within,study2_item_03,Name a world leader,说出一位世界领导人,zh,English,1,32,1.0,256,34227048,120,10,a204e4d08c300f6622dfe10196fa656f5632de910701a7a486ea6fe5d34aaa5c,你正在参与一个纯协调任务。你的目标是给出最可能与另一位来自英国的参与者一致的答案。只输出一个简短答案，不要解释，不要加额外说明。,"请只给出一个最可能与另一位来自英国的参与者一致的答案。
请用English作答。
类别：说出一位世界领导人",,,,,,,,provider_error,10,10,False,False,,empty response text,{'error': 'empty response text'},2026-04-14T11:41:59.379956+00:00,empty response text,,,,,,,invalid,,,
openai,MiniMax-M2.7,MiniMax-M2.7,MiniMax-M2.7,openai,study2_british_within,study2_item_03,Name a world leader,说出一位世界领导人,zh,English,1,37,1.0,256,460512281,120,10,4067d14b77d3381fb8227f3f80b92a79cf50bfaab58e6b5ab3b1957f9b806106,你正在参与一个纯协调任务。你的目标是给出最可能与另一位来自英国的参与者一致的答案。只输出一个简短答案，不要解释，不要加额外说明。,"请只给出一个最可能与另一位来自英国的参与者一致的答案。
请用English作答。
类别：说出一位世界领导人",,,,,,,,provider_error,10,10,False,False,,empty response text,{'error': 'empty response text'},2026-04-14T11:43:08.000193+00:00,empty response text,,,,,,,invalid,,,
openai,MiniMax-M2.7,MiniMax-M2.7,MiniMax-M2.7,openai,study2_british_within,study2_item_09,Name a book,说出一本书,zh,English,1,22,1.0,256,399188461,120,10,03d258114c93cdff3a3020715933241885d45d6af7926af5a314cf7b3bf3a253,你正在参与一个纯协调任务。你的目标是给出最可能与另一位来自英国的参与者一致的答案。只输出一个简短答案，不要解释，不要加额外说明。,"请只给出一个最可能与另一位来自英国的参与者一致的答案。
请用English作答。
类别：说出一本书",,,,,,,,provider_error,10,10,False,False,,empty response text,{'error': 'empty response text'},2026-04-14T11:58:24.676412+00:00,empty response text,,,,,,,invalid,,,
