provider,model,requested_model,resolved_model,provider_backend,panel_id,item_id,item_text_en,item_text_zh,prompt_language,answer_language,round_index,sample_index,temperature,max_output_tokens,seed,provider_timeout_seconds,provider_concurrency,request_cache_key,system_prompt,user_prompt,response_text,finish_reason,request_id,prompt_tokens,completion_tokens,total_tokens,latency_seconds,response_source,retry_count,attempt_count,cache_hit,disk_cache_hit,provider_cached_tokens,error,raw_payload,generated_at_utc,response_validation_error,parsed_answer,response_clean,answer_key,coord_answer,coord_answer_key,canonical_answer,normalization_status,closest_human_answer_key,closest_human_canonical,closest_human_score
gemini,gemini-2.5-flash,gemini-2.5-flash,gemini-2.5-flash,gemini,study2_british_within,study2_item_01,Name a city,说出一座城市,en,English,1,45,1.0,256,438321414,120,3,ff114137b124de7aa726ff7fa84a0280dd5214f513052ad1c4f727b2f2f09f68,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a city",,,,,,,,provider_error,5,5,False,False,,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}","{'error': ""503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}""}",2026-04-17T15:01:47.593789+00:00,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}",,,,,,,invalid,,,
gemini,gemini-2.5-flash,gemini-2.5-flash,gemini-2.5-flash,gemini,study2_british_within,study2_item_02,Name a sport player (any sport),说出一位运动员（任何运动项目）,en,English,1,0,1.0,256,412201652,120,3,120a0c4987b14c59258b6dfdc5d16b8c199820986301c459db16ddfb35de68e0,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a sport player (any sport)",,,,,,,,provider_error,5,5,False,False,,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}","{'error': ""503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}""}",2026-04-17T15:02:35.158444+00:00,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}",,,,,,,invalid,,,
gemini,gemini-2.5-flash,gemini-2.5-flash,gemini-2.5-flash,gemini,study2_british_within,study2_item_02,Name a sport player (any sport),说出一位运动员（任何运动项目）,en,English,1,3,1.0,256,314946880,120,3,47193f70de585b70ede3de74a3ec3583839dd520b1184108c665f175104a374b,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a sport player (any sport)",,,,,,,,provider_error,5,5,False,False,,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}","{'error': ""503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}""}",2026-04-17T15:02:57.841290+00:00,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}",,,,,,,invalid,,,
gemini,gemini-2.5-flash,gemini-2.5-flash,gemini-2.5-flash,gemini,study2_british_within,study2_item_02,Name a sport player (any sport),说出一位运动员（任何运动项目）,en,English,1,8,1.0,256,604386286,120,3,914c6a9dfabbc66e61d378e70d82ee082e45dcfd3e831683beaab4711977dd8b,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a sport player (any sport)",,,,,,,,provider_error,5,5,False,False,,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}","{'error': ""503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}""}",2026-04-17T15:04:34.486702+00:00,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}",,,,,,,invalid,,,
gemini,gemini-2.5-flash,gemini-2.5-flash,gemini-2.5-flash,gemini,study2_british_within,study2_item_02,Name a sport player (any sport),说出一位运动员（任何运动项目）,en,English,1,12,1.0,256,705186750,120,3,00bbb98416ca4c875a224f361d9235517b46f30e279c4e1afd813314891bed90,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a sport player (any sport)",,,,,,,,provider_error,5,5,False,False,,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}","{'error': ""503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}""}",2026-04-17T15:04:56.574317+00:00,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}",,,,,,,invalid,,,
gemini,gemini-2.5-flash,gemini-2.5-flash,gemini-2.5-flash,gemini,study2_british_within,study2_item_02,Name a sport player (any sport),说出一位运动员（任何运动项目）,en,English,1,14,1.0,256,302571742,120,3,6653c3509d5596409aefe065b1722709d5957615dd32f5af36565ae6fbbf4377,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a sport player (any sport)",,,,,,,,provider_error,5,5,False,False,,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}","{'error': ""503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}""}",2026-04-17T15:05:14.290798+00:00,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}",,,,,,,invalid,,,
gemini,gemini-2.5-flash,gemini-2.5-flash,gemini-2.5-flash,gemini,study2_british_within,study2_item_02,Name a sport player (any sport),说出一位运动员（任何运动项目）,en,English,1,18,1.0,256,134669803,120,3,cef6546cabc7727329da6e7c5ac44d8ad79fe5ca53558ae34ce2ad1b8decf8a6,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a sport player (any sport)",,,,,,,,provider_error,5,5,False,False,,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}","{'error': ""503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}""}",2026-04-17T15:06:44.960425+00:00,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}",,,,,,,invalid,,,
gemini,gemini-2.5-flash,gemini-2.5-flash,gemini-2.5-flash,gemini,study2_british_within,study2_item_02,Name a sport player (any sport),说出一位运动员（任何运动项目）,en,English,1,33,1.0,256,74026957,120,3,3ed6ad565aca77778ee8cefe70961f531d114aaf3126bb948a7c0d5d4e4b288d,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a sport player (any sport)",,,,,,,,provider_error,5,5,False,False,,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}","{'error': ""503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}""}",2026-04-17T15:08:39.602158+00:00,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}",,,,,,,invalid,,,
gemini,gemini-2.5-flash,gemini-2.5-flash,gemini-2.5-flash,gemini,study2_british_within,study2_item_02,Name a sport player (any sport),说出一位运动员（任何运动项目）,en,English,1,34,1.0,256,944399434,120,3,899560bb5908bcfab273bdd5b751a72d269f56de9599be25fb69f7dfe5614390,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a sport player (any sport)",,,,,,,,provider_error,5,5,False,False,,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}","{'error': ""503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}""}",2026-04-17T15:08:40.930582+00:00,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}",,,,,,,invalid,,,
gemini,gemini-2.5-flash,gemini-2.5-flash,gemini-2.5-flash,gemini,study2_british_within,study2_item_02,Name a sport player (any sport),说出一位运动员（任何运动项目）,en,English,1,42,1.0,256,760183269,120,3,25e37c1bd0d9165097d7ec6d5890322f500c63e1604e6dcd1c44c4134b4b16e7,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a sport player (any sport)",,,,,,,,provider_error,5,5,False,False,,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}","{'error': ""503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}""}",2026-04-17T15:10:22.415259+00:00,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}",,,,,,,invalid,,,
