provider,model,round_index,panel_id,item_id,prompt_language,raw_record_count,successful_samples,expected_samples,missing_samples,completion_rate,is_complete
openai,glm-4-flashx-250414,1,study2_british_within,study2_item_01,en,50,50,50,0,1.0,True
openai,glm-4-flashx-250414,1,study2_british_within,study2_item_01,zh,50,50,50,0,1.0,True
openai,glm-4-flashx-250414,1,study2_british_within,study2_item_02,en,50,39,50,11,0.78,False
openai,glm-4-flashx-250414,1,study2_british_within,study2_item_02,zh,50,46,50,4,0.92,True
openai,glm-4-flashx-250414,1,study2_british_within,study2_item_03,en,50,17,50,33,0.34,False
openai,glm-4-flashx-250414,1,study2_british_within,study2_item_03,zh,50,8,50,42,0.16,False
openai,glm-4-flashx-250414,1,study2_british_within,study2_item_04,en,50,48,50,2,0.96,True
openai,glm-4-flashx-250414,1,study2_british_within,study2_item_04,zh,50,25,50,25,0.5,False
openai,glm-4-flashx-250414,1,study2_british_within,study2_item_05,en,50,50,50,0,1.0,True
openai,glm-4-flashx-250414,1,study2_british_within,study2_item_05,zh,50,50,50,0,1.0,True
openai,glm-4-flashx-250414,1,study2_british_within,study2_item_06,en,50,46,50,4,0.92,True
openai,glm-4-flashx-250414,1,study2_british_within,study2_item_06,zh,50,50,50,0,1.0,True
openai,glm-4-flashx-250414,1,study2_british_within,study2_item_07,en,50,50,50,0,1.0,True
openai,glm-4-flashx-250414,1,study2_british_within,study2_item_07,zh,50,50,50,0,1.0,True
openai,glm-4-flashx-250414,1,study2_british_within,study2_item_08,en,50,50,50,0,1.0,True
openai,glm-4-flashx-250414,1,study2_british_within,study2_item_08,zh,50,50,50,0,1.0,True
openai,glm-4-flashx-250414,1,study2_british_within,study2_item_09,en,50,32,50,18,0.64,False
openai,glm-4-flashx-250414,1,study2_british_within,study2_item_09,zh,50,50,50,0,1.0,True
openai,glm-4-flashx-250414,1,study2_british_within,study2_item_10,en,50,50,50,0,1.0,True
openai,glm-4-flashx-250414,1,study2_british_within,study2_item_10,zh,50,50,50,0,1.0,True
openai,glm-4-flashx-250414,1,study2_british_within,study2_item_11,en,50,50,50,0,1.0,True
openai,glm-4-flashx-250414,1,study2_british_within,study2_item_11,zh,50,50,50,0,1.0,True
openai,glm-4-flashx-250414,1,study2_british_within,study2_item_12,en,50,50,50,0,1.0,True
openai,glm-4-flashx-250414,1,study2_british_within,study2_item_12,zh,50,50,50,0,1.0,True
openai,glm-4-flashx-250414,1,study2_british_within,study2_item_13,en,50,50,50,0,1.0,True
openai,glm-4-flashx-250414,1,study2_british_within,study2_item_13,zh,50,50,50,0,1.0,True
openai,glm-4-flashx-250414,1,study2_british_within,study2_item_14,en,50,50,50,0,1.0,True
openai,glm-4-flashx-250414,1,study2_british_within,study2_item_14,zh,50,50,50,0,1.0,True
openai,glm-4-flashx-250414,1,study2_british_within,study2_item_15,en,50,41,50,9,0.82,True
openai,glm-4-flashx-250414,1,study2_british_within,study2_item_15,zh,50,32,50,18,0.64,False
