provider,model,requested_model,resolved_model,provider_backend,panel_id,item_id,item_text_en,item_text_zh,prompt_language,answer_language,round_index,sample_index,temperature,max_output_tokens,seed,provider_timeout_seconds,provider_concurrency,request_cache_key,system_prompt,user_prompt,response_text,finish_reason,request_id,prompt_tokens,completion_tokens,total_tokens,latency_seconds,response_source,retry_count,attempt_count,cache_hit,disk_cache_hit,provider_cached_tokens,error,raw_payload,generated_at_utc,response_validation_error,parsed_answer,response_clean,answer_key,coord_answer,coord_answer_key,canonical_answer,normalization_status,closest_human_answer_key,closest_human_canonical,closest_human_score
openai,glm-4-airx,glm-4-airx,glm-4-airx,openai_chat_completions_stream,study2_british_within,study2_item_02,Name a sport player (any sport),说出一位运动员（任何运动项目）,en,English,1,11,1.0,256,619642177,120,100,5f7050e579938ce387658649fb81a4d5ae42cb4c8164d282c8ec8342bf541b3a,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a sport player (any sport)",Beckham,stop,20260418004805c2cdbcc4ad464224,78,4,82,7.495735100004822,provider_api,0,1,False,False,,,"{'stream': True, 'event_count': 4, 'http_status': 200, 'usage': {'prompt_tokens': 78, 'completion_tokens': 4, 'total_tokens': 82}}",2026-04-17T16:48:05.982160+00:00,,Beckham,Beckham,beckham,Beckham,beckham,,unmapped,davidbeckham,davidbeckham,73.6842105263158
openai,glm-4-airx,glm-4-airx,glm-4-airx,openai_chat_completions_stream,study2_british_within,study2_item_02,Name a sport player (any sport),说出一位运动员（任何运动项目）,en,English,1,44,1.0,256,390161109,120,100,fc4846a3472bc53b7032e784651ed0befcf776fcf8900e116fd421d79d3de9bc,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a sport player (any sport)",Beckham,stop,20260418004807ec35cb6cc4df4b7d,78,4,82,7.820580300001893,provider_api,0,1,False,False,,,"{'stream': True, 'event_count': 4, 'http_status': 200, 'usage': {'prompt_tokens': 78, 'completion_tokens': 4, 'total_tokens': 82}}",2026-04-17T16:48:07.494551+00:00,,Beckham,Beckham,beckham,Beckham,beckham,,unmapped,davidbeckham,davidbeckham,73.6842105263158
openai,glm-4-airx,glm-4-airx,glm-4-airx,openai_chat_completions_stream,study2_british_within,study2_item_02,Name a sport player (any sport),说出一位运动员（任何运动项目）,en,English,1,20,1.0,256,109463114,120,100,ec295f8ddf22673b6c9bcd82a4b752c739bd6b0f1b085ff5a6864e4793f15d3b,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a sport player (any sport)",Beckham,stop,20260418004807e15f44ce3d5747d1,78,4,82,8.486747800023295,provider_api,0,1,False,False,,,"{'stream': True, 'event_count': 4, 'http_status': 200, 'usage': {'prompt_tokens': 78, 'completion_tokens': 4, 'total_tokens': 82}}",2026-04-17T16:48:07.496896+00:00,,Beckham,Beckham,beckham,Beckham,beckham,,unmapped,davidbeckham,davidbeckham,73.6842105263158
openai,glm-4-airx,glm-4-airx,glm-4-airx,openai_chat_completions_stream,study2_british_within,study2_item_02,Name a sport player (any sport),说出一位运动员（任何运动项目）,en,English,1,5,1.0,256,221636796,120,100,4500468c2505a631298661f714c9922c8eed34d079a812590f2bda5afc99518c,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a sport player (any sport)",Beckham,stop,20260418004807424a380cc550409e,78,4,82,9.231052700022701,provider_api,0,1,False,False,,,"{'stream': True, 'event_count': 4, 'http_status': 200, 'usage': {'prompt_tokens': 78, 'completion_tokens': 4, 'total_tokens': 82}}",2026-04-17T16:48:07.497797+00:00,,Beckham,Beckham,beckham,Beckham,beckham,,unmapped,davidbeckham,davidbeckham,73.6842105263158
openai,glm-4-airx,glm-4-airx,glm-4-airx,openai_chat_completions_stream,study2_british_within,study2_item_02,Name a sport player (any sport),说出一位运动员（任何运动项目）,en,English,1,28,1.0,256,546334210,120,100,5685ee0667bbd65a5dacf6efc7812c3131be397e9de8b952f7bf07abd3c3cfa4,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a sport player (any sport)",Beckham,stop,20260418004807dff896b16560457e,78,4,82,8.11647919996176,provider_api,0,1,False,False,,,"{'stream': True, 'event_count': 4, 'http_status': 200, 'usage': {'prompt_tokens': 78, 'completion_tokens': 4, 'total_tokens': 82}}",2026-04-17T16:48:07.509995+00:00,,Beckham,Beckham,beckham,Beckham,beckham,,unmapped,davidbeckham,davidbeckham,73.6842105263158
openai,glm-4-airx,glm-4-airx,glm-4-airx,openai_chat_completions_stream,study2_british_within,study2_item_03,Name a world leader,说出一位世界领导人,en,English,1,3,1.0,256,899943735,120,100,bd2cdd51b8a8d58c9159f5e621222c4956ec4c3fc1e795e8193cfefa8cb2e1c6,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a world leader",Biden,stop,20260418004808fc3788496e6d4060,74,3,77,0.7412207000306807,provider_api,0,1,False,False,,,"{'stream': True, 'event_count': 3, 'http_status': 200, 'usage': {'prompt_tokens': 74, 'completion_tokens': 3, 'total_tokens': 77}}",2026-04-17T16:48:08.545411+00:00,,Biden,Biden,biden,Biden,biden,,unmapped,joebiden,joebiden,76.92307692307692
openai,glm-4-airx,glm-4-airx,glm-4-airx,openai_chat_completions_stream,study2_british_within,study2_item_03,Name a world leader,说出一位世界领导人,en,English,1,10,1.0,256,484223762,120,100,65659fbcecb1d5030205729513f4d2b470142881199a7692689e005b5b794f9b,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a world leader",Johnson,stop,20260418004808bf5cec054f5c4bde,74,2,76,0.849937700026203,provider_api,0,1,False,False,,,"{'stream': True, 'event_count': 2, 'http_status': 200, 'usage': {'prompt_tokens': 74, 'completion_tokens': 2, 'total_tokens': 76}}",2026-04-17T16:48:08.869635+00:00,,Johnson,Johnson,johnson,Johnson,johnson,,unmapped,borisjohnson,borisjohnson,73.6842105263158
openai,glm-4-airx,glm-4-airx,glm-4-airx,openai_chat_completions_stream,study2_british_within,study2_item_03,Name a world leader,说出一位世界领导人,en,English,1,6,1.0,256,316776773,120,100,9795428110659515c0210c84e9f87b8781d1e56d95e91c8a5d0598274d547d0a,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a world leader",Biden,stop,202604180048086f483c9d97804271,74,3,77,0.9224050000193529,provider_api,0,1,False,False,,,"{'stream': True, 'event_count': 3, 'http_status': 200, 'usage': {'prompt_tokens': 74, 'completion_tokens': 3, 'total_tokens': 77}}",2026-04-17T16:48:08.915389+00:00,,Biden,Biden,biden,Biden,biden,,unmapped,joebiden,joebiden,76.92307692307692
openai,glm-4-airx,glm-4-airx,glm-4-airx,openai_chat_completions_stream,study2_british_within,study2_item_02,Name a sport player (any sport),说出一位运动员（任何运动项目）,en,English,1,10,1.0,256,820303414,120,100,2f6dd3aed299d3345be79cecf5c57998fac1d25319e5937982b643de543a3cd0,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a sport player (any sport)",Beckham,stop,202604180048134857dc64f8324cd1,78,4,82,5.234197899990249,provider_api,1,2,False,False,,,"{'stream': True, 'event_count': 4, 'http_status': 200, 'usage': {'prompt_tokens': 78, 'completion_tokens': 4, 'total_tokens': 82}}",2026-04-17T16:48:13.922811+00:00,,Beckham,Beckham,beckham,Beckham,beckham,,unmapped,davidbeckham,davidbeckham,73.6842105263158
openai,glm-4-airx,glm-4-airx,glm-4-airx,openai_chat_completions_stream,study2_british_within,study2_item_03,Name a world leader,说出一位世界领导人,en,English,1,20,1.0,256,181744475,120,100,78e14c07ff8c158d57991627d33daebb95d860e263689412f35c461094396656,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a world leader",Truss,stop,20260418004815e5978ee649494b90,74,3,77,6.079307299980428,provider_api,0,1,False,False,,,"{'stream': True, 'event_count': 3, 'http_status': 200, 'usage': {'prompt_tokens': 74, 'completion_tokens': 3, 'total_tokens': 77}}",2026-04-17T16:48:15.148210+00:00,,Truss,Truss,truss,Truss,truss,,unmapped,rishisunak,rishisunak,40.0
openai,glm-4-airx,glm-4-airx,glm-4-airx,openai_chat_completions_stream,study2_british_within,study2_item_02,Name a sport player (any sport),说出一位运动员（任何运动项目）,en,English,1,35,1.0,256,909338578,120,100,cf492336af40fc39525cbc7e12fccfbd5f935ac8faf435b8dc456b6e3e4d6021,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a sport player (any sport)",Beckham,stop,202604180048162559296782724cc4,78,4,82,6.215376199979801,provider_api,1,2,False,False,,,"{'stream': True, 'event_count': 4, 'http_status': 200, 'usage': {'prompt_tokens': 78, 'completion_tokens': 4, 'total_tokens': 82}}",2026-04-17T16:48:16.136272+00:00,,Beckham,Beckham,beckham,Beckham,beckham,,unmapped,davidbeckham,davidbeckham,73.6842105263158
openai,glm-4-airx,glm-4-airx,glm-4-airx,openai_chat_completions_stream,study2_british_within,study2_item_02,Name a sport player (any sport),说出一位运动员（任何运动项目）,en,English,1,9,1.0,256,168794876,120,100,4e8ccd1c27e23592f5e4e57950a33c5928db5cc2a37c4fc4c78a61a4899dc2b3,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a sport player (any sport)",Beckham,stop,20260418004816c4dd0b6fa46946c7,78,4,82,6.74668300000485,provider_api,1,2,False,False,,,"{'stream': True, 'event_count': 4, 'http_status': 200, 'usage': {'prompt_tokens': 78, 'completion_tokens': 4, 'total_tokens': 82}}",2026-04-17T16:48:16.287846+00:00,,Beckham,Beckham,beckham,Beckham,beckham,,unmapped,davidbeckham,davidbeckham,73.6842105263158
openai,glm-4-airx,glm-4-airx,glm-4-airx,openai_chat_completions_stream,study2_british_within,study2_item_02,Name a sport player (any sport),说出一位运动员（任何运动项目）,en,English,1,7,1.0,256,389204299,120,100,f01112aa170ea08574cf2f645476da55723902416aa0524595dcd3a4dbcb20dd,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a sport player (any sport)",Rashford,stop,20260418004816bd708bb168a0438f,78,4,82,7.353700899984688,provider_api,1,2,False,False,,,"{'stream': True, 'event_count': 4, 'http_status': 200, 'usage': {'prompt_tokens': 78, 'completion_tokens': 4, 'total_tokens': 82}}",2026-04-17T16:48:16.623867+00:00,,Rashford,Rashford,rashford,Rashford,rashford,,unmapped,marcusrashford,marcusrashford,72.72727272727273
openai,glm-4-airx,glm-4-airx,glm-4-airx,openai_chat_completions_stream,study2_british_within,study2_item_02,Name a sport player (any sport),说出一位运动员（任何运动项目）,en,English,1,27,1.0,256,350826901,120,100,26c5db75a3550a2921ab6451e18aed66f77e9247cce871418952f12016304d54,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a sport player (any sport)",Beckham,stop,202604180048161543cccbc47d4547,78,4,82,7.295042599958833,provider_api,1,2,False,False,,,"{'stream': True, 'event_count': 4, 'http_status': 200, 'usage': {'prompt_tokens': 78, 'completion_tokens': 4, 'total_tokens': 82}}",2026-04-17T16:48:16.642053+00:00,,Beckham,Beckham,beckham,Beckham,beckham,,unmapped,davidbeckham,davidbeckham,73.6842105263158
