provider,model,requested_model,resolved_model,provider_backend,panel_id,item_id,item_text_en,item_text_zh,prompt_language,answer_language,round_index,sample_index,temperature,max_output_tokens,seed,provider_timeout_seconds,provider_concurrency,request_cache_key,system_prompt,user_prompt,response_text,finish_reason,request_id,prompt_tokens,completion_tokens,total_tokens,latency_seconds,response_source,retry_count,attempt_count,cache_hit,disk_cache_hit,provider_cached_tokens,error,raw_payload,generated_at_utc,response_validation_error,parsed_answer,response_clean,answer_key,coord_answer,coord_answer_key,canonical_answer,normalization_status,closest_human_answer_key,closest_human_canonical,closest_human_score
deepseek,deepseek-chat,deepseek-chat,deepseek-chat,deepseek_openai_compat,study2_british_within,study2_item_12,Name a female world leader,说出一位女性世界领导人,en,English,1,0,1.0,256,716443816,120,4,10136353ad123533ccdf66390952b0ed7b67db3a01358a344bdcae393a2ed4aa,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a female world leader",Thatcher,stop,ebc417f3-9c8e-4e3c-bf12-107bf94c1970,68,2,70,0.8740537259727716,provider_api,0,1,False,False,0,,"{'id': 'ebc417f3-9c8e-4e3c-bf12-107bf94c1970', 'choices': [{'finish_reason': 'stop', 'index': 0, 'logprobs': None, 'message': {'content': 'Thatcher', 'refusal': None, 'role': 'assistant', 'annotations': None, 'audio': None, 'function_call': None, 'tool_calls': None}}], 'created': 1775996704, 'model': 'deepseek-chat', 'object': 'chat.completion', 'service_tier': None, 'system_fingerprint': 'fp_eaab8d114b_prod0820_fp8_kvcache_new_kvcache_20260410', 'usage': {'completion_tokens': 2, 'prompt_tokens': 68, 'total_tokens': 70, 'completion_tokens_details': None, 'prompt_tokens_details': {'audio_tokens': None, 'cached_tokens': 0}, 'prompt_cache_hit_tokens': 0, 'prompt_cache_miss_tokens': 68}}",2026-04-12T12:25:07.715769+00:00,,Thatcher,Thatcher,thatcher,Thatcher,thatcher,,unmapped,margaretthatcher,margaretthatcher,66.66666666666667
deepseek,deepseek-chat,deepseek-chat,deepseek-chat,deepseek_openai_compat,study2_british_within,study2_item_12,Name a female world leader,说出一位女性世界领导人,en,English,1,1,1.0,256,382413498,120,4,2fe49c07cd4b9c26d2a76d7d431e49809c2f6507d9966bf5935583aaee79c0f1,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a female world leader",Thatcher,stop,2d30b6b5-bd6f-4126-91ee-80cf6f0231fc,68,2,70,0.9112854227423668,provider_api,0,1,False,False,0,,"{'id': '2d30b6b5-bd6f-4126-91ee-80cf6f0231fc', 'choices': [{'finish_reason': 'stop', 'index': 0, 'logprobs': None, 'message': {'content': 'Thatcher', 'refusal': None, 'role': 'assistant', 'annotations': None, 'audio': None, 'function_call': None, 'tool_calls': None}}], 'created': 1775996705, 'model': 'deepseek-chat', 'object': 'chat.completion', 'service_tier': None, 'system_fingerprint': 'fp_eaab8d114b_prod0820_fp8_kvcache_new_kvcache_20260410', 'usage': {'completion_tokens': 2, 'prompt_tokens': 68, 'total_tokens': 70, 'completion_tokens_details': None, 'prompt_tokens_details': {'audio_tokens': None, 'cached_tokens': 0}, 'prompt_cache_hit_tokens': 0, 'prompt_cache_miss_tokens': 68}}",2026-04-12T12:25:07.871715+00:00,,Thatcher,Thatcher,thatcher,Thatcher,thatcher,,unmapped,margaretthatcher,margaretthatcher,66.66666666666667
deepseek,deepseek-chat,deepseek-chat,deepseek-chat,deepseek_openai_compat,study2_british_within,study2_item_12,Name a female world leader,说出一位女性世界领导人,en,English,1,2,1.0,256,869420536,120,4,6ac7f82f2db0a1122f97d83335c8cb1a4ef91848b7c6d7b5488eeebb4e17d202,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a female world leader",Thatcher,stop,4de18610-b36b-403f-88d1-ffe770cc934e,68,2,70,0.9136868305504322,provider_api,0,1,False,False,64,,"{'id': '4de18610-b36b-403f-88d1-ffe770cc934e', 'choices': [{'finish_reason': 'stop', 'index': 0, 'logprobs': None, 'message': {'content': 'Thatcher', 'refusal': None, 'role': 'assistant', 'annotations': None, 'audio': None, 'function_call': None, 'tool_calls': None}}], 'created': 1775996706, 'model': 'deepseek-chat', 'object': 'chat.completion', 'service_tier': None, 'system_fingerprint': 'fp_eaab8d114b_prod0820_fp8_kvcache_new_kvcache_20260410', 'usage': {'completion_tokens': 2, 'prompt_tokens': 68, 'total_tokens': 70, 'completion_tokens_details': None, 'prompt_tokens_details': {'audio_tokens': None, 'cached_tokens': 64}, 'prompt_cache_hit_tokens': 64, 'prompt_cache_miss_tokens': 4}}",2026-04-12T12:25:09.240716+00:00,,Thatcher,Thatcher,thatcher,Thatcher,thatcher,,unmapped,margaretthatcher,margaretthatcher,66.66666666666667
deepseek,deepseek-chat,deepseek-chat,deepseek-chat,deepseek_openai_compat,study2_british_within,study2_item_12,Name a female world leader,说出一位女性世界领导人,en,English,1,4,1.0,256,336076160,120,4,a27d4a384915cd0ec0393b2605ad52783feab04499c8f1cd03e0045c78dd644d,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a female world leader",Thatcher,stop,62dc800e-452e-4b27-8ce6-b3c7c4da2862,68,2,70,0.9829958993941545,provider_api,0,1,False,False,64,,"{'id': '62dc800e-452e-4b27-8ce6-b3c7c4da2862', 'choices': [{'finish_reason': 'stop', 'index': 0, 'logprobs': None, 'message': {'content': 'Thatcher', 'refusal': None, 'role': 'assistant', 'annotations': None, 'audio': None, 'function_call': None, 'tool_calls': None}}], 'created': 1775996707, 'model': 'deepseek-chat', 'object': 'chat.completion', 'service_tier': None, 'system_fingerprint': 'fp_eaab8d114b_prod0820_fp8_kvcache_new_kvcache_20260410', 'usage': {'completion_tokens': 2, 'prompt_tokens': 68, 'total_tokens': 70, 'completion_tokens_details': None, 'prompt_tokens_details': {'audio_tokens': None, 'cached_tokens': 64}, 'prompt_cache_hit_tokens': 64, 'prompt_cache_miss_tokens': 4}}",2026-04-12T12:25:10.697802+00:00,,Thatcher,Thatcher,thatcher,Thatcher,thatcher,,unmapped,margaretthatcher,margaretthatcher,66.66666666666667
deepseek,deepseek-chat,deepseek-chat,deepseek-chat,deepseek_openai_compat,study2_british_within,study2_item_12,Name a female world leader,说出一位女性世界领导人,en,English,1,3,1.0,256,729012353,120,4,fb0189d29d6a6c87a196648aa5444ad93e9f6030a32b18ed5ca4fb1d34139ef3,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a female world leader",Thatcher,stop,b5d47963-f075-48f4-8444-2a7c5ab1bec1,68,2,70,1.4944457113742828,provider_api,0,1,False,False,64,,"{'id': 'b5d47963-f075-48f4-8444-2a7c5ab1bec1', 'choices': [{'finish_reason': 'stop', 'index': 0, 'logprobs': None, 'message': {'content': 'Thatcher', 'refusal': None, 'role': 'assistant', 'annotations': None, 'audio': None, 'function_call': None, 'tool_calls': None}}], 'created': 1775996707, 'model': 'deepseek-chat', 'object': 'chat.completion', 'service_tier': None, 'system_fingerprint': 'fp_eaab8d114b_prod0820_fp8_kvcache_new_kvcache_20260410', 'usage': {'completion_tokens': 2, 'prompt_tokens': 68, 'total_tokens': 70, 'completion_tokens_details': None, 'prompt_tokens_details': {'audio_tokens': None, 'cached_tokens': 64}, 'prompt_cache_hit_tokens': 64, 'prompt_cache_miss_tokens': 4}}",2026-04-12T12:25:10.827739+00:00,,Thatcher,Thatcher,thatcher,Thatcher,thatcher,,unmapped,margaretthatcher,margaretthatcher,66.66666666666667
deepseek,deepseek-chat,deepseek-chat,deepseek-chat,deepseek_openai_compat,study2_british_within,study2_item_12,Name a female world leader,说出一位女性世界领导人,en,English,1,5,1.0,256,150574438,120,4,86ab06a6deac857a1fbbfb49f8b3952fdbe31a1177b6f17ded8b027a6fc9e977,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a female world leader",Thatcher,stop,e4653e79-805f-42cb-a2db-bbea2161d409,68,2,70,1.3188921641558409,provider_api,0,1,False,False,64,,"{'id': 'e4653e79-805f-42cb-a2db-bbea2161d409', 'choices': [{'finish_reason': 'stop', 'index': 0, 'logprobs': None, 'message': {'content': 'Thatcher', 'refusal': None, 'role': 'assistant', 'annotations': None, 'audio': None, 'function_call': None, 'tool_calls': None}}], 'created': 1775996707, 'model': 'deepseek-chat', 'object': 'chat.completion', 'service_tier': None, 'system_fingerprint': 'fp_eaab8d114b_prod0820_fp8_kvcache_new_kvcache_20260410', 'usage': {'completion_tokens': 2, 'prompt_tokens': 68, 'total_tokens': 70, 'completion_tokens_details': None, 'prompt_tokens_details': {'audio_tokens': None, 'cached_tokens': 64}, 'prompt_cache_hit_tokens': 64, 'prompt_cache_miss_tokens': 4}}",2026-04-12T12:25:11.192504+00:00,,Thatcher,Thatcher,thatcher,Thatcher,thatcher,,unmapped,margaretthatcher,margaretthatcher,66.66666666666667
deepseek,deepseek-chat,deepseek-chat,deepseek-chat,deepseek_openai_compat,study2_british_within,study2_item_12,Name a female world leader,说出一位女性世界领导人,en,English,1,6,1.0,256,598462575,120,4,3c2d4166c15cb520f43840d81aac67e6637a5fa0d5d786dbc3ab17cb5b2f0ad3,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a female world leader",Thatcher,stop,38f2ccab-35a3-440d-8f8f-2523a7e15be3,68,2,70,1.327434878796339,provider_api,0,1,False,False,64,,"{'id': '38f2ccab-35a3-440d-8f8f-2523a7e15be3', 'choices': [{'finish_reason': 'stop', 'index': 0, 'logprobs': None, 'message': {'content': 'Thatcher', 'refusal': None, 'role': 'assistant', 'annotations': None, 'audio': None, 'function_call': None, 'tool_calls': None}}], 'created': 1775996709, 'model': 'deepseek-chat', 'object': 'chat.completion', 'service_tier': None, 'system_fingerprint': 'fp_eaab8d114b_prod0820_fp8_kvcache_new_kvcache_20260410', 'usage': {'completion_tokens': 2, 'prompt_tokens': 68, 'total_tokens': 70, 'completion_tokens_details': None, 'prompt_tokens_details': {'audio_tokens': None, 'cached_tokens': 64}, 'prompt_cache_hit_tokens': 64, 'prompt_cache_miss_tokens': 4}}",2026-04-12T12:25:12.569461+00:00,,Thatcher,Thatcher,thatcher,Thatcher,thatcher,,unmapped,margaretthatcher,margaretthatcher,66.66666666666667
deepseek,deepseek-chat,deepseek-chat,deepseek-chat,deepseek_openai_compat,study2_british_within,study2_item_12,Name a female world leader,说出一位女性世界领导人,en,English,1,7,1.0,256,245326284,120,4,dbe5f036ac8d6976241eea836da907472e9cb7d8e769686b47ddbed173bbe8e6,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a female world leader",Thatcher,stop,56b43ba6-0214-484f-8d97-d8b6bdef425c,68,2,70,1.1051650531589985,provider_api,0,1,False,False,64,,"{'id': '56b43ba6-0214-484f-8d97-d8b6bdef425c', 'choices': [{'finish_reason': 'stop', 'index': 0, 'logprobs': None, 'message': {'content': 'Thatcher', 'refusal': None, 'role': 'assistant', 'annotations': None, 'audio': None, 'function_call': None, 'tool_calls': None}}], 'created': 1775996710, 'model': 'deepseek-chat', 'object': 'chat.completion', 'service_tier': None, 'system_fingerprint': 'fp_eaab8d114b_prod0820_fp8_kvcache_new_kvcache_20260410', 'usage': {'completion_tokens': 2, 'prompt_tokens': 68, 'total_tokens': 70, 'completion_tokens_details': None, 'prompt_tokens_details': {'audio_tokens': None, 'cached_tokens': 64}, 'prompt_cache_hit_tokens': 64, 'prompt_cache_miss_tokens': 4}}",2026-04-12T12:25:13.812092+00:00,,Thatcher,Thatcher,thatcher,Thatcher,thatcher,,unmapped,margaretthatcher,margaretthatcher,66.66666666666667
deepseek,deepseek-chat,deepseek-chat,deepseek-chat,deepseek_openai_compat,study2_british_within,study2_item_12,Name a female world leader,说出一位女性世界领导人,en,English,1,8,1.0,256,128637535,120,4,0b1f7b812eba9f5cfcab1c4980c0e15eeb53bab850ebe26956cce0836d963bc3,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a female world leader",Thatcher,stop,b16d692b-b144-49a1-8e1e-531b60c2776b,68,2,70,1.5035813730210066,provider_api,0,1,False,False,64,,"{'id': 'b16d692b-b144-49a1-8e1e-531b60c2776b', 'choices': [{'finish_reason': 'stop', 'index': 0, 'logprobs': None, 'message': {'content': 'Thatcher', 'refusal': None, 'role': 'assistant', 'annotations': None, 'audio': None, 'function_call': None, 'tool_calls': None}}], 'created': 1775996710, 'model': 'deepseek-chat', 'object': 'chat.completion', 'service_tier': None, 'system_fingerprint': 'fp_eaab8d114b_prod0820_fp8_kvcache_new_kvcache_20260410', 'usage': {'completion_tokens': 2, 'prompt_tokens': 68, 'total_tokens': 70, 'completion_tokens_details': None, 'prompt_tokens_details': {'audio_tokens': None, 'cached_tokens': 64}, 'prompt_cache_hit_tokens': 64, 'prompt_cache_miss_tokens': 4}}",2026-04-12T12:25:14.332718+00:00,,Thatcher,Thatcher,thatcher,Thatcher,thatcher,,unmapped,margaretthatcher,margaretthatcher,66.66666666666667
deepseek,deepseek-chat,deepseek-chat,deepseek-chat,deepseek_openai_compat,study2_british_within,study2_item_12,Name a female world leader,说出一位女性世界领导人,en,English,1,9,1.0,256,63787072,120,4,1d5b85d64140c18e1653809c81a6b2ac5025e0dc72cc293f0f279cce75baad17,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a female world leader",Thatcher,stop,97c72394-74c5-4797-9ac4-4e369dec18ba,68,2,70,1.7770554516464472,provider_api,0,1,False,False,64,,"{'id': '97c72394-74c5-4797-9ac4-4e369dec18ba', 'choices': [{'finish_reason': 'stop', 'index': 0, 'logprobs': None, 'message': {'content': 'Thatcher', 'refusal': None, 'role': 'assistant', 'annotations': None, 'audio': None, 'function_call': None, 'tool_calls': None}}], 'created': 1775996711, 'model': 'deepseek-chat', 'object': 'chat.completion', 'service_tier': None, 'system_fingerprint': 'fp_eaab8d114b_prod0820_fp8_kvcache_new_kvcache_20260410', 'usage': {'completion_tokens': 2, 'prompt_tokens': 68, 'total_tokens': 70, 'completion_tokens_details': None, 'prompt_tokens_details': {'audio_tokens': None, 'cached_tokens': 64}, 'prompt_cache_hit_tokens': 64, 'prompt_cache_miss_tokens': 4}}",2026-04-12T12:25:14.971624+00:00,,Thatcher,Thatcher,thatcher,Thatcher,thatcher,,unmapped,margaretthatcher,margaretthatcher,66.66666666666667
