provider,model,requested_model,resolved_model,provider_backend,panel_id,item_id,item_text_en,item_text_zh,prompt_language,answer_language,round_index,sample_index,temperature,max_output_tokens,seed,provider_timeout_seconds,provider_concurrency,request_cache_key,system_prompt,user_prompt,response_text,finish_reason,request_id,prompt_tokens,completion_tokens,total_tokens,latency_seconds,response_source,retry_count,attempt_count,cache_hit,disk_cache_hit,provider_cached_tokens,error,raw_payload,generated_at_utc,response_validation_error,parsed_answer,response_clean,answer_key,coord_answer,coord_answer_key,canonical_answer,normalization_status,closest_human_answer_key,closest_human_canonical,closest_human_score
openai,glm-4-airx,glm-4-airx,glm-4-airx,openai_chat_completions_stream,study2_british_within,study2_item_01,Name a city,说出一座城市,en,English,1,13,1.0,256,969342950,120,100,62e95c6b9b6c10b58245e087ee192099c894ea0a69cdd7d8ec7a73228048e96d,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a city",London,stop,20260418004804affe428541df4dac,73,2,75,7.055148800020106,provider_api,0,1,False,False,,,"{'stream': True, 'event_count': 2, 'http_status': 200, 'usage': {'prompt_tokens': 73, 'completion_tokens': 2, 'total_tokens': 75}}",2026-04-17T16:48:04.764403+00:00,,London,London,london,London,london,** London,alias,london,london,100.0
openai,glm-4-airx,glm-4-airx,glm-4-airx,openai_chat_completions_stream,study2_british_within,study2_item_01,Name a city,说出一座城市,en,English,1,28,1.0,256,640589548,120,100,55ddabb690b6889901c7f07f9f3ce93d77ec728dabc31481cbe3768be3c4831b,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a city",London,stop,20260418004805f872474f0bde4a90,73,2,75,7.175388499977998,provider_api,0,1,False,False,,,"{'stream': True, 'event_count': 2, 'http_status': 200, 'usage': {'prompt_tokens': 73, 'completion_tokens': 2, 'total_tokens': 75}}",2026-04-17T16:48:04.905949+00:00,,London,London,london,London,london,** London,alias,london,london,100.0
openai,glm-4-airx,glm-4-airx,glm-4-airx,openai_chat_completions_stream,study2_british_within,study2_item_01,Name a city,说出一座城市,en,English,1,45,1.0,256,438321414,120,100,870e5fcc4ce4ad6ade4674370f08c09fae76a3dedefd7b6a0fa8406fba3d4e2e,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a city",London,stop,2026041800480562f32c1f558c4e68,73,2,75,7.2966927999514155,provider_api,0,1,False,False,,,"{'stream': True, 'event_count': 2, 'http_status': 200, 'usage': {'prompt_tokens': 73, 'completion_tokens': 2, 'total_tokens': 75}}",2026-04-17T16:48:05.538013+00:00,,London,London,london,London,london,** London,alias,london,london,100.0
openai,glm-4-airx,glm-4-airx,glm-4-airx,openai_chat_completions_stream,study2_british_within,study2_item_01,Name a city,说出一座城市,en,English,1,44,1.0,256,725566409,120,100,632ad59ec94228f47696494c04dd1ce6631929f8e5a3aefdeed93c5ca443388d,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a city",London,stop,20260418004805597f5222c593431c,73,2,75,7.72559619997628,provider_api,0,1,False,False,,,"{'stream': True, 'event_count': 2, 'http_status': 200, 'usage': {'prompt_tokens': 73, 'completion_tokens': 2, 'total_tokens': 75}}",2026-04-17T16:48:05.545048+00:00,,London,London,london,London,london,** London,alias,london,london,100.0
openai,glm-4-airx,glm-4-airx,glm-4-airx,openai_chat_completions_stream,study2_british_within,study2_item_01,Name a city,说出一座城市,en,English,1,6,1.0,256,557022987,120,100,8457bf68d4d25be60be6682797a86111ba5c9e0241a2e2a56cb2acde1e35eff3,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a city",London,stop,202604180048050d0d0b4e13ee43ec,73,2,75,7.84594329999527,provider_api,0,1,False,False,,,"{'stream': True, 'event_count': 2, 'http_status': 200, 'usage': {'prompt_tokens': 73, 'completion_tokens': 2, 'total_tokens': 75}}",2026-04-17T16:48:05.546215+00:00,,London,London,london,London,london,** London,alias,london,london,100.0
openai,glm-4-airx,glm-4-airx,glm-4-airx,openai_chat_completions_stream,study2_british_within,study2_item_01,Name a city,说出一座城市,en,English,1,29,1.0,256,785480442,120,100,907d4b81dc3937d585fd4f2c6d062a1135db11c4f78f927eec5c8aea059c5746,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a city",London,stop,20260418004805dd9ccd245d0a4e0c,73,2,75,7.649548600020353,provider_api,0,1,False,False,,,"{'stream': True, 'event_count': 2, 'http_status': 200, 'usage': {'prompt_tokens': 73, 'completion_tokens': 2, 'total_tokens': 75}}",2026-04-17T16:48:05.558460+00:00,,London,London,london,London,london,** London,alias,london,london,100.0
openai,glm-4-airx,glm-4-airx,glm-4-airx,openai_chat_completions_stream,study2_british_within,study2_item_01,Name a city,说出一座城市,en,English,1,0,1.0,256,447924741,120,100,65d47af1c3db6b747649c07c1907bfe7dcaac3f92b5121a397c0768f62c39fe9,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a city",London,stop,20260418004805ebd635afb64a452c,73,2,75,8.233251199999359,provider_api,0,1,False,False,,,"{'stream': True, 'event_count': 2, 'http_status': 200, 'usage': {'prompt_tokens': 73, 'completion_tokens': 2, 'total_tokens': 75}}",2026-04-17T16:48:05.931675+00:00,,London,London,london,London,london,** London,alias,london,london,100.0
openai,glm-4-airx,glm-4-airx,glm-4-airx,openai_chat_completions_stream,study2_british_within,study2_item_01,Name a city,说出一座城市,en,English,1,36,1.0,256,459638538,120,100,2c3c7999505b29e8cf90e0670707b8c72c596c8bf703dbbf4c63d28c2e76da1a,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a city",London,stop,20260418004806edeafc67a1c24662,73,2,75,8.171119200007524,provider_api,0,1,False,False,,,"{'stream': True, 'event_count': 2, 'http_status': 200, 'usage': {'prompt_tokens': 73, 'completion_tokens': 2, 'total_tokens': 75}}",2026-04-17T16:48:05.943672+00:00,,London,London,london,London,london,** London,alias,london,london,100.0
openai,glm-4-airx,glm-4-airx,glm-4-airx,openai_chat_completions_stream,study2_british_within,study2_item_01,Name a city,说出一座城市,en,English,1,27,1.0,256,425328908,120,100,770b1c8d85f463a1d66a24d4b3b38d038e4d129c1c579076cca248071d87a6f7,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a city",London,stop,20260418004805f727da44edf14c6c,73,2,75,8.216668299981393,provider_api,0,1,False,False,,,"{'stream': True, 'event_count': 2, 'http_status': 200, 'usage': {'prompt_tokens': 73, 'completion_tokens': 2, 'total_tokens': 75}}",2026-04-17T16:48:05.944876+00:00,,London,London,london,London,london,** London,alias,london,london,100.0
openai,glm-4-airx,glm-4-airx,glm-4-airx,openai_chat_completions_stream,study2_british_within,study2_item_01,Name a city,说出一座城市,en,English,1,11,1.0,256,996679607,120,100,0cc3431f003b0dd1b64e4b776ece4db6edd1f70faf60f4e3a904c65d1d9af8b9,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a city",London,stop,20260418004805dd6a2de8b6ae4351,73,2,75,8.034021899977233,provider_api,0,1,False,False,,,"{'stream': True, 'event_count': 2, 'http_status': 200, 'usage': {'prompt_tokens': 73, 'completion_tokens': 2, 'total_tokens': 75}}",2026-04-17T16:48:05.954996+00:00,,London,London,london,London,london,** London,alias,london,london,100.0
openai,glm-4-airx,glm-4-airx,glm-4-airx,openai_chat_completions_stream,study2_british_within,study2_item_02,Name a sport player (any sport),说出一位运动员（任何运动项目）,en,English,1,11,1.0,256,619642177,120,100,5f7050e579938ce387658649fb81a4d5ae42cb4c8164d282c8ec8342bf541b3a,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a sport player (any sport)",Beckham,stop,20260418004805c2cdbcc4ad464224,78,4,82,7.495735100004822,provider_api,0,1,False,False,,,"{'stream': True, 'event_count': 4, 'http_status': 200, 'usage': {'prompt_tokens': 78, 'completion_tokens': 4, 'total_tokens': 82}}",2026-04-17T16:48:05.982160+00:00,,Beckham,Beckham,beckham,Beckham,beckham,,unmapped,davidbeckham,davidbeckham,73.6842105263158
openai,glm-4-airx,glm-4-airx,glm-4-airx,openai_chat_completions_stream,study2_british_within,study2_item_01,Name a city,说出一座城市,en,English,1,2,1.0,256,122014301,120,100,f658ca197a8a2cdd098f7e485f33735eab05dfcfae0cfc30f1e167e62c3c7dfb,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a city",London,stop,20260418004806b2169626500e461b,73,2,75,8.798290300008375,provider_api,0,1,False,False,,,"{'stream': True, 'event_count': 2, 'http_status': 200, 'usage': {'prompt_tokens': 73, 'completion_tokens': 2, 'total_tokens': 75}}",2026-04-17T16:48:06.517643+00:00,,London,London,london,London,london,** London,alias,london,london,100.0
openai,glm-4-airx,glm-4-airx,glm-4-airx,openai_chat_completions_stream,study2_british_within,study2_item_01,Name a city,说出一座城市,en,English,1,19,1.0,256,542532034,120,100,026556a3dcf73f40589d7b356d338518a1c121ae3a2bac487665e2a37f158a35,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a city",London,stop,202604180048066e42f217cad44417,73,2,75,8.784017400001176,provider_api,0,1,False,False,,,"{'stream': True, 'event_count': 2, 'http_status': 200, 'usage': {'prompt_tokens': 73, 'completion_tokens': 2, 'total_tokens': 75}}",2026-04-17T16:48:06.518905+00:00,,London,London,london,London,london,** London,alias,london,london,100.0
