provider,model,requested_model,resolved_model,provider_backend,panel_id,item_id,item_text_en,item_text_zh,prompt_language,answer_language,round_index,sample_index,temperature,max_output_tokens,seed,provider_timeout_seconds,provider_concurrency,request_cache_key,system_prompt,user_prompt,response_text,finish_reason,request_id,prompt_tokens,completion_tokens,total_tokens,latency_seconds,response_source,retry_count,attempt_count,cache_hit,disk_cache_hit,provider_cached_tokens,error,raw_payload,generated_at_utc,response_validation_error,parsed_answer,response_clean,answer_key,coord_answer,coord_answer_key,canonical_answer,normalization_status,closest_human_answer_key,closest_human_canonical,closest_human_score
openai,mimo-v2-pro,mimo-v2-pro,mimo-v2-pro,openai_chat_completions_stream,study2_british_within,study2_item_01,Name a city,说出一座城市,en,English,1,4,1.0,256,108335152,120,20,56976de261071f2a05eb22ad05cb9567e4e1e56c64637b7d7887e5ecfda7c1fe,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a city",London,stop,msg_e9625e5f4f824f26896a2b71,1429,49,1478,4.501816300034989,provider_api,0,1,False,False,0,,"{'stream': True, 'requested_stream': True, 'event_count': 25, 'http_status': 200, 'usage': {'prompt_tokens': 1429, 'completion_tokens': 49, 'total_tokens': 1478, 'prompt_tokens_details': {'cached_tokens': 0, 'text_tokens': 0, 'audio_tokens': 0, 'image_tokens': 0}, 'completion_tokens_details': {'text_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 0}, 'input_tokens': 0, 'output_tokens': 0, 'input_tokens_details': None, 'claude_cache_creation_5_m_tokens': 0, 'claude_cache_creation_1_h_tokens': 0}}",2026-04-17T18:00:07.481259+00:00,,London,London,london,London,london,** London,alias,london,london,100.0
openai,mimo-v2-pro,mimo-v2-pro,mimo-v2-pro,openai_chat_completions_stream,study2_british_within,study2_item_01,Name a city,说出一座城市,en,English,1,13,1.0,256,969342950,120,20,66d640336b60a89e432b796da6d29a08c5bb420d3a9b1d469db586e691e999e1,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a city",London,stop,msg_855b1688016442958b818755,1429,56,1485,3.99812279996695,provider_api,0,1,False,False,0,,"{'stream': True, 'requested_stream': True, 'event_count': 31, 'http_status': 200, 'usage': {'prompt_tokens': 1429, 'completion_tokens': 56, 'total_tokens': 1485, 'prompt_tokens_details': {'cached_tokens': 0, 'text_tokens': 0, 'audio_tokens': 0, 'image_tokens': 0}, 'completion_tokens_details': {'text_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 0}, 'input_tokens': 0, 'output_tokens': 0, 'input_tokens_details': None, 'claude_cache_creation_5_m_tokens': 0, 'claude_cache_creation_1_h_tokens': 0}}",2026-04-17T18:00:07.499646+00:00,,London,London,london,London,london,** London,alias,london,london,100.0
openai,mimo-v2-pro,mimo-v2-pro,mimo-v2-pro,openai_chat_completions_stream,study2_british_within,study2_item_01,Name a city,说出一座城市,en,English,1,12,1.0,256,4376691,120,20,346eb3d75e3a6499ad3e2ce28ea98be78d68aa677740da0ca0c83a6a4e007be5,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a city",London,stop,msg_5a173152c4914706987da83f,1429,6,1435,4.904664599976968,provider_api,0,1,False,False,0,,"{'stream': True, 'requested_stream': True, 'event_count': 8, 'http_status': 200, 'usage': {'prompt_tokens': 1429, 'completion_tokens': 6, 'total_tokens': 1435, 'prompt_tokens_details': {'cached_tokens': 0, 'text_tokens': 0, 'audio_tokens': 0, 'image_tokens': 0}, 'completion_tokens_details': {'text_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 0}, 'input_tokens': 0, 'output_tokens': 0, 'input_tokens_details': None, 'claude_cache_creation_5_m_tokens': 0, 'claude_cache_creation_1_h_tokens': 0}}",2026-04-17T18:00:07.549351+00:00,,London,London,london,London,london,** London,alias,london,london,100.0
openai,mimo-v2-pro,mimo-v2-pro,mimo-v2-pro,openai_chat_completions_stream,study2_british_within,study2_item_01,Name a city,说出一座城市,en,English,1,5,1.0,256,189450029,120,20,a0498a758d09f1d1510396e9abc329e67678fe3657891a3a94050f9fd534ee3f,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a city",London,stop,msg_e0ddcc9ffc3b4ec2951429ed,1429,36,1465,4.606668699998409,provider_api,0,1,False,False,0,,"{'stream': True, 'requested_stream': True, 'event_count': 20, 'http_status': 200, 'usage': {'prompt_tokens': 1429, 'completion_tokens': 36, 'total_tokens': 1465, 'prompt_tokens_details': {'cached_tokens': 0, 'text_tokens': 0, 'audio_tokens': 0, 'image_tokens': 0}, 'completion_tokens_details': {'text_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 0}, 'input_tokens': 0, 'output_tokens': 0, 'input_tokens_details': None, 'claude_cache_creation_5_m_tokens': 0, 'claude_cache_creation_1_h_tokens': 0}}",2026-04-17T18:00:08.093152+00:00,,London,London,london,London,london,** London,alias,london,london,100.0
openai,mimo-v2-pro,mimo-v2-pro,mimo-v2-pro,openai_chat_completions_stream,study2_british_within,study2_item_01,Name a city,说出一座城市,en,English,1,8,1.0,256,229017835,120,20,e68bdfe7d918224a7be6d081e3a7852109d5d49b860915e48a8e4bb6be56650d,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a city",London,stop,msg_605907266fff45d5a75387c1,1429,36,1465,5.271814500039909,provider_api,0,1,False,False,0,,"{'stream': True, 'requested_stream': True, 'event_count': 20, 'http_status': 200, 'usage': {'prompt_tokens': 1429, 'completion_tokens': 36, 'total_tokens': 1465, 'prompt_tokens_details': {'cached_tokens': 0, 'text_tokens': 0, 'audio_tokens': 0, 'image_tokens': 0}, 'completion_tokens_details': {'text_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 0}, 'input_tokens': 0, 'output_tokens': 0, 'input_tokens_details': None, 'claude_cache_creation_5_m_tokens': 0, 'claude_cache_creation_1_h_tokens': 0}}",2026-04-17T18:00:08.332836+00:00,,London,London,london,London,london,** London,alias,london,london,100.0
openai,mimo-v2-pro,mimo-v2-pro,mimo-v2-pro,openai_chat_completions_stream,study2_british_within,study2_item_01,Name a city,说出一座城市,en,English,1,9,1.0,256,648768784,120,20,63e9e9cfeeefbe58230269b8bf200e6c266bbaf78afe830e667587ba5f598ff4,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a city",London,stop,msg_9f26d8bc91464397a608f963,21,58,79,5.1309770999941975,provider_api,0,1,False,False,1408,,"{'stream': True, 'requested_stream': True, 'event_count': 32, 'http_status': 200, 'usage': {'prompt_tokens': 21, 'completion_tokens': 58, 'total_tokens': 79, 'prompt_tokens_details': {'cached_tokens': 1408, 'text_tokens': 0, 'audio_tokens': 0, 'image_tokens': 0}, 'completion_tokens_details': {'text_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 0}, 'input_tokens': 0, 'output_tokens': 0, 'input_tokens_details': None, 'claude_cache_creation_5_m_tokens': 0, 'claude_cache_creation_1_h_tokens': 0}}",2026-04-17T18:00:09.543570+00:00,,London,London,london,London,london,** London,alias,london,london,100.0
openai,mimo-v2-pro,mimo-v2-pro,mimo-v2-pro,openai_chat_completions_stream,study2_british_within,study2_item_01,Name a city,说出一座城市,en,English,1,6,1.0,256,557022987,120,20,a828afd6f2a25f6fd8ee673967ca1f9ecd2ef6b14acc0980cd5b32a1701694e0,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a city",London,stop,msg_179aee5c1af247b6ac20b484,21,58,79,8.363413600018248,provider_api,0,1,False,False,1408,,"{'stream': True, 'requested_stream': True, 'event_count': 27, 'http_status': 200, 'usage': {'prompt_tokens': 21, 'completion_tokens': 58, 'total_tokens': 79, 'prompt_tokens_details': {'cached_tokens': 1408, 'text_tokens': 0, 'audio_tokens': 0, 'image_tokens': 0}, 'completion_tokens_details': {'text_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 0}, 'input_tokens': 0, 'output_tokens': 0, 'input_tokens_details': None, 'claude_cache_creation_5_m_tokens': 0, 'claude_cache_creation_1_h_tokens': 0}}",2026-04-17T18:00:11.618876+00:00,,London,London,london,London,london,** London,alias,london,london,100.0
openai,mimo-v2-pro,mimo-v2-pro,mimo-v2-pro,openai_chat_completions_stream,study2_british_within,study2_item_01,Name a city,说出一座城市,en,English,1,7,1.0,256,651778595,120,20,833339b231296fc497302a5d614a1ccca426377da3b78a914c81d34d347cea87,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a city",London,stop,msg_475a35d9e6934ba4a6be1485,21,5,26,9.22675979998894,provider_api,0,1,False,False,1408,,"{'stream': True, 'requested_stream': True, 'event_count': 7, 'http_status': 200, 'usage': {'prompt_tokens': 21, 'completion_tokens': 5, 'total_tokens': 26, 'prompt_tokens_details': {'cached_tokens': 1408, 'text_tokens': 0, 'audio_tokens': 0, 'image_tokens': 0}, 'completion_tokens_details': {'text_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 0}, 'input_tokens': 0, 'output_tokens': 0, 'input_tokens_details': None, 'claude_cache_creation_5_m_tokens': 0, 'claude_cache_creation_1_h_tokens': 0}}",2026-04-17T18:00:11.946043+00:00,,London,London,london,London,london,** London,alias,london,london,100.0
openai,mimo-v2-pro,mimo-v2-pro,mimo-v2-pro,openai_chat_completions_stream,study2_british_within,study2_item_01,Name a city,说出一座城市,en,English,1,1,1.0,256,293911609,120,20,ca4817b87cbfa1d6c92deb6d1185663db4b43e7cd2a7e5e6d550719001367afd,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a city",London,stop,msg_23b426ca559540d08ceb667f,21,63,84,5.663560600019991,provider_api,1,2,False,False,1408,,"{'stream': True, 'requested_stream': True, 'event_count': 34, 'http_status': 200, 'usage': {'prompt_tokens': 21, 'completion_tokens': 63, 'total_tokens': 84, 'prompt_tokens_details': {'cached_tokens': 1408, 'text_tokens': 0, 'audio_tokens': 0, 'image_tokens': 0}, 'completion_tokens_details': {'text_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 0}, 'input_tokens': 0, 'output_tokens': 0, 'input_tokens_details': None, 'claude_cache_creation_5_m_tokens': 0, 'claude_cache_creation_1_h_tokens': 0}}",2026-04-17T18:00:16.481818+00:00,,London,London,london,London,london,** London,alias,london,london,100.0
openai,mimo-v2-pro,mimo-v2-pro,mimo-v2-pro,openai_chat_completions_stream,study2_british_within,study2_item_01,Name a city,说出一座城市,en,English,1,27,1.0,256,425328908,120,20,f469cab18472e763fe49aca29e45ef5c357b9679e53c58ce3892ad09722b928c,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a city",London,stop,msg_0b12658d323244a2aaa51b64,21,43,64,2.918520799954422,provider_api,0,1,False,False,1408,,"{'stream': True, 'requested_stream': True, 'event_count': 25, 'http_status': 200, 'usage': {'prompt_tokens': 21, 'completion_tokens': 43, 'total_tokens': 64, 'prompt_tokens_details': {'cached_tokens': 1408, 'text_tokens': 0, 'audio_tokens': 0, 'image_tokens': 0}, 'completion_tokens_details': {'text_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 0}, 'input_tokens': 0, 'output_tokens': 0, 'input_tokens_details': None, 'claude_cache_creation_5_m_tokens': 0, 'claude_cache_creation_1_h_tokens': 0}}",2026-04-17T18:00:18.023448+00:00,,London,London,london,London,london,** London,alias,london,london,100.0
