metric_family,provider,model,round_index,panel_id,item_id,item_number,human_top1_probability,consensus_bucket,prompt_language,jsd,tvd,top1_match,flip_rate,spearman,successful_samples,expected_samples,completion_rate,en_successful_samples,zh_successful_samples
cross_lingual,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_01,1,0.9,high,en_vs_zh,0.0,0.0,1,0.0,,49,50,0.98,49.0,49.0
cross_lingual,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_02,2,0.3,low,en_vs_zh,0.17368078776362142,0.4041666666666667,1,0.0,0.39999999999999997,40,50,0.8,40.0,48.0
cross_lingual,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_03,3,0.36,medium,en_vs_zh,0.1546393847343604,0.44731707317073166,0,1.0,0.5,41,50,0.82,50.0,41.0
cross_lingual,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_04,4,0.24,low,en_vs_zh,0.16821239380643582,0.3518189884649512,1,0.0,0.6842105263157895,46,50,0.92,49.0,46.0
cross_lingual,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_05,5,0.64,medium,en_vs_zh,0.003743801666953444,0.05885144755576649,1,0.0,1.0,43,50,0.86,49.0,43.0
cross_lingual,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_06,6,0.44,medium,en_vs_zh,0.0,0.0,1,0.0,,49,50,0.98,50.0,49.0
cross_lingual,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_07,7,0.28,low,en_vs_zh,0.020294448000613266,0.04000000000000002,1,0.0,1.0,50,50,1.0,50.0,50.0
cross_lingual,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_08,8,0.33,low,en_vs_zh,0.0,0.0,1,0.0,,49,50,0.98,50.0,49.0
cross_lingual,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_09,9,0.48,medium,en_vs_zh,0.10044863038446152,0.15555555555555553,1,0.0,0.316227766016838,45,50,0.9,50.0,45.0
cross_lingual,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_10,10,0.92,high,en_vs_zh,0.0,0.0,1,0.0,,49,50,0.98,49.0,49.0
cross_lingual,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_11,11,0.56,medium,en_vs_zh,0.49768066742656003,0.7725340136054422,0,1.0,0.7378647873726218,48,50,0.96,49.0,48.0
cross_lingual,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_12,12,0.3,low,en_vs_zh,0.23268732072374454,0.4283333333333333,0,1.0,0.5161002296110789,48,50,0.96,48.0,50.0
cross_lingual,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_13,13,0.83,high,en_vs_zh,0.0,0.0,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_14,14,0.74,high,en_vs_zh,0.0,0.0,1,0.0,,42,50,0.84,42.0,50.0
cross_lingual,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_15,15,0.88,high,en_vs_zh,0.0,0.0,1,0.0,,47,50,0.94,47.0,50.0
human_alignment,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_01,1,0.9,high,en,1.0,1.0,0,,-0.6425294053171791,49,50,0.98,,
human_alignment,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_01,1,0.9,high,zh,1.0,1.0,0,,-0.6425294053171791,49,50,0.98,,
human_alignment,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_02,2,0.3,low,en,0.8066759787270552,0.84,0,,0.0029742173816731964,40,50,0.8,,
human_alignment,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_02,2,0.3,low,zh,0.8320875786988498,0.9091666666666667,0,,-0.01903499124270846,48,50,0.96,,
human_alignment,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_03,3,0.36,medium,en,0.581551286371894,0.73,0,,-0.20190188714179472,50,50,1.0,,
human_alignment,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_03,3,0.36,medium,zh,0.7189884247086091,0.73,0,,-0.07887230067250989,41,50,0.82,,
human_alignment,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_04,4,0.24,low,en,0.890296349360325,0.9387755102040817,0,,-0.34959280921698843,49,50,0.98,,
human_alignment,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_04,4,0.24,low,zh,0.6151669464803923,0.64,0,,0.11778934543905793,46,50,0.92,,
human_alignment,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_05,5,0.64,medium,en,0.623481046574486,0.7551020408163266,0,,-0.25177653824604507,49,50,0.98,,
human_alignment,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_05,5,0.64,medium,zh,0.6821395813353927,0.813953488372093,0,,-0.25177653824604507,43,50,0.86,,
human_alignment,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_06,6,0.44,medium,en,1.0,1.0,0,,-0.40547849682554116,50,50,1.0,,
human_alignment,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_06,6,0.44,medium,zh,1.0,1.0,0,,-0.40547849682554116,49,50,0.98,,
human_alignment,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_07,7,0.28,low,en,1.0,1.0,0,,-0.3382950893557894,50,50,1.0,,
human_alignment,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_07,7,0.28,low,zh,0.928373685599405,0.96,0,,0.10782399178543323,50,50,1.0,,
human_alignment,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_08,8,0.33,low,en,1.0,1.0,0,,-0.34523522258958245,50,50,1.0,,
human_alignment,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_08,8,0.33,low,zh,1.0,1.0,0,,-0.34523522258958245,49,50,0.98,,
human_alignment,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_09,9,0.48,medium,en,0.836571374588941,0.92,0,,0.13537903463780496,50,50,1.0,,
human_alignment,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_09,9,0.48,medium,zh,0.3858446839369697,0.51,1,,-0.19954394920091492,45,50,0.9,,
human_alignment,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_10,10,0.92,high,en,1.0,1.0,0,,-0.6354889093022424,49,50,0.98,,
human_alignment,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_10,10,0.92,high,zh,1.0,1.0,0,,-0.6354889093022424,49,50,0.98,,
human_alignment,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_11,11,0.56,medium,en,0.877696238248365,0.9183673469387755,0,,-0.09166984970282112,49,50,0.98,,
human_alignment,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_11,11,0.56,medium,zh,0.6199730883962732,0.78,0,,-0.1404437182594853,48,50,0.96,,
human_alignment,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_12,12,0.3,low,en,0.7603669404084705,0.8,0,,-0.2007548966132342,48,50,0.96,,
human_alignment,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_12,12,0.3,low,zh,0.5632874204606813,0.69,0,,0.25915125754079954,50,50,1.0,,
human_alignment,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_13,13,0.83,high,en,1.0,1.0,0,,-0.7071067811865475,50,50,1.0,,
human_alignment,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_13,13,0.83,high,zh,0.9316502161504505,0.98,0,,-0.22360679774997894,50,50,1.0,,
human_alignment,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_14,14,0.74,high,en,1.0,1.0,0,,-0.5388159060803247,42,50,0.84,,
human_alignment,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_14,14,0.74,high,zh,1.0,1.0,0,,-0.5388159060803247,50,50,1.0,,
human_alignment,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_15,15,0.88,high,en,0.062764486510794,0.12,1,,0.7905694150420948,47,50,0.94,,
human_alignment,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_15,15,0.88,high,zh,0.062764486510794,0.12,1,,0.7905694150420948,50,50,1.0,,
