item_id,prompt_language,n_4o,n_54,top1_4o,top1_54,top1_match,jsd,tvd
study2_item_01,en,50,50,london,london,True,0.0,0.0
study2_item_01,zh,50,50,london,london,True,0.0,0.0
study2_item_02,en,50,50,harrykane,davidbeckham,False,0.41415244726470696,0.62
study2_item_02,zh,50,50,davidbeckham,davidbeckham,True,0.01007286462500085,0.02000000000000001
study2_item_03,en,50,50,rishisunak,donaldtrump,False,1.0,1.0
study2_item_03,zh,50,50,winstonchurchill,donaldtrump,False,0.9406557062070925,0.98
study2_item_04,en,50,50,bigben,house,False,0.9999999999999998,1.0
study2_item_04,zh,50,50,bigben,bigben,True,0.04000000000000001,0.04
study2_item_05,en,50,50,snowdon,mounteverest,False,0.9999999999999998,1.0
study2_item_05,zh,50,50,snowdon,mounteverest,False,0.8658537981980635,0.94
study2_item_06,en,50,50,fishandchips,fishandchips,True,0.0,0.0
study2_item_06,zh,50,50,fishandchips,fishandchips,True,0.0,0.0
study2_item_07,en,50,50,bigben,bigben,True,0.0,0.0
study2_item_07,zh,50,50,bigben,bigben,True,0.0,0.0
study2_item_08,en,50,50,edsheeran,eltonjohn,False,0.9289911704818995,0.98
study2_item_08,zh,50,50,edsheeran,edsheeran,True,0.01007286462500085,0.02000000000000001
study2_item_09,en,50,50,prideandprejudice,harrypotter,False,0.8336791289905017,0.94
study2_item_09,zh,50,50,prideandprejudice,harrypotterandthephilosophersstone,False,0.9289911704818995,0.98
study2_item_10,en,50,50,bbc,bbc,True,0.0,0.0
study2_item_10,zh,50,50,bbc,bbc,True,0.0,0.0
study2_item_11,en,50,50,london,paris,False,0.8336791289905012,0.94
study2_item_11,zh,50,50,london,london,True,0.0,0.0
study2_item_12,en,50,50,margaretthatcher,margaretthatcher,True,0.11983220668354522,0.22
study2_item_12,zh,50,50,margaretthatcher,margaretthatcher,True,0.11202732429547489,0.15999999999999998
study2_item_13,en,50,50,pound,poundsterling,False,0.41415244726470696,0.62
study2_item_13,zh,50,50,poundsterling,poundsterling,True,0.06276448651079408,0.12
study2_item_14,en,50,50,rose,rose,True,0.0,0.0
study2_item_14,zh,50,50,rose,rose,True,0.0,0.0
study2_item_15,en,50,50,football,football,True,0.0,0.0
study2_item_15,zh,50,50,football,football,True,0.0,0.0
