provider,model,requested_model,resolved_model,provider_backend,panel_id,item_id,item_text_en,item_text_zh,prompt_language,answer_language,round_index,sample_index,temperature,max_output_tokens,seed,provider_timeout_seconds,provider_concurrency,request_cache_key,system_prompt,user_prompt,response_text,finish_reason,request_id,prompt_tokens,completion_tokens,total_tokens,latency_seconds,response_source,retry_count,attempt_count,cache_hit,disk_cache_hit,provider_cached_tokens,error,raw_payload,generated_at_utc,response_validation_error,parsed_answer,response_clean,answer_key,coord_answer,coord_answer_key,canonical_answer,normalization_status,closest_human_answer_key,closest_human_canonical,closest_human_score
openai,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,openai_chat_completions_stream,study2_british_within,study2_item_01,Name a city,说出一座城市,en,English,1,0,1.0,256,447924741,120,1,b2c85b6bc400fb0c1eb73401858a8235ebec66e5360e23fef707a8619d09c8aa,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a city",London,stop,msg_50131a1d-217f-4d64-81b3-206d60be9417,79,298,377,1.6871337000002313,provider_api,0,1,False,False,0,,"{'stream': True, 'event_count': 95, 'http_status': 200, 'usage': {'prompt_tokens': 79, 'completion_tokens': 298, 'total_tokens': 377, 'prompt_tokens_details': {'cached_tokens': 0, 'text_tokens': 0, 'audio_tokens': 0, 'image_tokens': 0}, 'completion_tokens_details': {'text_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 0}, 'input_tokens': 0, 'output_tokens': 0, 'input_tokens_details': None, 'claude_cache_creation_5_m_tokens': 0, 'claude_cache_creation_1_h_tokens': 0}}",2026-04-13T18:29:08.699847+00:00,,London,London,london,London,london,** London,alias,london,london,100.0
openai,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,openai_chat_completions_stream,study2_british_within,study2_item_01,Name a city,说出一座城市,en,English,1,1,1.0,256,293911609,120,1,313b882559a64f997f5162b75b0b8f78ea1a9f894b1faf51c28d83bdcc5e248b,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a city",London,stop,msg_2bab8a13-abf0-4bd6-a081-9367b1c15da2,79,434,513,1.3963568999997733,provider_api,0,1,False,False,0,,"{'stream': True, 'event_count': 137, 'http_status': 200, 'usage': {'prompt_tokens': 79, 'completion_tokens': 434, 'total_tokens': 513, 'prompt_tokens_details': {'cached_tokens': 0, 'text_tokens': 0, 'audio_tokens': 0, 'image_tokens': 0}, 'completion_tokens_details': {'text_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 0}, 'input_tokens': 0, 'output_tokens': 0, 'input_tokens_details': None, 'claude_cache_creation_5_m_tokens': 0, 'claude_cache_creation_1_h_tokens': 0}}",2026-04-13T18:29:19.888606+00:00,,London,London,london,London,london,** London,alias,london,london,100.0
openai,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,openai_chat_completions_stream,study2_british_within,study2_item_01,Name a city,说出一座城市,en,English,1,2,1.0,256,122014301,120,1,59c07aab3b8e581e21f8f590193be4e5d7629a8266e50291122fb154368acb09,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a city",London,stop,msg_12b0940a-0766-43aa-aec6-658d65e2ca61,79,511,590,1.5436712999999145,provider_api,0,1,False,False,0,,"{'stream': True, 'event_count': 158, 'http_status': 200, 'usage': {'prompt_tokens': 79, 'completion_tokens': 511, 'total_tokens': 590, 'prompt_tokens_details': {'cached_tokens': 0, 'text_tokens': 0, 'audio_tokens': 0, 'image_tokens': 0}, 'completion_tokens_details': {'text_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 0}, 'input_tokens': 0, 'output_tokens': 0, 'input_tokens_details': None, 'claude_cache_creation_5_m_tokens': 0, 'claude_cache_creation_1_h_tokens': 0}}",2026-04-13T18:29:32.746625+00:00,,London,London,london,London,london,** London,alias,london,london,100.0
openai,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,openai_chat_completions_stream,study2_british_within,study2_item_01,Name a city,说出一座城市,en,English,1,3,1.0,256,673359281,120,1,45a6c4c21618743b5c0506a98d29fa254a6fdfbf028da759403384fea521057a,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a city",London,stop,msg_779815e5-7539-491d-a23f-3b4ddacd332f,79,400,479,1.5274248999994597,provider_api,0,1,False,False,0,,"{'stream': True, 'event_count': 129, 'http_status': 200, 'usage': {'prompt_tokens': 79, 'completion_tokens': 400, 'total_tokens': 479, 'prompt_tokens_details': {'cached_tokens': 0, 'text_tokens': 0, 'audio_tokens': 0, 'image_tokens': 0}, 'completion_tokens_details': {'text_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 0}, 'input_tokens': 0, 'output_tokens': 0, 'input_tokens_details': None, 'claude_cache_creation_5_m_tokens': 0, 'claude_cache_creation_1_h_tokens': 0}}",2026-04-13T18:29:43.609870+00:00,,London,London,london,London,london,** London,alias,london,london,100.0
openai,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,openai_chat_completions_stream,study2_british_within,study2_item_01,Name a city,说出一座城市,en,English,1,4,1.0,256,108335152,120,1,ab9cfc36d281184a120c927082e5fb99758116e29355847dcf5952ce291427ff,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a city",London,stop,chatcmpl-db6cf4c2-4b66-9d60-b55f-fbc53d3a63ca,79,526,605,2.1693467999994027,provider_api,0,1,False,False,0,,"{'stream': True, 'event_count': 167, 'http_status': 200, 'usage': {'prompt_tokens': 79, 'completion_tokens': 526, 'total_tokens': 605, 'prompt_tokens_details': {'cached_tokens': 0, 'text_tokens': 0, 'audio_tokens': 0, 'image_tokens': 0}, 'completion_tokens_details': {'text_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 0}, 'input_tokens': 0, 'output_tokens': 0, 'input_tokens_details': None, 'claude_cache_creation_5_m_tokens': 0, 'claude_cache_creation_1_h_tokens': 0}}",2026-04-13T18:29:57.931525+00:00,,London,London,london,London,london,** London,alias,london,london,100.0
openai,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,openai_chat_completions_stream,study2_british_within,study2_item_01,Name a city,说出一座城市,en,English,1,5,1.0,256,189450029,120,1,e34e34680501fd82c6b0fe2012d3fc8a734ac8e496a3798180d70c2b2bc54a3d,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a city",London,stop,msg_b85e8e24-f073-473e-9619-5bcf21829dd6,79,446,525,1.724528100000498,provider_api,0,1,False,False,0,,"{'stream': True, 'event_count': 140, 'http_status': 200, 'usage': {'prompt_tokens': 79, 'completion_tokens': 446, 'total_tokens': 525, 'prompt_tokens_details': {'cached_tokens': 0, 'text_tokens': 0, 'audio_tokens': 0, 'image_tokens': 0}, 'completion_tokens_details': {'text_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 0}, 'input_tokens': 0, 'output_tokens': 0, 'input_tokens_details': None, 'claude_cache_creation_5_m_tokens': 0, 'claude_cache_creation_1_h_tokens': 0}}",2026-04-13T18:30:09.598585+00:00,,London,London,london,London,london,** London,alias,london,london,100.0
openai,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,openai_chat_completions_stream,study2_british_within,study2_item_01,Name a city,说出一座城市,en,English,1,6,1.0,256,557022987,120,1,ac49c938c38f08eae2c6256d015a4cf7a834f7196ac80c9864af18029849c5c9,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a city",London,stop,chatcmpl-cdd13c47-6ec5-9baf-ae30-7851b1dea6f2,79,481,560,1.8316620999994484,provider_api,0,1,False,False,0,,"{'stream': True, 'event_count': 146, 'http_status': 200, 'usage': {'prompt_tokens': 79, 'completion_tokens': 481, 'total_tokens': 560, 'prompt_tokens_details': {'cached_tokens': 0, 'text_tokens': 0, 'audio_tokens': 0, 'image_tokens': 0}, 'completion_tokens_details': {'text_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 0}, 'input_tokens': 0, 'output_tokens': 0, 'input_tokens_details': None, 'claude_cache_creation_5_m_tokens': 0, 'claude_cache_creation_1_h_tokens': 0}}",2026-04-13T18:30:22.071188+00:00,,London,London,london,London,london,** London,alias,london,london,100.0
openai,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,openai_chat_completions_stream,study2_british_within,study2_item_01,Name a city,说出一座城市,en,English,1,7,1.0,256,651778595,120,1,7cc76585058abc93e0f8385e27b55629379bdd3944446768d5e0ac7d858b281c,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a city",London,stop,chatcmpl-41d9dc16-323a-9a4e-bff0-d165e6c55f82,79,351,430,12.224620800000594,provider_api,0,1,False,False,0,,"{'stream': True, 'event_count': 109, 'http_status': 200, 'usage': {'prompt_tokens': 79, 'completion_tokens': 351, 'total_tokens': 430, 'prompt_tokens_details': {'cached_tokens': 0, 'text_tokens': 0, 'audio_tokens': 0, 'image_tokens': 0}, 'completion_tokens_details': {'text_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 0}, 'input_tokens': 0, 'output_tokens': 0, 'input_tokens_details': None, 'claude_cache_creation_5_m_tokens': 0, 'claude_cache_creation_1_h_tokens': 0}}",2026-04-13T18:30:42.636569+00:00,,London,London,london,London,london,** London,alias,london,london,100.0
openai,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,openai_chat_completions_stream,study2_british_within,study2_item_01,Name a city,说出一座城市,en,English,1,8,1.0,256,229017835,120,1,b0aeb39b03011046329af8382fd4cf39eeef5be2949f9de91e7109b246907348,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a city",London,stop,msg_61d7ab07-723b-43ee-aa01-10ccd5a8d255,79,313,392,1.5709669000007125,provider_api,0,1,False,False,0,,"{'stream': True, 'event_count': 95, 'http_status': 200, 'usage': {'prompt_tokens': 79, 'completion_tokens': 313, 'total_tokens': 392, 'prompt_tokens_details': {'cached_tokens': 0, 'text_tokens': 0, 'audio_tokens': 0, 'image_tokens': 0}, 'completion_tokens_details': {'text_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 0}, 'input_tokens': 0, 'output_tokens': 0, 'input_tokens_details': None, 'claude_cache_creation_5_m_tokens': 0, 'claude_cache_creation_1_h_tokens': 0}}",2026-04-13T18:30:51.807794+00:00,,London,London,london,London,london,** London,alias,london,london,100.0
openai,qwen3.5-plus,qwen3.5-plus,qwen3.5-plus,openai_chat_completions_stream,study2_british_within,study2_item_01,Name a city,说出一座城市,en,English,1,9,1.0,256,648768784,120,1,396eccbdbf795eab7cc32f977dbbba15207e77c9f5b0149c83278dfe5db0e0fc,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a city",London,stop,msg_6b06476c-ad5f-425f-bb59-8a90f0ec8d05,79,414,493,1.5317235000002256,provider_api,0,1,False,False,0,,"{'stream': True, 'event_count': 128, 'http_status': 200, 'usage': {'prompt_tokens': 79, 'completion_tokens': 414, 'total_tokens': 493, 'prompt_tokens_details': {'cached_tokens': 0, 'text_tokens': 0, 'audio_tokens': 0, 'image_tokens': 0}, 'completion_tokens_details': {'text_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 0}, 'input_tokens': 0, 'output_tokens': 0, 'input_tokens_details': None, 'claude_cache_creation_5_m_tokens': 0, 'claude_cache_creation_1_h_tokens': 0}}",2026-04-13T18:31:04.159058+00:00,,London,London,london,London,london,** London,alias,london,london,100.0
