metric_family,provider,model,round_index,panel_id,item_id,item_number,human_top1_probability,consensus_bucket,prompt_language,jsd,tvd,top1_match,flip_rate,spearman,successful_samples,expected_samples,completion_rate,en_successful_samples,zh_successful_samples
cross_lingual,openai,gpt-4o-mini,1,study2_british_within,study2_item_01,1,0.9,high,en_vs_zh,0.0,0.0,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,gpt-4o-mini,1,study2_british_within,study2_item_02,2,0.3,low,en_vs_zh,0.41415244726470707,0.62,0,1.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,gpt-4o-mini,1,study2_british_within,study2_item_03,3,0.36,medium,en_vs_zh,0.4071183658159944,0.6399999999999999,0,1.0,-0.5,50,50,1.0,50.0,50.0
cross_lingual,openai,gpt-4o-mini,1,study2_british_within,study2_item_04,4,0.24,low,en_vs_zh,0.001528402997510646,0.020000000000000007,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,gpt-4o-mini,1,study2_british_within,study2_item_05,5,0.64,medium,en_vs_zh,0.09857798372886895,0.31999999999999995,1,0.0,1.0,50,50,1.0,50.0,50.0
cross_lingual,openai,gpt-4o-mini,1,study2_british_within,study2_item_06,6,0.44,medium,en_vs_zh,0.0,0.0,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,gpt-4o-mini,1,study2_british_within,study2_item_07,7,0.28,low,en_vs_zh,0.0,0.0,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,gpt-4o-mini,1,study2_british_within,study2_item_08,8,0.33,low,en_vs_zh,0.01007286462500093,0.02000000000000001,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,gpt-4o-mini,1,study2_british_within,study2_item_09,9,0.48,medium,en_vs_zh,0.018232370509912332,0.05999999999999997,1,0.0,1.0,50,50,1.0,50.0,50.0
cross_lingual,openai,gpt-4o-mini,1,study2_british_within,study2_item_10,10,0.92,high,en_vs_zh,0.0,0.0,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,gpt-4o-mini,1,study2_british_within,study2_item_11,11,0.56,medium,en_vs_zh,0.0,0.0,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,gpt-4o-mini,1,study2_british_within,study2_item_12,12,0.3,low,en_vs_zh,0.013217429788671745,0.05999999999999998,1,0.0,1.0,50,50,1.0,50.0,50.0
cross_lingual,openai,gpt-4o-mini,1,study2_british_within,study2_item_13,13,0.83,high,en_vs_zh,0.0,0.0,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,gpt-4o-mini,1,study2_british_within,study2_item_14,14,0.74,high,en_vs_zh,0.0,0.0,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,gpt-4o-mini,1,study2_british_within,study2_item_15,15,0.88,high,en_vs_zh,0.0,0.0,1,0.0,,50,50,1.0,50.0,50.0
human_alignment,openai,gpt-4o-mini,1,study2_british_within,study2_item_01,1,0.9,high,en,1.0,1.0,0,,-0.6425294053171791,50,50,1.0,,
human_alignment,openai,gpt-4o-mini,1,study2_british_within,study2_item_01,1,0.9,high,zh,1.0,1.0,0,,-0.6425294053171791,50,50,1.0,,
human_alignment,openai,gpt-4o-mini,1,study2_british_within,study2_item_02,2,0.3,low,en,0.7261048327230332,0.85,0,,-0.0125284486396543,50,50,1.0,,
human_alignment,openai,gpt-4o-mini,1,study2_british_within,study2_item_02,2,0.3,low,zh,0.9460335893412777,0.98,0,,-0.020207175225248872,50,50,1.0,,
human_alignment,openai,gpt-4o-mini,1,study2_british_within,study2_item_03,3,0.36,medium,en,0.49511325570182796,0.71,0,,0.47474970968490826,50,50,1.0,,
human_alignment,openai,gpt-4o-mini,1,study2_british_within,study2_item_03,3,0.36,medium,zh,0.5229469700836589,0.64,0,,0.35265913655401454,50,50,1.0,,
human_alignment,openai,gpt-4o-mini,1,study2_british_within,study2_item_04,4,0.24,low,en,0.4771042582230739,0.7,1,,0.592136908212939,50,50,1.0,,
human_alignment,openai,gpt-4o-mini,1,study2_british_within,study2_item_04,4,0.24,low,zh,0.4946503335788464,0.72,1,,0.592136908212939,50,50,1.0,,
human_alignment,openai,gpt-4o-mini,1,study2_british_within,study2_item_05,5,0.64,medium,en,0.8082097410378715,0.92,0,,-0.1615690215283055,50,50,1.0,,
human_alignment,openai,gpt-4o-mini,1,study2_british_within,study2_item_05,5,0.64,medium,zh,0.8432021598994723,0.93,0,,-0.07597371763975863,50,50,1.0,,
human_alignment,openai,gpt-4o-mini,1,study2_british_within,study2_item_06,6,0.44,medium,en,1.0,1.0,0,,-0.40547849682554116,50,50,1.0,,
human_alignment,openai,gpt-4o-mini,1,study2_british_within,study2_item_06,6,0.44,medium,zh,1.0,1.0,0,,-0.40547849682554116,50,50,1.0,,
human_alignment,openai,gpt-4o-mini,1,study2_british_within,study2_item_07,7,0.28,low,en,1.0,1.0,0,,-0.3382950893557894,50,50,1.0,,
human_alignment,openai,gpt-4o-mini,1,study2_british_within,study2_item_07,7,0.28,low,zh,1.0,1.0,0,,-0.3382950893557894,50,50,1.0,,
human_alignment,openai,gpt-4o-mini,1,study2_british_within,study2_item_08,8,0.33,low,en,1.0,1.0,0,,-0.34523522258958245,50,50,1.0,,
human_alignment,openai,gpt-4o-mini,1,study2_british_within,study2_item_08,8,0.33,low,zh,0.9862255624891827,0.99,0,,-0.3305375606595595,50,50,1.0,,
human_alignment,openai,gpt-4o-mini,1,study2_british_within,study2_item_09,9,0.48,medium,en,0.9401296526209914,0.97,0,,-0.1436735925587208,50,50,1.0,,
human_alignment,openai,gpt-4o-mini,1,study2_british_within,study2_item_09,9,0.48,medium,zh,0.8991032494064415,0.97,0,,0.21235823965147618,50,50,1.0,,
human_alignment,openai,gpt-4o-mini,1,study2_british_within,study2_item_10,10,0.92,high,en,1.0,1.0,0,,-0.6354889093022424,50,50,1.0,,
human_alignment,openai,gpt-4o-mini,1,study2_british_within,study2_item_10,10,0.92,high,zh,1.0,1.0,0,,-0.6354889093022424,50,50,1.0,,
human_alignment,openai,gpt-4o-mini,1,study2_british_within,study2_item_11,11,0.56,medium,en,1.0,1.0,0,,-0.4696682183138621,50,50,1.0,,
human_alignment,openai,gpt-4o-mini,1,study2_british_within,study2_item_11,11,0.56,medium,zh,1.0,1.0,0,,-0.4696682183138621,50,50,1.0,,
human_alignment,openai,gpt-4o-mini,1,study2_british_within,study2_item_12,12,0.3,low,en,0.8085382494150071,0.8787755102040816,0,,0.12288778805577394,49,50,0.98,,
human_alignment,openai,gpt-4o-mini,1,study2_british_within,study2_item_12,12,0.3,low,zh,0.8223298009180318,0.88,0,,0.12288778805577394,50,50,1.0,,
human_alignment,openai,gpt-4o-mini,1,study2_british_within,study2_item_13,13,0.83,high,en,0.4568353330121253,0.62,0,,-0.22360679774997894,50,50,1.0,,
human_alignment,openai,gpt-4o-mini,1,study2_british_within,study2_item_13,13,0.83,high,zh,0.14552737598194182,0.17,1,,0.22360679774997894,50,50,1.0,,
human_alignment,openai,gpt-4o-mini,1,study2_british_within,study2_item_14,14,0.74,high,en,1.0,1.0,0,,-0.5388159060803247,50,50,1.0,,
human_alignment,openai,gpt-4o-mini,1,study2_british_within,study2_item_14,14,0.74,high,zh,1.0,1.0,0,,-0.5388159060803247,50,50,1.0,,
human_alignment,openai,gpt-4o-mini,1,study2_british_within,study2_item_15,15,0.88,high,en,0.062764486510794,0.12,1,,0.7905694150420948,50,50,1.0,,
human_alignment,openai,gpt-4o-mini,1,study2_british_within,study2_item_15,15,0.88,high,zh,0.062764486510794,0.12,1,,0.7905694150420948,50,50,1.0,,
