metric_family,provider,model,round_index,panel_id,item_id,item_number,human_top1_probability,consensus_bucket,prompt_language,jsd,tvd,top1_match,flip_rate,spearman,successful_samples,expected_samples,completion_rate,en_successful_samples,zh_successful_samples
cross_lingual,openai,qwen3.5-plus,1,study2_british_within,study2_item_01,1,0.9,high,en_vs_zh,0.0,0.0,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,qwen3.5-plus,1,study2_british_within,study2_item_02,2,0.3,low,en_vs_zh,0.020294448000613266,0.04000000000000002,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,qwen3.5-plus,1,study2_british_within,study2_item_03,3,0.36,medium,en_vs_zh,0.471354195546718,0.62,0,1.0,-0.09435641951204965,50,50,1.0,50.0,50.0
cross_lingual,openai,qwen3.5-plus,1,study2_british_within,study2_item_04,4,0.24,low,en_vs_zh,1.0,1.0,0,1.0,-0.8660254037844387,50,50,1.0,50.0,50.0
cross_lingual,openai,qwen3.5-plus,1,study2_british_within,study2_item_05,5,0.64,medium,en_vs_zh,0.16026204745403383,0.27999999999999997,1,0.0,0.5000000000000001,50,50,1.0,50.0,50.0
cross_lingual,openai,qwen3.5-plus,1,study2_british_within,study2_item_06,6,0.44,medium,en_vs_zh,0.0,0.0,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,qwen3.5-plus,1,study2_british_within,study2_item_07,7,0.28,low,en_vs_zh,0.020294448000613266,0.04000000000000002,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,qwen3.5-plus,1,study2_british_within,study2_item_08,8,0.33,low,en_vs_zh,0.15008486637193497,0.16,1,0.0,0.316227766016838,50,50,1.0,50.0,50.0
cross_lingual,openai,qwen3.5-plus,1,study2_british_within,study2_item_09,9,0.48,medium,en_vs_zh,0.265220736549466,0.5800000000000001,0,1.0,0.5,50,50,1.0,50.0,50.0
cross_lingual,openai,qwen3.5-plus,1,study2_british_within,study2_item_10,10,0.92,high,en_vs_zh,0.0,0.0,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,qwen3.5-plus,1,study2_british_within,study2_item_11,11,0.56,medium,en_vs_zh,0.6364619458936842,0.8200000000000001,0,1.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,qwen3.5-plus,1,study2_british_within,study2_item_12,12,0.3,low,en_vs_zh,0.062764486510794,0.12,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,qwen3.5-plus,1,study2_british_within,study2_item_13,13,0.83,high,en_vs_zh,0.03066939825433814,0.060000000000000026,1,0.0,1.0,50,50,1.0,50.0,50.0
cross_lingual,openai,qwen3.5-plus,1,study2_british_within,study2_item_14,14,0.74,high,en_vs_zh,0.0,0.0,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,qwen3.5-plus,1,study2_british_within,study2_item_15,15,0.88,high,en_vs_zh,0.0,0.0,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,qwen3.5-plus,2,study2_british_within,study2_item_03,3,0.36,medium,en_vs_zh,0.051899160321315516,0.09999999999999999,1,0.0,,10,10,1.0,10.0,10.0
cross_lingual,openai,qwen3.5-plus,2,study2_british_within,study2_item_04,4,0.24,low,en_vs_zh,0.0,0.0,1,0.0,,10,10,1.0,10.0,10.0
cross_lingual,openai,qwen3.5-plus,2,study2_british_within,study2_item_09,9,0.48,medium,en_vs_zh,0.030305144839322347,0.19999999999999998,1,0.0,,10,10,1.0,10.0,10.0
cross_lingual,openai,qwen3.5-plus,2,study2_british_within,study2_item_11,11,0.56,medium,en_vs_zh,0.49342260576014463,0.7,0,1.0,,10,10,1.0,10.0,10.0
human_alignment,openai,qwen3.5-plus,1,study2_british_within,study2_item_01,1,0.9,high,en,1.0,1.0,0,,-0.6425294053171791,50,50,1.0,,
human_alignment,openai,qwen3.5-plus,1,study2_british_within,study2_item_01,1,0.9,high,zh,1.0,1.0,0,,-0.6425294053171791,50,50,1.0,,
human_alignment,openai,qwen3.5-plus,1,study2_british_within,study2_item_02,2,0.3,low,en,1.0,1.0,0,,-0.36429003203460203,50,50,1.0,,
human_alignment,openai,qwen3.5-plus,1,study2_british_within,study2_item_02,2,0.3,low,zh,1.0,1.0,0,,-0.49071459558785424,50,50,1.0,,
human_alignment,openai,qwen3.5-plus,1,study2_british_within,study2_item_03,3,0.36,medium,en,0.7719138841003111,0.88,0,,-0.010927205034667481,50,50,1.0,,
human_alignment,openai,qwen3.5-plus,1,study2_british_within,study2_item_03,3,0.36,medium,zh,0.7273755150363622,0.83,0,,0.07270851361034654,50,50,1.0,,
human_alignment,openai,qwen3.5-plus,1,study2_british_within,study2_item_04,4,0.24,low,en,1.0,1.0,0,,-0.44236122483487417,50,50,1.0,,
human_alignment,openai,qwen3.5-plus,1,study2_british_within,study2_item_04,4,0.24,low,zh,0.5148318263145475,0.72,1,,0.4863981746034856,50,50,1.0,,
human_alignment,openai,qwen3.5-plus,1,study2_british_within,study2_item_05,5,0.64,medium,en,0.8522998190908964,0.9400000000000001,0,,-0.05698028822981898,50,50,1.0,,
human_alignment,openai,qwen3.5-plus,1,study2_british_within,study2_item_05,5,0.64,medium,zh,0.9009607378188225,0.96,0,,-0.17691342604132432,50,50,1.0,,
human_alignment,openai,qwen3.5-plus,1,study2_british_within,study2_item_06,6,0.44,medium,en,1.0,1.0,0,,-0.40547849682554116,50,50,1.0,,
human_alignment,openai,qwen3.5-plus,1,study2_british_within,study2_item_06,6,0.44,medium,zh,1.0,1.0,0,,-0.40547849682554116,50,50,1.0,,
human_alignment,openai,qwen3.5-plus,1,study2_british_within,study2_item_07,7,0.28,low,en,1.0,1.0,0,,-0.3382950893557894,50,50,1.0,,
human_alignment,openai,qwen3.5-plus,1,study2_british_within,study2_item_07,7,0.28,low,zh,0.96,0.96,0,,-0.09732004825129188,50,50,1.0,,
human_alignment,openai,qwen3.5-plus,1,study2_british_within,study2_item_08,8,0.33,low,en,1.0,1.0,0,,-0.46672888850537203,50,50,1.0,,
human_alignment,openai,qwen3.5-plus,1,study2_british_within,study2_item_08,8,0.33,low,zh,0.9502954035027317,0.97,0,,-0.14951405229657386,50,50,1.0,,
human_alignment,openai,qwen3.5-plus,1,study2_british_within,study2_item_09,9,0.48,medium,en,0.6250054254226964,0.75,0,,0.08358083277705579,50,50,1.0,,
human_alignment,openai,qwen3.5-plus,1,study2_british_within,study2_item_09,9,0.48,medium,zh,0.9191311522414682,0.97,0,,-0.11405017141259281,50,50,1.0,,
human_alignment,openai,qwen3.5-plus,1,study2_british_within,study2_item_10,10,0.92,high,en,1.0,1.0,0,,-0.6354889093022424,50,50,1.0,,
human_alignment,openai,qwen3.5-plus,1,study2_british_within,study2_item_10,10,0.92,high,zh,1.0,1.0,0,,-0.6354889093022424,50,50,1.0,,
human_alignment,openai,qwen3.5-plus,1,study2_british_within,study2_item_11,11,0.56,medium,en,1.0,1.0,0,,-0.4696682183138621,50,50,1.0,,
human_alignment,openai,qwen3.5-plus,1,study2_british_within,study2_item_11,11,0.56,medium,zh,0.6358522069766877,0.7999999999999999,0,,-0.006547846407344365,50,50,1.0,,
human_alignment,openai,qwen3.5-plus,1,study2_british_within,study2_item_12,12,0.3,low,en,1.0,1.0,0,,-0.3455058811955659,50,50,1.0,,
human_alignment,openai,qwen3.5-plus,1,study2_british_within,study2_item_12,12,0.3,low,zh,0.8472905595320057,0.88,0,,-0.03313147809612858,50,50,1.0,,
human_alignment,openai,qwen3.5-plus,1,study2_british_within,study2_item_13,13,0.83,high,en,0.5094845847159581,0.68,0,,-0.22360679774997894,50,50,1.0,,
human_alignment,openai,qwen3.5-plus,1,study2_british_within,study2_item_13,13,0.83,high,zh,0.3106453200622271,0.45999999999999996,1,,0.09709195467257717,50,50,1.0,,
human_alignment,openai,qwen3.5-plus,1,study2_british_within,study2_item_14,14,0.74,high,en,1.0,1.0,0,,-0.5388159060803247,50,50,1.0,,
human_alignment,openai,qwen3.5-plus,1,study2_british_within,study2_item_14,14,0.74,high,zh,1.0,1.0,0,,-0.5388159060803247,50,50,1.0,,
human_alignment,openai,qwen3.5-plus,1,study2_british_within,study2_item_15,15,0.88,high,en,0.062764486510794,0.12,1,,0.7905694150420948,50,50,1.0,,
human_alignment,openai,qwen3.5-plus,1,study2_british_within,study2_item_15,15,0.88,high,zh,0.062764486510794,0.12,1,,0.7905694150420948,50,50,1.0,,
human_alignment,openai,qwen3.5-plus,2,study2_british_within,study2_item_03,3,0.36,medium,en,0.9289911704818996,0.98,0,,-0.03200484803483466,10,10,1.0,,
human_alignment,openai,qwen3.5-plus,2,study2_british_within,study2_item_03,3,0.36,medium,zh,0.8474148790722331,0.91,0,,0.14992096095312893,10,10,1.0,,
human_alignment,openai,qwen3.5-plus,2,study2_british_within,study2_item_04,4,0.24,low,en,0.5605218825340386,0.76,1,,0.4633239167994182,10,10,1.0,,
human_alignment,openai,qwen3.5-plus,2,study2_british_within,study2_item_04,4,0.24,low,zh,0.5605218825340386,0.76,1,,0.4633239167994182,10,10,1.0,,
human_alignment,openai,qwen3.5-plus,2,study2_british_within,study2_item_09,9,0.48,medium,en,0.9340760554115058,0.98,0,,-0.07627617133390224,10,10,1.0,,
human_alignment,openai,qwen3.5-plus,2,study2_british_within,study2_item_09,9,0.48,medium,zh,0.9388497207269972,0.98,0,,-0.0930878007335995,10,10,1.0,,
human_alignment,openai,qwen3.5-plus,2,study2_british_within,study2_item_11,11,0.56,medium,en,1.0,1.0,0,,-0.4696682183138621,10,10,1.0,,
human_alignment,openai,qwen3.5-plus,2,study2_british_within,study2_item_11,11,0.56,medium,zh,0.6561079720711209,0.8,0,,-0.006547846407344365,10,10,1.0,,
