scope,metric_family,provider,model,round_index,panel_id,item_id,prompt_language,metric,ci_low,ci_high
aggregate,cross_lingual,openai,qwen3.5-plus,1,study2_british_within,,en_vs_zh,jsd,0.05985245914738193,0.33724394021534015
aggregate,cross_lingual,openai,qwen3.5-plus,1,study2_british_within,,en_vs_zh,tvd,0.09990000000000002,0.4200666666666666
aggregate,cross_lingual,openai,qwen3.5-plus,1,study2_british_within,,en_vs_zh,top1_match,0.4666666666666667,0.9333333333333333
aggregate,cross_lingual,openai,qwen3.5-plus,1,study2_british_within,,en_vs_zh,flip_rate,0.06666666666666667,0.5333333333333333
aggregate,cross_lingual,openai,qwen3.5-plus,2,study2_british_within,,en_vs_zh,jsd,0.012974790080328879,0.37764324052993903
aggregate,cross_lingual,openai,qwen3.5-plus,2,study2_british_within,,en_vs_zh,tvd,0.049999999999999996,0.55
aggregate,cross_lingual,openai,qwen3.5-plus,2,study2_british_within,,en_vs_zh,top1_match,0.25,1.0
aggregate,cross_lingual,openai,qwen3.5-plus,2,study2_british_within,,en_vs_zh,flip_rate,0.0,0.75
aggregate,human_alignment,openai,qwen3.5-plus,1,study2_british_within,,en,jsd,0.7145869742330234,0.9651536829675729
aggregate,human_alignment,openai,qwen3.5-plus,1,study2_british_within,,en,tvd,0.7653166666666665,0.9793333333333333
aggregate,human_alignment,openai,qwen3.5-plus,1,study2_british_within,,en,top1_match,0.0,0.2
aggregate,human_alignment,openai,qwen3.5-plus,1,study2_british_within,,zh,jsd,0.6234696824260664,0.9184959057981058
aggregate,human_alignment,openai,qwen3.5-plus,1,study2_british_within,,zh,tvd,0.7139833333333335,0.9506833333333334
aggregate,human_alignment,openai,qwen3.5-plus,1,study2_british_within,,zh,top1_match,0.0,0.4
aggregate,human_alignment,openai,qwen3.5-plus,2,study2_british_within,,en,jsd,0.6539104257534054,0.9822477926204749
aggregate,human_alignment,openai,qwen3.5-plus,2,study2_british_within,,en,tvd,0.815,0.995
aggregate,human_alignment,openai,qwen3.5-plus,2,study2_british_within,,en,top1_match,0.0,0.75
aggregate,human_alignment,openai,qwen3.5-plus,2,study2_british_within,,zh,jsd,0.6083149273025797,0.8931322998996152
aggregate,human_alignment,openai,qwen3.5-plus,2,study2_british_within,,zh,tvd,0.78,0.9450000000000001
aggregate,human_alignment,openai,qwen3.5-plus,2,study2_british_within,,zh,top1_match,0.0,0.75
item,cross_lingual,openai,qwen3.5-plus,1,study2_british_within,study2_item_01,en_vs_zh,jsd,0.0,0.0
item,cross_lingual,openai,qwen3.5-plus,1,study2_british_within,study2_item_01,en_vs_zh,tvd,0.0,0.0
item,cross_lingual,openai,qwen3.5-plus,1,study2_british_within,study2_item_02,en_vs_zh,jsd,0.0,0.051899160321315516
item,cross_lingual,openai,qwen3.5-plus,1,study2_british_within,study2_item_02,en_vs_zh,tvd,0.0,0.09999999999999999
item,cross_lingual,openai,qwen3.5-plus,1,study2_british_within,study2_item_03,en_vs_zh,jsd,0.3702932516388029,0.6009811722019556
item,cross_lingual,openai,qwen3.5-plus,1,study2_british_within,study2_item_03,en_vs_zh,tvd,0.48000000000000004,0.76
item,cross_lingual,openai,qwen3.5-plus,1,study2_british_within,study2_item_03,en_vs_zh,spearman,-0.32081182634096883,0.031015212402727317
item,cross_lingual,openai,qwen3.5-plus,1,study2_british_within,study2_item_04,en_vs_zh,jsd,1.0,1.0
item,cross_lingual,openai,qwen3.5-plus,1,study2_british_within,study2_item_04,en_vs_zh,tvd,1.0,1.0
item,cross_lingual,openai,qwen3.5-plus,1,study2_british_within,study2_item_04,en_vs_zh,spearman,-0.8660254037844387,-0.7745966692414834
item,cross_lingual,openai,qwen3.5-plus,1,study2_british_within,study2_item_05,en_vs_zh,jsd,0.08792421494168498,0.2558432906521492
item,cross_lingual,openai,qwen3.5-plus,1,study2_british_within,study2_item_05,en_vs_zh,tvd,0.16,0.4
item,cross_lingual,openai,qwen3.5-plus,1,study2_british_within,study2_item_05,en_vs_zh,spearman,0.316227766016838,0.8660254037844387
item,cross_lingual,openai,qwen3.5-plus,1,study2_british_within,study2_item_06,en_vs_zh,jsd,0.0,0.051899160321315516
item,cross_lingual,openai,qwen3.5-plus,1,study2_british_within,study2_item_06,en_vs_zh,tvd,0.0,0.09999999999999999
item,cross_lingual,openai,qwen3.5-plus,1,study2_british_within,study2_item_07,en_vs_zh,jsd,0.0,0.051899160321315516
item,cross_lingual,openai,qwen3.5-plus,1,study2_british_within,study2_item_07,en_vs_zh,tvd,0.0,0.09999999999999999
item,cross_lingual,openai,qwen3.5-plus,1,study2_british_within,study2_item_08,en_vs_zh,jsd,0.08125491297411391,0.22152664273632652
item,cross_lingual,openai,qwen3.5-plus,1,study2_british_within,study2_item_08,en_vs_zh,tvd,0.1,0.27999999999999997
item,cross_lingual,openai,qwen3.5-plus,1,study2_british_within,study2_item_08,en_vs_zh,spearman,0.316227766016838,0.5
item,cross_lingual,openai,qwen3.5-plus,1,study2_british_within,study2_item_09,en_vs_zh,jsd,0.20843356511763086,0.48702148299314585
item,cross_lingual,openai,qwen3.5-plus,1,study2_british_within,study2_item_09,en_vs_zh,tvd,0.43999999999999995,0.74
item,cross_lingual,openai,qwen3.5-plus,1,study2_british_within,study2_item_09,en_vs_zh,spearman,-0.026315789473684213,0.6000000000000001
item,cross_lingual,openai,qwen3.5-plus,1,study2_british_within,study2_item_10,en_vs_zh,jsd,0.0,0.0
item,cross_lingual,openai,qwen3.5-plus,1,study2_british_within,study2_item_10,en_vs_zh,tvd,0.0,0.0
item,cross_lingual,openai,qwen3.5-plus,1,study2_british_within,study2_item_11,en_vs_zh,jsd,0.49342260576014463,0.7942888437190894
item,cross_lingual,openai,qwen3.5-plus,1,study2_british_within,study2_item_11,en_vs_zh,tvd,0.7,0.92
item,cross_lingual,openai,qwen3.5-plus,1,study2_british_within,study2_item_12,en_vs_zh,jsd,0.020294448000613266,0.10832656265904848
