provider,model,requested_model,resolved_model,provider_backend,panel_id,item_id,item_text_en,item_text_zh,prompt_language,answer_language,round_index,sample_index,temperature,max_output_tokens,seed,provider_timeout_seconds,provider_concurrency,request_cache_key,system_prompt,user_prompt,response_text,finish_reason,request_id,prompt_tokens,completion_tokens,total_tokens,latency_seconds,response_source,retry_count,attempt_count,cache_hit,disk_cache_hit,provider_cached_tokens,error,raw_payload,generated_at_utc,response_validation_error,parsed_answer,response_clean,answer_key,coord_answer,coord_answer_key,canonical_answer,normalization_status,closest_human_answer_key,closest_human_canonical,closest_human_score
openai,gpt-4o-mini,gpt-4o-mini,gpt-4o-mini-2024-07-18,openai_chat_completions_stream,study2_british_within,study2_item_01,Name a city,说出一座城市,en,English,1,0,1.0,256,447924741,120,4,611b645705489ef3644178d9dd7227c208ae229fc34e141be96aa8e7e604916a,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a city",London,stop,chatcmpl-DTnlnsJPLavNLf9gDUf7uPz783Uls,,,,1.6858945470303297,provider_api,0,1,False,False,,,"{'stream': True, 'event_count': 3, 'http_status': 200, 'usage': {}}",2026-04-12T12:00:01.955898+00:00,,London,London,london,London,london,** London,alias,london,london,100.0
openai,gpt-4o-mini,gpt-4o-mini,gpt-4o-mini-2024-07-18,openai_chat_completions_stream,study2_british_within,study2_item_01,Name a city,说出一座城市,en,English,1,1,1.0,256,293911609,120,4,c0a196f1fd251dd77b95954128ebc56d3328dd4b2aa8f78fc908fad2cd30dd44,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a city",London,stop,chatcmpl-DTnlnTd0L4KmcAcHiYwjG0g3jnoP7,,,,1.8929687403142452,provider_api,0,1,False,False,,,"{'stream': True, 'event_count': 3, 'http_status': 200, 'usage': {}}",2026-04-12T12:00:02.159917+00:00,,London,London,london,London,london,** London,alias,london,london,100.0
openai,gpt-4o-mini,gpt-4o-mini,gpt-4o-mini-2024-07-18,openai_chat_completions_stream,study2_british_within,study2_item_01,Name a city,说出一座城市,en,English,1,3,1.0,256,673359281,120,4,9488ae24e6e79e2edf5348a51bc63f7a30bfc376298998ea1087bb7f28687d54,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a city",London,stop,chatcmpl-DTnlnHKJlCbVrG3f8aPrZ3zjX8Pgp,,,,1.944117121398449,provider_api,0,1,False,False,,,"{'stream': True, 'event_count': 3, 'http_status': 200, 'usage': {}}",2026-04-12T12:00:02.214774+00:00,,London,London,london,London,london,** London,alias,london,london,100.0
openai,gpt-4o-mini,gpt-4o-mini,gpt-4o-mini-2024-07-18,openai_chat_completions_stream,study2_british_within,study2_item_01,Name a city,说出一座城市,en,English,1,2,1.0,256,122014301,120,4,73f6cdd7883e75edb20a022f114f1541158e894d062a1fd862998248b930b934,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a city",London,stop,chatcmpl-DTnlnbNL5TL82NyCPYN7iaxPgeHKG,,,,2.0094858705997467,provider_api,0,1,False,False,,,"{'stream': True, 'event_count': 3, 'http_status': 200, 'usage': {}}",2026-04-12T12:00:02.284288+00:00,,London,London,london,London,london,** London,alias,london,london,100.0
openai,gpt-4o-mini,gpt-4o-mini,gpt-4o-mini-2024-07-18,openai_chat_completions_stream,study2_british_within,study2_item_01,Name a city,说出一座城市,en,English,1,5,1.0,256,189450029,120,4,12156672408cf8555cf28045a244ec10b7c0c9a3f5253e4f7447c62f5ed895b0,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a city",London,stop,chatcmpl-DTnlqmAnrHxBVr8Jrq3aw71PDZJeH,,,,0.7054539043456316,provider_api,0,1,False,False,,,"{'stream': True, 'event_count': 3, 'http_status': 200, 'usage': {}}",2026-04-12T12:00:04.898751+00:00,,London,London,london,London,london,** London,alias,london,london,100.0
openai,gpt-4o-mini,gpt-4o-mini,gpt-4o-mini-2024-07-18,openai_chat_completions_stream,study2_british_within,study2_item_01,Name a city,说出一座城市,en,English,1,4,1.0,256,108335152,120,4,eb7168382eecb0f515cde47f4bb8d2ce06f2b0cb9f8572a16f85dfb13f39a550,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a city",London,stop,chatcmpl-DTnlqnL1kfrPTqRxA4WPhXqZA0iJq,,,,1.0076572988182306,provider_api,0,1,False,False,,,"{'stream': True, 'event_count': 3, 'http_status': 200, 'usage': {}}",2026-04-12T12:00:04.986953+00:00,,London,London,london,London,london,** London,alias,london,london,100.0
openai,gpt-4o-mini,gpt-4o-mini,gpt-4o-mini-2024-07-18,openai_chat_completions_stream,study2_british_within,study2_item_01,Name a city,说出一座城市,en,English,1,7,1.0,256,651778595,120,4,2e190393d2c601156d4ae475d2f1be14686f35b50ff0a5106548a00f6605d108,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a city",London,stop,chatcmpl-DTnlq6h1I4z2zHxfauEVFUQLpzi1r,,,,0.7354095745831728,provider_api,0,1,False,False,,,"{'stream': True, 'event_count': 3, 'http_status': 200, 'usage': {}}",2026-04-12T12:00:05.049070+00:00,,London,London,london,London,london,** London,alias,london,london,100.0
openai,gpt-4o-mini,gpt-4o-mini,gpt-4o-mini-2024-07-18,openai_chat_completions_stream,study2_british_within,study2_item_01,Name a city,说出一座城市,en,English,1,6,1.0,256,557022987,120,4,4d93603893f16b34664e864cde485f35a701f4d6533ac371df9d42fa5af673d0,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a city",London,stop,chatcmpl-DTnlrUA5TrydIy4rBqlfnUv1Ei2jb,,,,1.7170191928744316,provider_api,0,1,False,False,,,"{'stream': True, 'event_count': 3, 'http_status': 200, 'usage': {}}",2026-04-12T12:00:05.956916+00:00,,London,London,london,London,london,** London,alias,london,london,100.0
openai,gpt-4o-mini,gpt-4o-mini,gpt-4o-mini-2024-07-18,openai_chat_completions_stream,study2_british_within,study2_item_01,Name a city,说出一座城市,en,English,1,8,1.0,256,229017835,120,4,21fda4589e055740887ab630b0cf546b332dc5104b47d7421dee77bd70162a45,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a city",London,stop,chatcmpl-DTnltjt06HGcWnf4n9ObqVGOcJjek,,,,0.734105421230197,provider_api,0,1,False,False,,,"{'stream': True, 'event_count': 3, 'http_status': 200, 'usage': {}}",2026-04-12T12:00:07.661950+00:00,,London,London,london,London,london,** London,alias,london,london,100.0
openai,gpt-4o-mini,gpt-4o-mini,gpt-4o-mini-2024-07-18,openai_chat_completions_stream,study2_british_within,study2_item_01,Name a city,说出一座城市,en,English,1,10,1.0,256,567963904,120,4,5916a50988ca3bbd339f4ad79e700a10ff599385be517d8d3e2d3d5b84c89848,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a city",London,stop,chatcmpl-DTnltYPb8p7jEQ5ntbvHVAW8fITtV,,,,0.6849464066326618,provider_api,0,1,False,False,,,"{'stream': True, 'event_count': 3, 'http_status': 200, 'usage': {}}",2026-04-12T12:00:07.780711+00:00,,London,London,london,London,london,** London,alias,london,london,100.0
