provider,model,requested_model,resolved_model,provider_backend,panel_id,item_id,item_text_en,item_text_zh,prompt_language,answer_language,round_index,sample_index,temperature,max_output_tokens,seed,provider_timeout_seconds,provider_concurrency,request_cache_key,system_prompt,user_prompt,response_text,finish_reason,request_id,prompt_tokens,completion_tokens,total_tokens,latency_seconds,response_source,retry_count,attempt_count,cache_hit,disk_cache_hit,provider_cached_tokens,error,raw_payload,generated_at_utc,response_validation_error,parsed_answer,response_clean,answer_key,coord_answer,coord_answer_key,canonical_answer,normalization_status,closest_human_answer_key,closest_human_canonical,closest_human_score
openai,glm-4-flashx-250414,glm-4-flashx-250414,glm-4-flashx-250414,openai_chat_completions_stream,study2_british_within,study2_item_02,Name a sport player (any sport),说出一位运动员（任何运动项目）,en,English,1,2,1.0,256,570901539,120,10,a865a19b714bd57cff3ea2421d75faa4de085ba4d692a46d371eaa5aabbd7abe,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a sport player (any sport)",Lionel Messi,stop,2026041800251754211ac259234d1b,74,6,80,0.40654840000206605,provider_api,0,1,False,False,,,"{'stream': True, 'event_count': 5, 'http_status': 200, 'usage': {'prompt_tokens': 74, 'completion_tokens': 6, 'total_tokens': 80}}",2026-04-17T16:25:17.157086+00:00,,Lionel Messi,Lionel Messi,lionelmessi,Lionel Messi,messi,,unmapped,messi,messi,62.5
openai,glm-4-flashx-250414,glm-4-flashx-250414,glm-4-flashx-250414,openai_chat_completions_stream,study2_british_within,study2_item_02,Name a sport player (any sport),说出一位运动员（任何运动项目）,en,English,1,12,1.0,256,705186750,120,10,869241401f39a2790f6d082b1fd581295e7a68f5bebad18bcf8750447b278f4a,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a sport player (any sport)",Lionel Messi,stop,20260418002519761c0fe975c64550,74,6,80,0.5539655000320636,provider_api,0,1,False,False,,,"{'stream': True, 'event_count': 5, 'http_status': 200, 'usage': {'prompt_tokens': 74, 'completion_tokens': 6, 'total_tokens': 80}}",2026-04-17T16:25:19.788485+00:00,,Lionel Messi,Lionel Messi,lionelmessi,Lionel Messi,messi,,unmapped,messi,messi,62.5
openai,glm-4-flashx-250414,glm-4-flashx-250414,glm-4-flashx-250414,openai_chat_completions_stream,study2_british_within,study2_item_02,Name a sport player (any sport),说出一位运动员（任何运动项目）,en,English,1,17,1.0,256,55814561,120,10,89c98424e9f066003480c37a61cc4d09308d8d01b48957db59aeea6c85f1cf1a,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a sport player (any sport)",Lionel Messi,stop,20260418002521c616d031cbb946c2,74,6,80,0.7618736000149511,provider_api,0,1,False,False,,,"{'stream': True, 'event_count': 5, 'http_status': 200, 'usage': {'prompt_tokens': 74, 'completion_tokens': 6, 'total_tokens': 80}}",2026-04-17T16:25:20.998273+00:00,,Lionel Messi,Lionel Messi,lionelmessi,Lionel Messi,messi,,unmapped,messi,messi,62.5
openai,glm-4-flashx-250414,glm-4-flashx-250414,glm-4-flashx-250414,openai_chat_completions_stream,study2_british_within,study2_item_02,Name a sport player (any sport),说出一位运动员（任何运动项目）,en,English,1,20,1.0,256,109463114,120,10,8ca83548892ab3eaab2697cd08767ffad91d69ab4fabaf1ea262db0d1c02422a,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a sport player (any sport)",Lionel Messi,stop,2026041800252138ba361df89b4098,74,6,80,0.376051599974744,provider_api,0,1,False,False,,,"{'stream': True, 'event_count': 5, 'http_status': 200, 'usage': {'prompt_tokens': 74, 'completion_tokens': 6, 'total_tokens': 80}}",2026-04-17T16:25:21.643286+00:00,,Lionel Messi,Lionel Messi,lionelmessi,Lionel Messi,messi,,unmapped,messi,messi,62.5
openai,glm-4-flashx-250414,glm-4-flashx-250414,glm-4-flashx-250414,openai_chat_completions_stream,study2_british_within,study2_item_02,Name a sport player (any sport),说出一位运动员（任何运动项目）,en,English,1,23,1.0,256,552008531,120,10,ffb1402bfb5a737780afe821d6992926d6c83bde16cbd2a717c52fc2ab8d7046,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a sport player (any sport)",Cristiano Ronaldo,stop,20260418002522c23e972e95fa4be1,74,6,80,0.4072509999969043,provider_api,0,1,False,False,,,"{'stream': True, 'event_count': 5, 'http_status': 200, 'usage': {'prompt_tokens': 74, 'completion_tokens': 6, 'total_tokens': 80}}",2026-04-17T16:25:22.680276+00:00,,Cristiano Ronaldo,Cristiano Ronaldo,cristianoronaldo,Cristiano Ronaldo,ronaldo,,unmapped,ronaldo,ronaldo,60.86956521739131
openai,glm-4-flashx-250414,glm-4-flashx-250414,glm-4-flashx-250414,openai_chat_completions_stream,study2_british_within,study2_item_02,Name a sport player (any sport),说出一位运动员（任何运动项目）,en,English,1,27,1.0,256,350826901,120,10,1059ca474f6da02f23492a2664387780b0d36b03ea7e0f7722576ede1aa0132d,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a sport player (any sport)",Cristiano Ronaldo,stop,20260418002523b9838200493b4c10,74,6,80,0.6276425999822095,provider_api,0,1,False,False,,,"{'stream': True, 'event_count': 5, 'http_status': 200, 'usage': {'prompt_tokens': 74, 'completion_tokens': 6, 'total_tokens': 80}}",2026-04-17T16:25:23.788379+00:00,,Cristiano Ronaldo,Cristiano Ronaldo,cristianoronaldo,Cristiano Ronaldo,ronaldo,,unmapped,ronaldo,ronaldo,60.86956521739131
openai,glm-4-flashx-250414,glm-4-flashx-250414,glm-4-flashx-250414,openai_chat_completions_stream,study2_british_within,study2_item_02,Name a sport player (any sport),说出一位运动员（任何运动项目）,en,English,1,35,1.0,256,909338578,120,10,926d09a43f749dd3b34a21ae70ecaf29a7af827f8b8165c465460b3fc124b073,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a sport player (any sport)",Cristiano Ronaldo,stop,20260418002526a57c9a0b9c64410b,74,6,80,0.38555030000861734,provider_api,0,1,False,False,,,"{'stream': True, 'event_count': 5, 'http_status': 200, 'usage': {'prompt_tokens': 74, 'completion_tokens': 6, 'total_tokens': 80}}",2026-04-17T16:25:25.964112+00:00,,Cristiano Ronaldo,Cristiano Ronaldo,cristianoronaldo,Cristiano Ronaldo,ronaldo,,unmapped,ronaldo,ronaldo,60.86956521739131
openai,glm-4-flashx-250414,glm-4-flashx-250414,glm-4-flashx-250414,openai_chat_completions_stream,study2_british_within,study2_item_02,Name a sport player (any sport),说出一位运动员（任何运动项目）,en,English,1,36,1.0,256,917135534,120,10,7e9a7cd62d01fc2c216adf98cc2db43f19396e961cd0f05e73554635c46182f7,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a sport player (any sport)",Cristiano Ronaldo,stop,202604180025264b00a60478174ded,74,6,80,0.6158338999957778,provider_api,0,1,False,False,,,"{'stream': True, 'event_count': 5, 'http_status': 200, 'usage': {'prompt_tokens': 74, 'completion_tokens': 6, 'total_tokens': 80}}",2026-04-17T16:25:26.576143+00:00,,Cristiano Ronaldo,Cristiano Ronaldo,cristianoronaldo,Cristiano Ronaldo,ronaldo,,unmapped,ronaldo,ronaldo,60.86956521739131
openai,glm-4-flashx-250414,glm-4-flashx-250414,glm-4-flashx-250414,openai_chat_completions_stream,study2_british_within,study2_item_02,Name a sport player (any sport),说出一位运动员（任何运动项目）,en,English,1,42,1.0,256,760183269,120,10,96ef76b243e06e65cd45abfe5c120d8793659b48e022912849f982e4a5b22f9f,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a sport player (any sport)",Cristiano Ronaldo,stop,202604180025279fd5e61b1daa4610,74,6,80,0.34924220002721995,provider_api,0,1,False,False,,,"{'stream': True, 'event_count': 5, 'http_status': 200, 'usage': {'prompt_tokens': 74, 'completion_tokens': 6, 'total_tokens': 80}}",2026-04-17T16:25:27.259494+00:00,,Cristiano Ronaldo,Cristiano Ronaldo,cristianoronaldo,Cristiano Ronaldo,ronaldo,,unmapped,ronaldo,ronaldo,60.86956521739131
openai,glm-4-flashx-250414,glm-4-flashx-250414,glm-4-flashx-250414,openai_chat_completions_stream,study2_british_within,study2_item_02,Name a sport player (any sport),说出一位运动员（任何运动项目）,en,English,1,45,1.0,256,978195273,120,10,0e56ef16723008a8872eaed9f55509d5347c48f4bef02a8419a9377a47c3985c,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a sport player (any sport)",Cristiano Ronaldo,stop,20260418002528f50cf761bb8b40fa,74,6,80,0.40205959999002516,provider_api,0,1,False,False,,,"{'stream': True, 'event_count': 5, 'http_status': 200, 'usage': {'prompt_tokens': 74, 'completion_tokens': 6, 'total_tokens': 80}}",2026-04-17T16:25:28.444841+00:00,,Cristiano Ronaldo,Cristiano Ronaldo,cristianoronaldo,Cristiano Ronaldo,ronaldo,,unmapped,ronaldo,ronaldo,60.86956521739131
openai,glm-4-flashx-250414,glm-4-flashx-250414,glm-4-flashx-250414,openai_chat_completions_stream,study2_british_within,study2_item_02,Name a sport player (any sport),说出一位运动员（任何运动项目）,en,English,1,48,1.0,256,973070503,120,10,7bfd4ef3b1bef3c6cb5eec29e3dc8a5a204a751a5b05e2d1e0dde525622ee3c6,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a sport player (any sport)",Cristiano Ronaldo,stop,20260418002529c924f514c10c42d7,74,6,80,0.5331922000041232,provider_api,0,1,False,False,,,"{'stream': True, 'event_count': 5, 'http_status': 200, 'usage': {'prompt_tokens': 74, 'completion_tokens': 6, 'total_tokens': 80}}",2026-04-17T16:25:29.306609+00:00,,Cristiano Ronaldo,Cristiano Ronaldo,cristianoronaldo,Cristiano Ronaldo,ronaldo,,unmapped,ronaldo,ronaldo,60.86956521739131
openai,glm-4-flashx-250414,glm-4-flashx-250414,glm-4-flashx-250414,openai_chat_completions_stream,study2_british_within,study2_item_03,Name a world leader,说出一位世界领导人,en,English,1,0,1.0,256,979583053,120,10,39d31d95fc320124d14293643614c00bdaa93c41b63a321a342d5b6110e11d31,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a world leader",David Cameron,stop,20260418002529834a013536f34a77,70,4,74,0.42985549999866635,provider_api,0,1,False,False,,,"{'stream': True, 'event_count': 3, 'http_status': 200, 'usage': {'prompt_tokens': 70, 'completion_tokens': 4, 'total_tokens': 74}}",2026-04-17T16:25:29.433086+00:00,,David Cameron,David Cameron,davidcameron,David Cameron,cameron,,unmapped,leaders,leaders,42.10526315789473
openai,glm-4-flashx-250414,glm-4-flashx-250414,glm-4-flashx-250414,openai_chat_completions_stream,study2_british_within,study2_item_03,Name a world leader,说出一位世界领导人,en,English,1,1,1.0,256,336888323,120,10,193caec3643fda0691813e44f42518169b629ab3a98ae6e146fc5fa8b6a51e28,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a world leader",Queen Elizabeth II,stop,2026041800252961b2cae8dcdf4a98,70,5,75,0.47010340000269935,provider_api,0,1,False,False,,,"{'stream': True, 'event_count': 4, 'http_status': 200, 'usage': {'prompt_tokens': 70, 'completion_tokens': 5, 'total_tokens': 75}}",2026-04-17T16:25:29.594638+00:00,,Queen Elizabeth II,Queen Elizabeth II,queenelizabethii,Queen Elizabeth II,ii,,unmapped,nelsonmandela,nelsonmandela,34.48275862068966
