scope,metric_family,provider,model,round_index,panel_id,item_id,prompt_language,metric,ci_low,ci_high
aggregate,cross_lingual,gemini,gemini-2.5-flash,1,study2_british_within,,en_vs_zh,jsd,0.030634980053686492,0.16050205262657058
aggregate,cross_lingual,gemini,gemini-2.5-flash,1,study2_british_within,,en_vs_zh,tvd,0.0660099474415089,0.30103116008902153
aggregate,cross_lingual,gemini,gemini-2.5-flash,1,study2_british_within,,en_vs_zh,top1_match,0.6,1.0
aggregate,cross_lingual,gemini,gemini-2.5-flash,1,study2_british_within,,en_vs_zh,flip_rate,0.0,0.4
aggregate,human_alignment,gemini,gemini-2.5-flash,1,study2_british_within,,en,jsd,0.690885705728405,0.9328664498747653
aggregate,human_alignment,gemini,gemini-2.5-flash,1,study2_british_within,,en,tvd,0.7466731292517007,0.9552027210884354
aggregate,human_alignment,gemini,gemini-2.5-flash,1,study2_british_within,,en,top1_match,0.0,0.2
aggregate,human_alignment,gemini,gemini-2.5-flash,1,study2_british_within,,zh,jsd,0.6021381339506428,0.8783231437888971
aggregate,human_alignment,gemini,gemini-2.5-flash,1,study2_british_within,,zh,tvd,0.6615802325581396,0.9182080103359173
aggregate,human_alignment,gemini,gemini-2.5-flash,1,study2_british_within,,zh,top1_match,0.0,0.3333333333333333
item,cross_lingual,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_01,en_vs_zh,jsd,0.0,0.0
item,cross_lingual,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_01,en_vs_zh,tvd,0.0,0.0
item,cross_lingual,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_02,en_vs_zh,jsd,0.0827199591870645,0.35809251753712507
item,cross_lingual,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_02,en_vs_zh,tvd,0.24166666666666664,0.575
item,cross_lingual,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_02,en_vs_zh,spearman,-0.21081851067789195,0.9486832980505139
item,cross_lingual,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_03,en_vs_zh,jsd,0.05740477644825086,0.3076212023379653
item,cross_lingual,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_03,en_vs_zh,tvd,0.26287804878048787,0.6248780487804879
item,cross_lingual,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_03,en_vs_zh,spearman,0.5,0.5
item,cross_lingual,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_04,en_vs_zh,jsd,0.08132367508741117,0.3024387890410184
item,cross_lingual,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_04,en_vs_zh,tvd,0.19964507542147297,0.502661934338953
item,cross_lingual,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_04,en_vs_zh,spearman,0.13157894736842107,1.0
