metric_family,provider,model,round_index,panel_id,item_id,item_number,human_top1_probability,consensus_bucket,prompt_language,jsd,tvd,top1_match,flip_rate,spearman,successful_samples,expected_samples,completion_rate,en_successful_samples,zh_successful_samples
cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_01,1,0.9,high,en_vs_zh,0.0,0.0,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_02,2,0.3,low,en_vs_zh,0.0,0.0,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_03,3,0.36,medium,en_vs_zh,0.8163687368112238,0.8999999999999999,0,1.0,-1.0,50,50,1.0,50.0,50.0
cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_04,4,0.24,low,en_vs_zh,0.16919485510105414,0.30000000000000004,1,0.0,0.8660254037844387,50,50,1.0,50.0,50.0
cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_05,5,0.64,medium,en_vs_zh,0.22245044877074757,0.38,1,0.0,0.8660254037844387,50,50,1.0,50.0,50.0
cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_06,6,0.44,medium,en_vs_zh,0.0,0.0,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_07,7,0.28,low,en_vs_zh,0.0,0.0,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_08,8,0.33,low,en_vs_zh,0.16919485510105411,0.30000000000000004,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_09,9,0.48,medium,en_vs_zh,0.0,0.0,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_10,10,0.92,high,en_vs_zh,0.0,0.0,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_11,11,0.56,medium,en_vs_zh,0.0,0.0,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_12,12,0.3,low,en_vs_zh,0.7582766571931676,0.9,0,1.0,,50,50,1.0,50.0,50.0
cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_13,13,0.83,high,en_vs_zh,0.0,0.0,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_14,14,0.74,high,en_vs_zh,0.0,0.0,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_15,15,0.88,high,en_vs_zh,0.0,0.0,1,0.0,,50,50,1.0,50.0,50.0
human_alignment,deepseek,deepseek-chat,1,study2_british_within,study2_item_01,1,0.9,high,en,1.0,1.0,0,,-0.6425294053171791,50,50,1.0,,
human_alignment,deepseek,deepseek-chat,1,study2_british_within,study2_item_01,1,0.9,high,zh,1.0,1.0,0,,-0.6425294053171791,50,50,1.0,,
